Time/Residue,AFR5_R1.xvg,rmsd_ligand_md_A4482_R2.xvg
1.9000001,0.159494,0.1523522
1.9100001,0.1707384,0.1622836
1.9200001,0.1646442,0.1566535
1.9300001,0.1936307,0.1447157
1.9400001,0.193376,0.1613832
1.95,0.2178474,0.1534196
1.96,0.2141393,0.1594439
1.9700001,0.2133121,0.1598629
1.9800001,0.2141863,0.1469989
1.9900001,0.2195918,0.1653926
2.0,0.2100516,0.1735737
2.01,0.2044414,0.1641567
2.02,0.1899289,0.1555667
2.0300002,0.2155129,0.1581407
2.0400002,0.1854179,0.1463785
2.0500002,0.1952959,0.1679809
2.0600002,0.1750489,0.1535844
2.0700002,0.1886771,0.1533088
2.0800002,0.1867712,0.1636073
2.0900002,0.2126622,0.1606473
2.1000001,0.199102,0.150376
2.1100001,0.1775169,0.1591038
2.1200001,0.2134974,0.1507244
2.1300001,0.2207953,0.1428921
2.1400001,0.2355103,0.1654749
2.1500001,0.2034933,0.1593148
2.1600001,0.1869797,0.1632595
2.1700001,0.1985442,0.1548335
2.1800001,0.2236689,0.1572619
2.1900001,0.2135464,0.1552134
2.2,0.2151856,0.1560345
2.21,0.2409011,0.1662734
2.22,0.2797223,0.1512056
2.23,0.2379687,0.1448607
2.24,0.2630981,0.1551635
2.25,0.2273081,0.1586835
2.26,0.2207718,0.1564037
2.2700002,0.2049607,0.1496433
2.2800002,0.2329886,0.1448347
2.2900002,0.2527901,0.1588365
2.3000002,0.2535468,0.1476635
2.3100002,0.2590575,0.1467445
2.3200002,0.2542073,0.1572748
2.3300002,0.2317436,0.1485788
2.3400002,0.247103,0.1592595
2.3500001,0.245749,0.1450117
2.3600001,0.2725465,0.146265
2.3700001,0.2457452,0.1533172
2.3800001,0.2186883,0.1399121
2.3900001,0.2449088,0.1371757
2.4000001,0.2291632,0.1487274
2.4100001,0.2151375,0.1578208
2.4200001,0.2182942,0.1308081
2.4300001,0.2383398,0.1330505
2.4400001,0.2485249,0.1618185
2.45,0.3085767,0.1620571
2.46,0.355225,0.1455022
2.47,0.3701519,0.1670576
2.48,0.338562,0.154212
2.49,0.3553762,0.1530107
2.5,0.3911386,0.1561175
2.5100002,0.3864342,0.1472908
2.5200002,0.3487682,0.1519261
2.5300002,0.3522608,0.1259055
2.5400002,0.3695479,0.1097665
2.5500002,0.3543733,0.1470826
2.5600002,0.3758348,0.1485546
2.5700002,0.3713628,0.1286442
2.5800002,0.3619991,0.1428161
2.5900002,0.3716399,0.1328
2.6000001,0.3610199,0.148087
2.6100001,0.3585321,0.1687387
2.6200001,0.3441517,0.1623627
2.6300001,0.3745084,0.1699251
2.6400001,0.3893235,0.171606
2.6500001,0.3848394,0.1636144
2.6600001,0.3650125,0.1683409
2.6700001,0.3815329,0.151073
2.6800001,0.3833967,0.1545143
2.6900001,0.4065247,0.1567226
2.7,0.3915353,0.1578097
2.71,0.4077094,0.1662497
2.72,0.4220819,0.1712137
2.73,0.3999842,0.1505684
2.7400002,0.3935978,0.1655148
2.7500002,0.3929243,0.1637227
2.7600002,0.389199,0.1711577
2.7700002,0.3930001,0.1634232
2.7800002,0.420701,0.1572434
2.7900002,0.3737338,0.1555009
2.8000002,0.3838501,0.1530744
2.8100002,0.3530234,0.1525017
2.8200002,0.3997327,0.167132
2.8300002,0.3979888,0.1546711
2.8400002,0.3727204,0.1411957
2.8500001,0.370719,0.1638257
2.8600001,0.3778881,0.1610695
2.8700001,0.4033096,0.1625263
2.8800001,0.4128614,0.1652783
2.8900001,0.3800934,0.1502219
2.9000001,0.3582528,0.1471921
2.9100001,0.3880701,0.1372253
2.9200001,0.3916034,0.1677121
2.9300001,0.3731325,0.1499175
2.9400001,0.3847585,0.1430358
2.95,0.3800273,0.1604349
2.96,0.4177496,0.1631415
2.97,0.3934023,0.1433168
2.9800003,0.4120459,0.1348338
2.9900002,0.4119442,0.144425
3.0000002,0.3983313,0.1523264
3.0100002,0.3726048,0.1660178
3.0200002,0.3933992,0.1503517
3.0300002,0.3762854,0.1613927
3.0400002,0.3945641,0.1647175
3.0500002,0.3879496,0.1560801
3.0600002,0.4017015,0.1600924
3.0700002,0.3789981,0.1520695
3.0800002,0.4225675,0.1494364
3.0900002,0.3882388,0.143857
3.1000001,0.4169073,0.1499368
3.1100001,0.3946642,0.1394742
3.1200001,0.3664319,0.148443
3.1300001,0.3664164,0.1316541
3.1400001,0.3670508,0.153359
3.1500001,0.3887717,0.1599925
3.1600001,0.4028729,0.1663479
3.1700001,0.3930883,0.1570234
3.1800001,0.3890388,0.158205
3.1900001,0.404198,0.1625699
3.2,0.375156,0.1578145
3.21,0.4010428,0.1563428
3.2200003,0.3753908,0.1482608
3.2300003,0.3848585,0.1452326
3.2400002,0.3871583,0.1593807
3.2500002,0.4051383,0.1672983
3.2600002,0.4002697,0.156647
3.2700002,0.3816391,0.1639559
3.2800002,0.39653,0.1568181
3.2900002,0.3952299,0.1731858
3.3000002,0.4200355,0.1643341
3.3100002,0.3830551,0.1561459
3.3200002,0.3995024,0.1682899
3.3300002,0.3925964,0.1749828
3.3400002,0.4079795,0.1651247
3.3500001,0.4013341,0.1511564
3.3600001,0.3937448,0.1595534
3.3700001,0.391582,0.170055
3.3800001,0.3935527,0.1518455
