Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
1.96e-06,6.0,3.0
1.9699999999999998e-06,8.0,2.0
1.98e-06,7.0,3.0
1.99e-06,5.0,3.0
2e-06,6.0,2.0
2.01e-06,6.0,2.0
2.02e-06,5.0,2.0
2.0299999999999996e-06,6.0,3.0
2.04e-06,6.0,3.0
2.05e-06,5.0,2.0
2.06e-06,5.0,3.0
2.0699999999999997e-06,7.0,2.0
2.0800000000000004e-06,8.0,2.0
2.09e-06,8.0,2.0
2.1000000000000002e-06,7.0,4.0
2.1099999999999997e-06,8.0,2.0
2.12e-06,8.0,2.0
2.13e-06,6.0,3.0
2.14e-06,6.0,2.0
2.15e-06,6.0,3.0
2.16e-06,6.0,2.0
2.17e-06,5.0,3.0
2.18e-06,6.0,3.0
2.19e-06,6.0,2.0
2.2e-06,6.0,2.0
2.21e-06,7.0,3.0
2.2200000000000003e-06,5.0,3.0
2.23e-06,6.0,3.0
2.24e-06,6.0,3.0
2.2499999999999996e-06,6.0,3.0
2.26e-06,6.0,3.0
2.27e-06,6.0,3.0
2.2799999999999998e-06,6.0,3.0
2.29e-06,7.0,3.0
2.3e-06,6.0,3.0
2.31e-06,5.0,3.0
2.32e-06,5.0,2.0
2.33e-06,8.0,2.0
2.34e-06,6.0,3.0
2.35e-06,6.0,3.0
2.36e-06,5.0,3.0
2.37e-06,5.0,3.0
2.3799999999999997e-06,7.0,2.0
2.39e-06,7.0,2.0
2.4e-06,7.0,2.0
2.4100000000000002e-06,6.0,2.0
2.4199999999999997e-06,7.0,2.0
2.4300000000000005e-06,6.0,2.0
2.44e-06,7.0,3.0
2.4500000000000003e-06,5.0,2.0
2.4599999999999997e-06,7.0,2.0
2.4700000000000005e-06,6.0,2.0
2.48e-06,6.0,2.0
2.49e-06,7.0,2.0
2.5e-06,5.0,2.0
2.5099999999999997e-06,8.0,2.0
2.52e-06,8.0,1.0
2.5299999999999995e-06,7.0,3.0
2.5400000000000002e-06,6.0,1.0
2.5499999999999997e-06,6.0,1.0
2.56e-06,5.0,3.0
2.57e-06,7.0,2.0
2.5800000000000003e-06,7.0,2.0
2.5899999999999998e-06,8.0,2.0
2.5999999999999997e-06,8.0,2.0
2.61e-06,6.0,2.0
2.62e-06,7.0,2.0
2.63e-06,6.0,2.0
2.64e-06,7.0,2.0
2.65e-06,7.0,2.0
2.66e-06,6.0,1.0
2.6700000000000003e-06,5.0,2.0
2.68e-06,7.0,2.0
2.69e-06,7.0,2.0
2.7e-06,6.0,2.0
2.7100000000000003e-06,8.0,2.0
2.7200000000000002e-06,5.0,2.0
2.7299999999999997e-06,5.0,2.0
2.7400000000000004e-06,7.0,2.0
2.75e-06,4.0,2.0
2.76e-06,7.0,2.0
2.7699999999999997e-06,7.0,2.0
2.78e-06,7.0,2.0
2.79e-06,7.0,1.0
2.8e-06,8.0,2.0
2.81e-06,8.0,3.0
2.82e-06,8.0,3.0
2.83e-06,6.0,2.0
2.8399999999999995e-06,7.0,1.0
2.8500000000000002e-06,6.0,2.0
2.8599999999999997e-06,6.0,2.0
2.87e-06,6.0,2.0
2.88e-06,7.0,2.0
2.8900000000000003e-06,7.0,2.0
2.8999999999999998e-06,5.0,3.0
2.91e-06,6.0,2.0
2.92e-06,6.0,2.0
2.9300000000000003e-06,7.0,3.0
2.94e-06,5.0,2.0
2.9500000000000006e-06,6.0,2.0
2.96e-06,5.0,3.0
2.97e-06,6.0,3.0
2.98e-06,5.0,3.0
2.99e-06,6.0,2.0
3e-06,7.0,3.0
3.0099999999999996e-06,6.0,2.0
3.0200000000000003e-06,5.0,2.0
3.03e-06,6.0,2.0
3.04e-06,7.0,3.0
3.0499999999999996e-06,6.0,2.0
3.0600000000000003e-06,5.0,3.0
3.07e-06,5.0,3.0
3.08e-06,4.0,2.0
3.09e-06,5.0,2.0
3.1e-06,3.0,3.0
3.11e-06,5.0,4.0
3.1199999999999998e-06,4.0,2.0
3.13e-06,6.0,3.0
3.14e-06,7.0,3.0
3.15e-06,6.0,3.0
3.1600000000000002e-06,7.0,2.0
3.17e-06,7.0,3.0
3.18e-06,5.0,3.0
3.19e-06,6.0,3.0
3.2000000000000003e-06,6.0,2.0
3.21e-06,8.0,2.0
3.22e-06,6.0,3.0
3.23e-06,6.0,3.0
3.2400000000000003e-06,6.0,3.0
3.25e-06,7.0,2.0
3.2599999999999997e-06,6.0,1.0
3.27e-06,6.0,3.0
3.28e-06,6.0,3.0
3.29e-06,7.0,3.0
3.3e-06,6.0,2.0
3.31e-06,7.0,2.0
3.32e-06,8.0,2.0
3.33e-06,7.0,2.0
3.3399999999999998e-06,7.0,2.0
3.35e-06,5.0,2.0
3.3599999999999996e-06,7.0,1.0
3.3700000000000003e-06,8.0,3.0
3.38e-06,7.0,3.0
3.39e-06,6.0,3.0
3.3999999999999996e-06,7.0,1.0
3.4100000000000004e-06,6.0,3.0
3.42e-06,5.0,3.0
3.43e-06,8.0,3.0
3.44e-06,7.0,2.0
3.4500000000000004e-06,6.0,4.0
3.46e-06,8.0,2.0
3.47e-06,4.0,2.0
3.48e-06,6.0,3.0
3.49e-06,6.0,3.0
3.5e-06,4.0,3.0
3.51e-06,8.0,3.0
3.52e-06,7.0,2.0
3.5299999999999997e-06,6.0,2.0
3.54e-06,5.0,2.0
3.55e-06,6.0,3.0
3.5600000000000002e-06,5.0,2.0
3.5699999999999997e-06,6.0,3.0
3.5800000000000005e-06,7.0,4.0
3.59e-06,5.0,2.0
3.6e-06,6.0,1.0
3.6099999999999997e-06,6.0,2.0
3.62e-06,5.0,2.0
3.63e-06,7.0,2.0
3.64e-06,6.0,2.0
3.65e-06,7.0,2.0
3.66e-06,7.0,1.0
3.67e-06,7.0,2.0
3.68e-06,7.0,1.0
3.6900000000000002e-06,8.0,2.0
3.7e-06,6.0,2.0
3.7099999999999996e-06,7.0,3.0
3.7200000000000004e-06,5.0,2.0
3.73e-06,7.0,3.0
3.74e-06,8.0,2.0
3.7499999999999997e-06,6.0,2.0
3.76e-06,6.0,2.0
3.77e-06,6.0,3.0
3.78e-06,6.0,2.0
3.79e-06,7.0,2.0
3.8e-06,6.0,2.0
3.81e-06,7.0,3.0
3.82e-06,7.0,2.0
3.83e-06,6.0,2.0
3.84e-06,6.0,2.0
3.85e-06,6.0,2.0
3.8599999999999995e-06,5.0,2.0
3.87e-06,7.0,2.0
3.88e-06,7.0,2.0
3.89e-06,7.0,3.0
3.9e-06,7.0,1.0
3.910000000000001e-06,7.0,3.0
3.92e-06,7.0,3.0
3.9300000000000005e-06,6.0,3.0
3.9399999999999995e-06,6.0,3.0
3.95e-06,7.0,2.0
3.96e-06,4.0,2.0
3.97e-06,5.0,1.0
3.98e-06,5.0,2.0
3.990000000000001e-06,6.0,3.0
4e-06,6.0,3.0
4.01e-06,4.0,2.0
4.02e-06,3.0,2.0
4.03e-06,4.0,1.0
4.04e-06,6.0,2.0
4.05e-06,5.0,2.0
4.059999999999999e-06,6.0,1.0
4.070000000000001e-06,6.0,2.0
4.08e-06,6.0,2.0
4.09e-06,7.0,2.0
4.1e-06,9.0,3.0
4.11e-06,6.0,2.0
4.12e-06,5.0,2.0
4.13e-06,7.0,2.0
4.139999999999999e-06,8.0,2.0
4.15e-06,6.0,2.0
4.160000000000001e-06,8.0,2.0
4.17e-06,7.0,2.0
4.18e-06,4.0,2.0
4.1900000000000005e-06,7.0,2.0
4.2000000000000004e-06,7.0,2.0
4.21e-06,5.0,2.0
4.219999999999999e-06,5.0,2.0
4.23e-06,6.0,1.0
4.24e-06,5.0,2.0
4.25e-06,7.0,2.0
4.26e-06,6.0,1.0
4.27e-06,5.0,2.0
4.28e-06,7.0,1.0
4.2900000000000004e-06,4.0,2.0
4.3e-06,6.0,2.0
4.309999999999999e-06,4.0,2.0
4.32e-06,5.0,2.0
4.33e-06,6.0,2.0
4.34e-06,8.0,1.0
4.35e-06,6.0,2.0
4.36e-06,4.0,2.0
4.37e-06,6.0,1.0
4.38e-06,6.0,2.0
4.3899999999999995e-06,6.0,3.0
4.4e-06,6.0,2.0
4.41e-06,7.0,2.0
4.42e-06,6.0,2.0
4.43e-06,6.0,2.0
4.440000000000001e-06,6.0,2.0
4.45e-06,6.0,2.0
4.46e-06,6.0,2.0
4.47e-06,6.0,2.0
4.48e-06,7.0,1.0
4.49e-06,6.0,2.0
4.499999999999999e-06,7.0,2.0
4.51e-06,6.0,1.0
4.52e-06,6.0,1.0
4.53e-06,6.0,2.0
4.54e-06,7.0,2.0
4.5500000000000005e-06,7.0,2.0
4.5599999999999995e-06,7.0,2.0
4.57e-06,6.0,2.0
4.58e-06,4.0,1.0
4.589999999999999e-06,6.0,2.0
4.6e-06,5.0,2.0
4.610000000000001e-06,6.0,3.0
4.62e-06,6.0,2.0
4.63e-06,5.0,1.0
4.64e-06,6.0,2.0
4.65e-06,6.0,2.0
4.66e-06,5.0,2.0
4.669999999999999e-06,5.0,2.0
4.68e-06,6.0,2.0
4.690000000000001e-06,5.0,2.0
4.7e-06,7.0,2.0
4.71e-06,6.0,2.0
4.72e-06,6.0,2.0
4.7300000000000005e-06,6.0,1.0
4.74e-06,6.0,2.0
4.75e-06,6.0,2.0
4.759999999999999e-06,7.0,2.0
4.77e-06,6.0,2.0
4.78e-06,5.0,2.0
4.79e-06,6.0,1.0
4.8e-06,5.0,2.0
4.81e-06,6.0,2.0
4.8200000000000004e-06,5.0,2.0
4.83e-06,6.0,2.0
4.839999999999999e-06,6.0,2.0
4.849999999999999e-06,5.0,2.0
4.860000000000001e-06,3.0,2.0
4.87e-06,5.0,1.0
4.88e-06,6.0,2.0
4.89e-06,6.0,2.0
4.9000000000000005e-06,5.0,2.0
4.9100000000000004e-06,3.0,2.0
4.9199999999999995e-06,7.0,2.0
4.929999999999999e-06,5.0,2.0
