Time/Residue,AFR3_R1.xvg,AFR3_R2.xvg,Average
1.3700000000000002e-06,2.28419,2.30714,2.295665
1.38e-06,2.28904,2.30613,2.297585
1.39e-06,2.28427,2.29788,2.291075
1.4e-06,2.28682,2.3079,2.29736
1.41e-06,2.284,2.30176,2.29288
1.4199999999999997e-06,2.29036,2.30065,2.295505
1.4299999999999999e-06,2.28573,2.30281,2.29427
1.44e-06,2.28986,2.29956,2.29471
1.4499999999999999e-06,2.29652,2.29929,2.297905
1.46e-06,2.29393,2.30712,2.300525
1.47e-06,2.30031,2.29828,2.299295
1.48e-06,2.29236,2.30745,2.299905
1.49e-06,2.29606,2.29702,2.29654
1.5e-06,2.29754,2.30168,2.29961
1.5100000000000002e-06,2.2929,2.29882,2.29586
1.52e-06,2.29053,2.30892,2.299725
1.5300000000000002e-06,2.29105,2.29433,2.29269
1.54e-06,2.29031,2.30497,2.29764
1.55e-06,2.29485,2.30303,2.29894
1.5599999999999999e-06,2.28944,2.30785,2.298645
1.57e-06,2.288,2.30036,2.29418
1.5800000000000001e-06,2.27922,2.29897,2.289095
1.59e-06,2.29467,2.29624,2.295455
1.6000000000000001e-06,2.29296,2.2955,2.29423
1.61e-06,2.29456,2.29842,2.29649
1.6200000000000002e-06,2.29707,2.30147,2.29927
1.6299999999999999e-06,2.28824,2.29921,2.293725
1.64e-06,2.29298,2.30268,2.29783
1.65e-06,2.30039,2.3015,2.300945
1.66e-06,2.28675,2.31093,2.29884
1.6699999999999999e-06,2.2932,2.30353,2.298365
1.6799999999999998e-06,2.294,2.30575,2.299875
1.69e-06,2.29602,2.30159,2.298805
1.6999999999999998e-06,2.29035,2.30359,2.29697
1.71e-06,2.30057,2.30106,2.300815
1.72e-06,2.29208,2.30293,2.297505
1.73e-06,2.28991,2.30535,2.29763
1.74e-06,2.29295,2.31041,2.30168
1.75e-06,2.29516,2.30888,2.30202
1.76e-06,2.28759,2.31177,2.29968
1.77e-06,2.3034,2.30663,2.305015
1.7800000000000001e-06,2.29334,2.30027,2.296805
1.7900000000000002e-06,2.29573,2.29374,2.294735
1.8e-06,2.29311,2.30019,2.29665
1.81e-06,2.29554,2.2935,2.29452
1.82e-06,2.29381,2.29666,2.295235
1.83e-06,2.29984,2.2974,2.29862
1.84e-06,2.29638,2.29937,2.297875
1.85e-06,2.29445,2.29087,2.29266
1.8600000000000002e-06,2.29183,2.29768,2.294755
1.87e-06,2.30229,2.29779,2.30004
1.88e-06,2.2985,2.29296,2.29573
