Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg,Average
0.0,2.25034,2.24856,2.24945
1e-08,2.27474,2.27226,2.2735
2e-08,2.27419,2.26707,2.27063
3e-08,2.27726,2.26436,2.27081
4e-08,2.27468,2.27322,2.27395
5.0000000000000004e-08,2.2765,2.27748,2.27699
6e-08,2.2731,2.28083,2.276965
7e-08,2.28209,2.28696,2.284525
8e-08,2.27485,2.28911,2.28198
9e-08,2.27652,2.28021,2.278365
1.0000000000000001e-07,2.27274,2.29287,2.282805
1.1e-07,2.27574,2.29451,2.285125
1.2e-07,2.28183,2.2827,2.282265
1.3000000000000003e-07,2.28078,2.29043,2.285605
1.4e-07,2.28487,2.30199,2.29343
1.5e-07,2.28428,2.2926,2.28844
1.6e-07,2.28535,2.30123,2.29329
1.7000000000000001e-07,2.27676,2.29996,2.28836
1.8e-07,2.28149,2.29832,2.289905
1.9e-07,2.29513,2.29603,2.29558
2.0000000000000002e-07,2.28633,2.29351,2.28992
2.0999999999999997e-07,2.28384,2.28464,2.28424
2.2e-07,2.28545,2.28547,2.28546
2.3e-07,2.28802,2.28787,2.287945
2.4e-07,2.28519,2.29312,2.289155
2.5e-07,2.27882,2.28772,2.28327
2.6000000000000005e-07,2.28097,2.29388,2.287425
2.7e-07,2.28113,2.28634,2.283735
2.8e-07,2.28069,2.28562,2.283155
2.9e-07,2.27974,2.2855,2.28262
3e-07,2.27561,2.28857,2.28209
3.1e-07,2.28373,2.28929,2.28651
3.2e-07,2.28463,2.28264,2.283635
3.3e-07,2.28126,2.2914,2.28633
3.4000000000000003e-07,2.27967,2.28883,2.28425
3.5e-07,2.28411,2.28082,2.282465
3.6e-07,2.28319,2.29054,2.286865
3.7e-07,2.28465,2.29007,2.28736
3.8e-07,2.28618,2.28998,2.28808
3.8999999999999997e-07,2.28688,2.28627,2.286575
4.0000000000000003e-07,2.2913,2.28854,2.28992
4.1e-07,2.28831,2.2845,2.286405
4.1999999999999995e-07,2.29066,2.27951,2.285085
4.3e-07,2.28604,2.28586,2.28595
4.4e-07,2.28613,2.28566,2.285895
4.5e-07,2.29025,2.29315,2.2917
4.6e-07,2.29919,2.29231,2.29575
4.7e-07,2.2853,2.29051,2.287905
4.8e-07,2.28701,2.29244,2.289725
4.9e-07,2.2819,2.28901,2.285455
5e-07,2.28404,2.29111,2.287575
5.1e-07,2.29613,2.2918,2.293965
5.200000000000001e-07,2.28479,2.28919,2.28699
5.3e-07,2.28867,2.28563,2.28715
5.4e-07,2.28367,2.2944,2.289035
5.5e-07,2.27751,2.29491,2.28621
5.6e-07,2.27866,2.3034,2.29103
5.699999999999999e-07,2.27816,2.29452,2.28634
5.8e-07,2.28278,2.28954,2.28616
5.9e-07,2.27887,2.28781,2.28334
6e-07,2.27951,2.28875,2.28413
6.1e-07,2.28888,2.28481,2.286845
6.2e-07,2.29026,2.28026,2.28526
6.3e-07,2.28468,2.28165,2.283165
6.4e-07,2.29145,2.27933,2.28539
6.499999999999999e-07,2.28661,2.2791,2.282855
6.6e-07,2.28997,2.28031,2.28514
6.7e-07,2.28559,2.2768,2.281195
6.800000000000001e-07,2.28175,2.28559,2.28367
6.9e-07,2.28152,2.28582,2.28367
7e-07,2.28678,2.28773,2.287255
7.099999999999999e-07,2.27962,2.28434,2.28198
7.2e-07,2.28785,2.28246,2.285155
7.3e-07,2.28897,2.285,2.286985
7.4e-07,2.2847,2.27755,2.281125
7.5e-07,2.28294,2.28563,2.284285
7.6e-07,2.28291,2.28415,2.28353
7.7e-07,2.28274,2.28609,2.284415
7.799999999999999e-07,2.28166,2.27964,2.28065
7.900000000000001e-07,2.2765,2.28776,2.28213
8.000000000000001e-07,2.28277,2.27938,2.281075
8.100000000000001e-07,2.28612,2.27946,2.28279
8.2e-07,2.28702,2.28329,2.285155
8.3e-07,2.28402,2.28761,2.285815
8.399999999999999e-07,2.27684,2.27994,2.27839
8.499999999999999e-07,2.28665,2.28946,2.288055
8.6e-07,2.2782,2.28839,2.283295
8.7e-07,2.28331,2.285,2.284155
8.8e-07,2.28365,2.28254,2.283095
8.900000000000001e-07,2.29291,2.28655,2.28973
9e-07,2.28217,2.28463,2.2834
9.1e-07,2.28221,2.28587,2.28404
9.2e-07,2.2791,2.29454,2.28682
9.300000000000001e-07,2.28278,2.29717,2.289975
9.4e-07,2.27871,2.29045,2.28458
9.5e-07,2.27803,2.29504,2.286535
9.6e-07,2.28092,2.29233,2.286625
9.7e-07,2.27927,2.29126,2.285265
9.8e-07,2.28265,2.27424,2.278445
9.9e-07,2.28554,2.28776,2.28665
1e-06,2.27757,2.28306,2.280315
1.01e-06,2.26642,2.28905,2.277735
1.02e-06,2.27638,2.28452,2.28045
1.03e-06,2.28086,2.29068,2.28577
1.0400000000000002e-06,2.27366,2.29354,2.2836
1.0500000000000001e-06,2.28001,2.28778,2.283895
1.06e-06,2.27362,2.28403,2.278825
1.07e-06,2.27334,2.27935,2.276345
1.08e-06,2.26925,2.28724,2.278245
1.09e-06,2.27912,2.27992,2.27952
1.1e-06,2.27128,2.28292,2.2771
1.1100000000000002e-06,2.27288,2.28204,2.27746
1.12e-06,2.2684,2.28421,2.276305
1.13e-06,2.27522,2.28372,2.27947
1.1399999999999999e-06,2.27331,2.28117,2.27724
1.15e-06,2.27304,2.29005,2.281545
1.16e-06,2.27689,2.29061,2.28375
1.17e-06,2.27779,2.2918,2.284795
1.18e-06,2.27953,2.28332,2.281425
1.1899999999999998e-06,2.28155,2.28258,2.282065
1.2e-06,2.28172,2.29026,2.28599
1.2099999999999998e-06,2.27969,2.28539,2.28254
1.22e-06,2.27116,2.28864,2.2799
1.2299999999999999e-06,2.28051,2.29231,2.28641
1.24e-06,2.2824,2.29073,2.286565
1.25e-06,2.27251,2.28959,2.28105
1.26e-06,2.28102,2.29641,2.288715
1.2700000000000001e-06,2.28311,2.28979,2.28645
1.28e-06,2.28421,2.28804,2.286125
1.2900000000000001e-06,2.27644,2.28096,2.2787
1.2999999999999998e-06,2.27701,2.2853,2.281155
1.31e-06,2.28142,2.28629,2.283855
1.32e-06,2.28569,2.2911,2.288395
1.33e-06,2.27811,2.29069,2.2844
1.34e-06,2.28843,2.28118,2.284805
1.35e-06,2.28778,2.27941,2.283595
1.3600000000000001e-06,2.27997,2.28136,2.280665
1.3700000000000002e-06,2.2881,2.27444,2.28127
1.38e-06,2.28792,2.28775,2.287835
1.39e-06,2.27934,2.28002,2.27968
1.4e-06,2.28525,2.28551,2.28538
1.41e-06,2.28486,2.2795,2.28218
1.4199999999999997e-06,2.28695,2.28629,2.28662
1.4299999999999999e-06,2.2869,2.28297,2.284935
1.44e-06,2.28694,2.28435,2.285645
1.4499999999999999e-06,2.28601,2.28896,2.287485
1.46e-06,2.27635,2.28899,2.28267
1.47e-06,2.28067,2.29212,2.286395
1.48e-06,2.28617,2.29715,2.29166
1.49e-06,2.28597,2.28597,2.28597
1.5e-06,2.29329,2.28409,2.28869
1.5100000000000002e-06,2.2901,2.28715,2.288625
1.52e-06,2.28909,2.28484,2.286965
1.5300000000000002e-06,2.28116,2.28839,2.284775
1.54e-06,2.28267,2.29108,2.286875
1.55e-06,2.28154,2.29348,2.28751
1.5599999999999999e-06,2.28576,2.28731,2.286535
1.57e-06,2.28158,2.28675,2.284165
