Time/Residue,AFR5_R1.xvg,AFR5_R2.xvg,Average
0,0.000499,0.0004999,0.00049945
0.01,0.0778065,0.0874151,0.0826108
0.02,0.0863307,0.0967078,0.09151925
0.03,0.0941399,0.0941494,0.09414465
0.04,0.0999439,0.1071547,0.1035493
0.05,0.1081174,0.1088062,0.1084618
0.06,0.1080678,0.1083003,0.10818405
0.07,0.0991616,0.1193497,0.10925565
0.08,0.0955812,0.1129683,0.10427475
0.09,0.1034027,0.1232077,0.1133052
0.1,0.0994201,0.1263361,0.1128781
0.11,0.0992408,0.1249503,0.11209555
0.12,0.1093207,0.1224722,0.11589645
0.13,0.1137394,0.1246501,0.11919475
0.14,0.1247754,0.1247024,0.1247389
0.15,0.1172346,0.1147052,0.1159699
0.16,0.1241194,0.1104344,0.1172769
0.17,0.1199395,0.1208837,0.1204116
0.18,0.1310145,0.1216134,0.12631395
0.19,0.1239273,0.1285101,0.1262187
0.2,0.1471871,0.1388499,0.1430185
0.21,0.1297285,0.1422697,0.1359991
0.22,0.1366219,0.1348367,0.1357293
0.23,0.1338122,0.1334399,0.13362605
0.24,0.1273916,0.1361543,0.13177295
0.25,0.1312321,0.1572288,0.14423045
0.26,0.124519,0.1301503,0.12733465
0.27,0.1228487,0.1449151,0.1338819
0.28,0.1197435,0.1378148,0.12877915
0.29,0.1150788,0.1362948,0.1256868
0.3,0.1251325,0.1635528,0.14434265
0.31,0.1369696,0.144677,0.1408233
0.32,0.1213567,0.1482054,0.13478105
0.33,0.1267074,0.1614546,0.144081
0.34,0.1189838,0.1555738,0.1372788
0.35,0.1222086,0.1603523,0.14128045
0.36,0.1188026,0.1542103,0.13650645
0.37,0.1251666,0.156449,0.1408078
0.38,0.1192756,0.1651028,0.1421892
0.39,0.1234234,0.1813866,0.152405
0.4,0.1272181,0.1766228,0.15192045
0.41,0.1272702,0.1806983,0.15398425
0.42,0.1316864,0.174387,0.1530367
0.43,0.1325248,0.1760209,0.15427285
0.44,0.1356039,0.1837245,0.1596642
0.45,0.1358598,0.1800967,0.15797825
0.46,0.1430293,0.1796435,0.1613364
0.47,0.1507482,0.1726515,0.16169985
0.48,0.1498225,0.1695529,0.1596877
0.49,0.145223,0.1758713,0.16054715
0.5,0.1504949,0.1773062,0.16390055
0.5100001,0.1581574,0.1792113,0.16868435
0.52,0.1555101,0.1746399,0.165075
0.53,0.1498475,0.170713,0.16028025
0.54,0.1537054,0.1756249,0.16466515
0.55,0.15138,0.1814116,0.1663958
0.56,0.1485235,0.1799348,0.16422915
0.5700001,0.1476695,0.1827331,0.1652013
0.58,0.1454284,0.1874022,0.1664153
0.59,0.1515761,0.1789475,0.1652618
0.6,0.1378908,0.1799435,0.15891715
0.61,0.1492698,0.183862,0.1665659
0.62,0.1578632,0.178215,0.1680391
0.6300001,0.1566422,0.1819034,0.1692728
0.64,0.1622365,0.1773396,0.16978805
0.65,0.1563501,0.1670797,0.1617149
0.66,0.1545766,0.1799987,0.16728765
0.67,0.1461302,0.173248,0.1596891
0.68,0.1603071,0.1695787,0.1649429
0.6900001,0.1509073,0.1697802,0.16034375
0.7,0.1556067,0.1849627,0.1702847
0.71,0.1601114,0.181806,0.1709587
0.72,0.1473486,0.1824499,0.16489925
0.73,0.1555044,0.1810946,0.1682995
0.74,0.1461506,0.1798073,0.16297895
0.7500001,0.1472607,0.1780119,0.1626363
0.7600001,0.1453002,0.1837366,0.1645184
0.77,0.1486199,0.179474,0.16404695
0.78,0.1448231,0.177499,0.16116105
0.79,0.1494779,0.1753467,0.1624123
0.8,0.1527138,0.1770245,0.16486915
0.8100001,0.146106,0.1826898,0.1643979
0.8200001,0.1497546,0.1778257,0.16379015
0.83,0.1394184,0.1780962,0.1587573
0.84,0.1431944,0.1860699,0.16463215
0.85,0.1360842,0.1815701,0.15882715
0.86,0.144159,0.1874872,0.1658231
0.8700001,0.1415926,0.1842694,0.162931
0.8800001,0.137784,0.1785219,0.15815295
0.89,0.1380469,0.1781752,0.15811105
0.9,0.1460954,0.1916494,0.1688724
0.91,0.1405269,0.1877585,0.1641427
0.92,0.1414457,0.1968213,0.1691335
0.9300001,0.153609,0.1868772,0.1702431
0.9400001,0.1483367,0.1865351,0.1674359
0.95,0.156337,0.1774557,0.16689635
0.96,0.1557225,0.1731845,0.1644535
0.97,0.1472874,0.1743541,0.16082075
0.98,0.1536451,0.1712507,0.1624479
0.9900001,0.1521747,0.1749195,0.1635471
1,0.1595699,0.1784052,0.16898755
1.01,0.1552088,0.182464,0.1688364
1.0200001,0.1601913,0.1791656,0.16967845
1.0300001,0.1605724,0.1826809,0.17162665
1.0400001,0.1635929,0.1770124,0.17030265
1.0500001,0.1544339,0.1811961,0.167815
1.0600001,0.1543684,0.1806157,0.16749205
1.0700001,0.1511214,0.1812178,0.1661696
1.08,0.1494339,0.1870953,0.1682646
1.09,0.160926,0.1790784,0.1700022
1.1,0.163268,0.1732034,0.1682357
1.11,0.1541304,0.1780655,0.16609795
1.12,0.1649944,0.1879283,0.17646135
1.13,0.1586333,0.1717594,0.16519635
1.1400001,0.1517999,0.1846113,0.1682056
1.1500001,0.1570185,0.1860396,0.17152905
1.1600001,0.1557475,0.1793882,0.16756785
1.1700001,0.1577979,0.19006,0.17392895
1.1800001,0.1562243,0.1921209,0.1741726
1.1900001,0.151873,0.1889237,0.17039835
1.2,0.1535347,0.1810883,0.1673115
1.21,0.1569811,0.1861261,0.1715536
1.22,0.1539643,0.2029438,0.17845405
1.23,0.1543374,0.1971074,0.1757224
1.24,0.1511422,0.1883569,0.16974955
1.25,0.1571562,0.1737367,0.16544645
1.2600001,0.1526196,0.1748673,0.16374345
1.2700001,0.1618282,0.1872489,0.17453855
1.2800001,0.1593641,0.1829515,0.1711578
1.2900001,0.1666908,0.1811352,0.173913
1.3000001,0.1647362,0.1867534,0.1757448
1.3100001,0.1578852,0.175175,0.1665301
1.3200001,0.155223,0.1791236,0.1671733
1.33,0.1635679,0.192994,0.17828095
1.34,0.1534602,0.190055,0.1717576
1.35,0.1592927,0.1754119,0.1673523
1.36,0.1531791,0.1833476,0.16826335
1.3700001,0.1550269,0.1920425,0.1735347
1.3800001,0.1605118,0.1851805,0.17284615
1.3900001,0.1644752,0.181861,0.1731681
1.4000001,0.167055,0.1873645,0.17720975
1.4100001,0.172343,0.1865726,0.1794578
1.4200001,0.1644309,0.1757751,0.170103
1.4300001,0.1597618,0.1901217,0.17494175
1.4400001,0.1644664,0.1807257,0.17259605
1.45,0.1616202,0.1838771,0.17274865
1.46,0.1610339,0.185763,0.17339845
1.47,0.1644754,0.1911059,0.17779065
1.48,0.1650672,0.1940251,0.17954615
1.4900001,0.1656428,0.1901442,0.1778935
1.5000001,0.1675321,0.1907671,0.1791496
1.5100001,0.1608802,0.1892049,0.17504255
1.5200001,0.1661826,0.1989935,0.18258805
1.5300001,0.1614366,0.2001314,0.180784
1.5400001,0.1596991,0.2031727,0.1814359
1.5500001,0.1722795,0.1961139,0.1841967
1.5600001,0.1689248,0.2075845,0.18825465
1.5700001,0.181146,0.1967733,0.18895965
1.58,0.1751563,0.1978404,0.18649835
1.59,0.1772353,0.2001811,0.1887082
1.6,0.1961219,0.2000457,0.1980838
1.6100001,0.1824427,0.2011833,0.191813
1.6200001,0.1962639,0.208097,0.20218045
1.6300001,0.1832106,0.2118907,0.19755065
1.6400001,0.1811867,0.199332,0.19025935
1.6500001,0.1885345,0.2096133,0.1990739
1.6600001,0.1759124,0.2082175,0.19206495
1.6700001,0.1834712,0.2118839,0.19767755
1.6800001,0.1754571,0.2092382,0.19234765
1.6900001,0.1747644,0.2106848,0.1927246
1.7,0.1813175,0.21639,0.19885375
1.71,0.1845884,0.2201029,0.20234565
1.72,0.1919239,0.2198005,0.2058622
1.7300001,0.1853933,0.2196659,0.2025296
1.7400001,0.1836317,0.2152999,0.1994658
1.7500001,0.1785225,0.2182286,0.19837555
1.7600001,0.1768895,0.2155858,0.19623765
1.7700001,0.172374,0.2178156,0.1950948
1.7800001,0.1755334,0.211834,0.1936837
1.7900001,0.1759265,0.2163025,0.1961145
1.8000001,0.1739422,0.2144026,0.1941724
1.8100001,0.1805088,0.223637,0.2020729
1.8200001,0.1758206,0.2123069,0.19406375
1.83,0.1815645,0.2069384,0.19425145
1.84,0.1792546,0.2048425,0.19204855
1.8500001,0.1739786,0.2066557,0.19031715
1.8600001,0.1747517,0.203229,0.18899035
1.8700001,0.1680664,0.2161327,0.19209955
1.8800001,0.1725386,0.2114142,0.1919764
