Time/Residue,AFR5_R1.xvg,AFR5_R2.xvg
0.0,0.000499,0.0004999
0.01,0.0778065,0.0874151
0.02,0.0863307,0.0967078
0.03,0.0941399,0.0941494
0.04,0.0999439,0.1071547
0.05,0.1081174,0.1088062
0.06,0.1080678,0.1083003
0.07,0.0991616,0.1193497
0.08,0.0955812,0.1129683
0.09,0.1034027,0.1232077
0.1,0.0994201,0.1263361
0.11,0.0992408,0.1249503
0.12,0.1093207,0.1224722
0.13,0.1137394,0.1246501
0.14,0.1247754,0.1247024
0.15,0.1172346,0.1147052
0.16,0.1241194,0.1104344
0.17,0.1199395,0.1208837
0.18,0.1310145,0.1216134
0.19,0.1239273,0.1285101
0.2,0.1471871,0.1388499
0.21,0.1297285,0.1422697
0.22,0.1366219,0.1348367
0.23,0.1338122,0.1334399
0.24,0.1273916,0.1361543
0.25,0.1312321,0.1572288
0.26,0.124519,0.1301503
0.27,0.1228487,0.1449151
0.28,0.1197435,0.1378148
0.29,0.1150788,0.1362948
0.3,0.1251325,0.1635528
0.31,0.1369696,0.144677
0.32,0.1213567,0.1482054
0.33,0.1267074,0.1614546
0.34,0.1189838,0.1555738
0.35,0.1222086,0.1603523
0.36,0.1188026,0.1542103
0.37,0.1251666,0.156449
0.38,0.1192756,0.1651028
0.39,0.1234234,0.1813866
0.4,0.1272181,0.1766228
0.41,0.1272702,0.1806983
0.42,0.1316864,0.174387
0.43,0.1325248,0.1760209
0.44,0.1356039,0.1837245
0.45,0.1358598,0.1800967
0.46,0.1430293,0.1796435
0.47,0.1507482,0.1726515
0.48,0.1498225,0.1695529
0.49,0.145223,0.1758713
0.5,0.1504949,0.1773062
0.5100001,0.1581574,0.1792113
0.52,0.1555101,0.1746399
0.53,0.1498475,0.170713
0.54,0.1537054,0.1756249
0.55,0.15138,0.1814116
0.56,0.1485235,0.1799348
0.5700001,0.1476695,0.1827331
0.58,0.1454284,0.1874022
0.59,0.1515761,0.1789475
0.6,0.1378908,0.1799435
0.61,0.1492698,0.183862
0.62,0.1578632,0.178215
0.6300001,0.1566422,0.1819034
0.64,0.1622365,0.1773396
0.65,0.1563501,0.1670797
0.66,0.1545766,0.1799987
0.67,0.1461302,0.173248
0.68,0.1603071,0.1695787
0.6900001,0.1509073,0.1697802
0.7,0.1556067,0.1849627
0.71,0.1601114,0.181806
0.72,0.1473486,0.1824499
0.73,0.1555044,0.1810946
0.74,0.1461506,0.1798073
0.7500001,0.1472607,0.1780119
0.7600001,0.1453002,0.1837366
0.77,0.1486199,0.179474
0.78,0.1448231,0.177499
0.79,0.1494779,0.1753467
0.8,0.1527138,0.1770245
0.8100001,0.146106,0.1826898
0.8200001,0.1497546,0.1778257
0.83,0.1394184,0.1780962
0.84,0.1431944,0.1860699
0.85,0.1360842,0.1815701
0.86,0.144159,0.1874872
0.8700001,0.1415926,0.1842694
0.8800001,0.137784,0.1785219
0.89,0.1380469,0.1781752
0.9,0.1460954,0.1916494
0.91,0.1405269,0.1877585
0.92,0.1414457,0.1968213
0.9300001,0.153609,0.1868772
0.9400001,0.1483367,0.1865351
0.95,0.156337,0.1774557
0.96,0.1557225,0.1731845
0.97,0.1472874,0.1743541
0.98,0.1536451,0.1712507
0.9900001,0.1521747,0.1749195
1.0,0.1595699,0.1784052
1.01,0.1552088,0.182464
1.0200001,0.1601913,0.1791656
1.0300001,0.1605724,0.1826809
1.0400001,0.1635929,0.1770124
1.0500001,0.1544339,0.1811961
1.0600001,0.1543684,0.1806157
1.0700001,0.1511214,0.1812178
1.08,0.1494339,0.1870953
1.09,0.160926,0.1790784
1.1,0.163268,0.1732034
1.11,0.1541304,0.1780655
1.12,0.1649944,0.1879283
1.13,0.1586333,0.1717594
1.1400001,0.1517999,0.1846113
1.1500001,0.1570185,0.1860396
1.1600001,0.1557475,0.1793882
1.1700001,0.1577979,0.19006
1.1800001,0.1562243,0.1921209
1.1900001,0.151873,0.1889237
1.2,0.1535347,0.1810883
1.21,0.1569811,0.1861261
1.22,0.1539643,0.2029438
1.23,0.1543374,0.1971074
1.24,0.1511422,0.1883569
1.25,0.1571562,0.1737367
1.2600001,0.1526196,0.1748673
1.2700001,0.1618282,0.1872489
1.2800001,0.1593641,0.1829515
1.2900001,0.1666908,0.1811352
1.3000001,0.1647362,0.1867534
1.3100001,0.1578852,0.175175
1.3200001,0.155223,0.1791236
1.33,0.1635679,0.192994
