Time/Residue,AFR5_R1.xvg,RoG_md_A4482_R2.xvg
2.26,2.30955,2.30746
2.27,2.30659,2.30611
2.28,2.31158,2.317
2.29,2.30776,2.3079
2.3,2.30217,2.31288
2.31,2.31941,2.309
2.32,2.32576,2.31155
2.33,2.31578,2.31551
2.34,2.31731,2.30797
2.35,2.3232,2.3098
2.36,2.31919,2.3066
2.37,2.32598,2.31727
2.38,2.33076,2.30927
2.39,2.32768,2.30651
2.4,2.32724,2.31037
2.41,2.32076,2.30558
2.42,2.32391,2.30158
2.43,2.32879,2.31519
2.44,2.32,2.30461
2.45,2.32663,2.30209
2.46,2.3283,2.31468
2.47,2.32794,2.31888
2.48,2.32221,2.30577
2.49,2.33212,2.29994
2.5,2.33798,2.30014
2.51,2.32979,2.29739
2.52,2.32743,2.30368
2.53,2.32929,2.30579
2.54,2.33392,2.31415
2.55,2.33086,2.30486
2.56,2.3285,2.3136
2.57,2.32568,2.30896
2.58,2.32839,2.31054
2.59,2.33011,2.31008
2.6,2.32635,2.30268
2.61,2.32298,2.31656
2.62,2.32087,2.31408
2.63,2.32903,2.30322
2.64,2.33313,2.30008
2.65,2.31868,2.30772
2.66,2.33249,2.31214
2.67,2.32339,2.31419
2.68,2.32403,2.31108
2.69,2.31741,2.31373
2.7,2.31906,2.31183
2.71,2.32061,2.31084
2.72,2.3277,2.31171
2.73,2.32061,2.30966
2.74,2.32528,2.29996
2.75,2.32698,2.29877
2.76,2.33114,2.30126
2.77,2.32549,2.31129
2.78,2.33189,2.31094
2.79,2.33066,2.31079
2.8,2.32574,2.30815
2.81,2.32492,2.31758
2.82,2.33299,2.31131
2.83,2.33161,2.31494
2.84,2.32228,2.31111
2.85,2.31691,2.31264
2.86,2.31449,2.31574
2.87,2.32157,2.31153
2.88,2.32447,2.31167
2.89,2.31658,2.30484
2.9,2.31601,2.31227
2.91,2.31665,2.30759
2.92,2.3161,2.30028
2.93,2.31108,2.30724
2.94,2.32148,2.30734
2.95,2.32094,2.3054
2.96,2.31749,2.30987
2.97,2.31299,2.30454
2.98,2.31177,2.31375
2.99,2.31851,2.31271
3.0,2.31603,2.30777
3.01,2.3222,2.30451
3.02,2.31285,2.30423
3.03,2.31506,2.30862
3.04,2.31413,2.3042
3.05,2.31689,2.31726
3.06,2.32161,2.29751
3.07,2.31252,2.31403
3.08,2.31307,2.31234
3.09,2.3171,2.30024
3.1,2.32406,2.30644
3.11,2.31392,2.31925
3.12,2.31502,2.31015
3.13,2.31504,2.30004
3.14,2.3155,2.29927
3.15,2.3247,2.30067
3.16,2.31292,2.30643
3.17,2.31809,2.29877
3.18,2.31479,2.29598
3.19,2.32141,2.30001
3.2,2.32132,2.29847
3.21,2.31433,2.30695
3.22,2.30913,2.2983
3.23,2.30691,2.29394
3.24,2.31891,2.30102
3.25,2.32297,2.29892
3.26,2.3254,2.30621
3.27,2.32095,2.30524
3.28,2.32037,2.30378
3.29,2.31674,2.29829
3.3,2.31949,2.29198
3.31,2.32138,2.30201
3.32,2.31731,2.29844
3.33,2.31553,2.29807
3.34,2.31804,2.3057
3.35,2.32275,2.29902
3.36,2.31803,2.30317
3.37,2.31668,2.30266
3.38,2.31726,2.29782
3.39,2.31243,2.29474
3.4,2.31448,2.30001
3.41,2.31795,2.29417
3.42,2.31938,2.29846
3.43,2.3124,2.30215
3.44,2.31792,2.30048
3.45,2.31634,2.29455
3.46,2.32156,2.30285
3.47,2.31718,2.30674
3.48,2.31401,2.30782
3.49,2.3204,2.30372
3.5,2.30847,2.30628
3.51,2.31499,2.30676
3.52,2.30679,2.3008
3.53,2.31454,2.30902
3.54,2.31865,2.30325
3.55,2.32106,2.31249
3.56,2.32124,2.31414
3.57,2.31611,2.30013
3.58,2.31321,2.30621
3.59,2.31913,2.3019
3.6,2.31657,2.30437
3.61,2.31786,2.30378
3.62,2.32149,2.30528
3.63,2.31353,2.30108
3.64,2.31846,2.30297
3.65,2.31695,2.32376
3.66,2.31734,2.30416
3.67,2.31261,2.309
3.68,2.31985,2.31656
3.69,2.30989,2.31401
3.7,2.32148,2.31001
3.71,2.31536,2.31571
3.72,2.31275,2.30101
3.73,2.31481,2.31305
3.74,2.31662,2.31709
3.75,2.31549,2.30927
3.76,2.32041,2.32047
3.77,2.31994,2.31184
3.78,2.32608,2.32044
3.79,2.322,2.30685
3.8,2.32393,2.31515
3.81,2.31738,2.32092
3.82,2.32534,2.31793
3.83,2.3214,2.30631
3.84,2.32365,2.31499
3.85,2.31991,2.31671
3.86,2.3163,2.30943
3.87,2.31691,2.3105
3.88,2.31602,2.3112
3.89,2.31625,2.30539
3.9,2.32206,2.30478
3.91,2.31884,2.30624
3.92,2.31968,2.30617
3.93,2.32017,2.3067
3.94,2.31488,2.30684
