Time/Residue,AFR5_R1.xvg,AFR5_R2.xvg,Average
0.0,2.25035,2.25065,2.2505
1e-08,2.27359,2.27094,2.272265
2e-08,2.28399,2.27619,2.28009
3e-08,2.28234,2.27779,2.280065
4e-08,2.27939,2.2842,2.281795
5.0000000000000004e-08,2.2829,2.27546,2.27918
6e-08,2.28487,2.28325,2.28406
7e-08,2.28491,2.29499,2.28995
8e-08,2.28144,2.28431,2.282875
9e-08,2.27775,2.28085,2.2793
1.0000000000000001e-07,2.28851,2.27178,2.280145
1.1e-07,2.28272,2.28252,2.28262
1.2e-07,2.28199,2.28206,2.282025
1.3000000000000003e-07,2.28444,2.27828,2.28136
1.4e-07,2.28822,2.28523,2.286725
1.5e-07,2.28165,2.27637,2.27901
1.6e-07,2.28284,2.28347,2.283155
1.7000000000000001e-07,2.2891,2.27003,2.279565
1.8e-07,2.29146,2.28049,2.285975
1.9e-07,2.28989,2.28304,2.286465
2.0000000000000002e-07,2.29019,2.27409,2.28214
2.0999999999999997e-07,2.28909,2.28476,2.286925
2.2e-07,2.28661,2.28225,2.28443
2.3e-07,2.29166,2.28593,2.288795
2.4e-07,2.28648,2.28649,2.286485
2.5e-07,2.29134,2.28241,2.286875
2.6000000000000005e-07,2.2919,2.27937,2.285635
2.7e-07,2.28113,2.27732,2.279225
2.8e-07,2.28385,2.28612,2.284985
2.9e-07,2.27808,2.28529,2.281685
3e-07,2.28337,2.29039,2.28688
3.1e-07,2.28271,2.28479,2.28375
3.2e-07,2.28184,2.28689,2.284365
3.3e-07,2.28692,2.30041,2.293665
3.4000000000000003e-07,2.29195,2.28831,2.29013
3.5e-07,2.2924,2.29253,2.292465
3.6e-07,2.28902,2.28848,2.28875
3.7e-07,2.29367,2.29129,2.29248
3.8e-07,2.27912,2.2949,2.28701
3.8999999999999997e-07,2.28475,2.2932,2.288975
4.0000000000000003e-07,2.28615,2.29196,2.289055
4.1e-07,2.29741,2.29047,2.29394
4.1999999999999995e-07,2.29103,2.298,2.294515
4.3e-07,2.29723,2.30032,2.298775
4.4e-07,2.2892,2.30276,2.29598
4.5e-07,2.28678,2.29997,2.293375
4.6e-07,2.29192,2.2969,2.29441
4.7e-07,2.30082,2.29511,2.297965
4.8e-07,2.30421,2.30214,2.303175
4.9e-07,2.30118,2.29866,2.29992
5e-07,2.28941,2.28858,2.288995
5.1e-07,2.29386,2.29724,2.29555
5.200000000000001e-07,2.29629,2.29918,2.297735
5.3e-07,2.29066,2.29755,2.294105
5.4e-07,2.2894,2.28937,2.289385
5.5e-07,2.28398,2.29837,2.291175
5.6e-07,2.29203,2.29267,2.29235
5.699999999999999e-07,2.28698,2.29769,2.292335
5.8e-07,2.2969,2.29995,2.298425
5.9e-07,2.30138,2.30705,2.304215
6e-07,2.28803,2.29528,2.291655
6.1e-07,2.29316,2.29871,2.295935
6.2e-07,2.2905,2.30281,2.296655
6.3e-07,2.2887,2.31115,2.299925
6.4e-07,2.28711,2.30382,2.295465
6.499999999999999e-07,2.29107,2.29523,2.29315
6.6e-07,2.27916,2.30321,2.291185
6.7e-07,2.28547,2.30534,2.295405
6.800000000000001e-07,2.29355,2.29408,2.293815
6.9e-07,2.28796,2.30224,2.2951
7e-07,2.29178,2.31314,2.30246
7.099999999999999e-07,2.28362,2.29726,2.29044
7.2e-07,2.28275,2.30511,2.29393
7.3e-07,2.28423,2.30425,2.29424
7.4e-07,2.28224,2.30947,2.295855
7.5e-07,2.28834,2.30782,2.29808
7.6e-07,2.28981,2.30422,2.297015
7.7e-07,2.29623,2.30335,2.29979
7.799999999999999e-07,2.29466,2.30534,2.3
7.900000000000001e-07,2.29903,2.30266,2.300845
8.000000000000001e-07,2.29729,2.30555,2.30142
8.100000000000001e-07,2.29622,2.30752,2.30187
8.2e-07,2.28235,2.30187,2.29211
8.3e-07,2.28294,2.29788,2.29041
8.399999999999999e-07,2.29205,2.30502,2.298535
8.499999999999999e-07,2.28798,2.30655,2.297265
8.6e-07,2.29037,2.29793,2.29415
8.7e-07,2.28888,2.30548,2.29718
8.8e-07,2.28539,2.3055,2.295445
8.900000000000001e-07,2.28273,2.3013,2.292015
9e-07,2.29205,2.3065,2.299275
9.1e-07,2.28845,2.30428,2.296365
9.2e-07,2.28297,2.31168,2.297325
9.300000000000001e-07,2.28433,2.3007,2.292515
9.4e-07,2.29148,2.30456,2.29802
9.5e-07,2.28873,2.29557,2.29215
9.6e-07,2.28437,2.30086,2.292615
9.7e-07,2.28984,2.2968,2.29332
9.8e-07,2.29002,2.29227,2.291145
9.9e-07,2.29048,2.29343,2.291955
1e-06,2.29229,2.2978,2.295045
1.01e-06,2.28829,2.29831,2.2933
1.02e-06,2.28285,2.29685,2.28985
1.03e-06,2.29572,2.29686,2.29629
1.0400000000000002e-06,2.28982,2.29676,2.29329
1.0500000000000001e-06,2.28945,2.29889,2.29417
1.06e-06,2.28959,2.29453,2.29206
1.07e-06,2.28869,2.28643,2.28756
1.08e-06,2.28577,2.29094,2.288355
1.09e-06,2.28913,2.28596,2.287545
1.1e-06,2.28641,2.28908,2.287745
1.1100000000000002e-06,2.28058,2.28732,2.28395
1.12e-06,2.28554,2.29854,2.29204
1.13e-06,2.28461,2.29424,2.289425
1.1399999999999999e-06,2.27614,2.29388,2.28501
1.15e-06,2.27814,2.29823,2.288185
1.16e-06,2.28772,2.29513,2.291425
1.17e-06,2.28039,2.29338,2.286885
1.18e-06,2.28059,2.28732,2.283955
1.1899999999999998e-06,2.2817,2.28685,2.284275
1.2e-06,2.28165,2.29207,2.28686
1.2099999999999998e-06,2.27923,2.29056,2.284895
1.22e-06,2.28595,2.28583,2.28589
1.2299999999999999e-06,2.27952,2.2878,2.28366
1.24e-06,2.28356,2.28377,2.283665
1.25e-06,2.27912,2.29723,2.288175
1.26e-06,2.27886,2.29354,2.2862
1.2700000000000001e-06,2.28322,2.2951,2.28916
1.28e-06,2.28538,2.28447,2.284925
1.2900000000000001e-06,2.28505,2.28544,2.285245
1.2999999999999998e-06,2.28296,2.28304,2.283
1.31e-06,2.28216,2.28701,2.284585
1.32e-06,2.29212,2.28295,2.287535
1.33e-06,2.28165,2.29667,2.28916
1.34e-06,2.28938,2.28954,2.28946
1.35e-06,2.28919,2.28507,2.28713
1.3600000000000001e-06,2.27788,2.28831,2.283095
1.3700000000000002e-06,2.28128,2.28924,2.28526
1.38e-06,2.28565,2.29259,2.28912
1.39e-06,2.2843,2.28033,2.282315
1.4e-06,2.29062,2.29381,2.292215
1.41e-06,2.28403,2.28348,2.283755
1.4199999999999997e-06,2.28114,2.28104,2.28109
1.4299999999999999e-06,2.28563,2.27869,2.28216
1.44e-06,2.28777,2.28351,2.28564
1.4499999999999999e-06,2.29598,2.28596,2.29097
1.46e-06,2.29024,2.2907,2.29047
1.47e-06,2.29363,2.2791,2.286365
1.48e-06,2.29531,2.28053,2.28792
1.49e-06,2.2935,2.28548,2.28949
1.5e-06,2.28986,2.28462,2.28724
1.5100000000000002e-06,2.29139,2.28005,2.28572
1.52e-06,2.29629,2.27246,2.284375
1.5300000000000002e-06,2.29767,2.28777,2.29272
1.54e-06,2.29581,2.27856,2.287185
1.55e-06,2.30701,2.2853,2.296155
1.5599999999999999e-06,2.29758,2.28869,2.293135
