Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
1.4100001,0.1704355,0.1605773,0.1655064
1.4200001,0.1692017,0.1451469,0.1571743
1.4300001,0.1705865,0.1635626,0.16707455
1.4400001,0.1536155,0.1534299,0.1535227
1.45,0.1694822,0.1592654,0.1643738
1.46,0.1465354,0.149738,0.1481367
1.47,0.1735871,0.159064,0.16632555
1.48,0.1820662,0.1572627,0.16966445
1.4900001,0.1917602,0.1687067,0.18023345
1.5000001,0.1671515,0.1627877,0.1649696
1.5100001,0.1622135,0.1660435,0.1641285
1.5200001,0.1820053,0.1609315,0.1714684
1.5300001,0.1629896,0.1619092,0.1624494
1.5400001,0.2148012,0.147931,0.1813661
1.5500001,0.2203121,0.1522055,0.1862588
1.5600001,0.2219198,0.1361499,0.17903485
1.5700001,0.2447674,0.1404642,0.1926158
1.58,0.2174618,0.1566591,0.18706045
1.59,0.2160277,0.1586773,0.1873525
1.6,0.2040063,0.1385959,0.1713011
1.6100001,0.2157222,0.1397935,0.17775785
1.6200001,0.2231677,0.1526935,0.1879306
1.6300001,0.2519568,0.1422826,0.1971197
1.6400001,0.2328927,0.1546201,0.1937564
1.6500001,0.2303774,0.1339752,0.1821763
1.6600001,0.2311409,0.1347577,0.1829493
1.6700001,0.2217136,0.1522551,0.18698435
1.6800001,0.2236488,0.1714833,0.19756605
1.6900001,0.2600065,0.1400642,0.20003535
1.7,0.2549697,0.1438384,0.19940405
1.71,0.2518849,0.1606506,0.20626775
1.72,0.2334151,0.1739741,0.2036946
1.7300001,0.2581182,0.1676366,0.2128774
1.7400001,0.2234798,0.1636041,0.19354195
1.7500001,0.2509841,0.1511391,0.2010616
1.7600001,0.2535276,0.1477154,0.2006215
1.7700001,0.2305378,0.1452203,0.18787905
1.7800001,0.2543905,0.1410215,0.197706
1.7900001,0.2518967,0.1569442,0.20442045
1.8000001,0.2473354,0.1518463,0.19959085
1.8100001,0.2605777,0.1553548,0.20796625
1.8200001,0.2746773,0.1371222,0.20589975
