smiles,names
C[C@@H](C1=NC=NC=C1F)[C@](C2=C(F)C=C(F)C=C2)(O)C[N+]3=N[CH-]N=C3,VOR
O=C([C@H](N1CCCC1)C[N+]2=C[N-]C=C2)COC3=CC=C(C=C3Cl)Cl,AFR1
CC(C[C@@H](C([C@H](OC(C)C)CN1C=CN=C1)=O)OC2=CC=C(C=C2F)Cl)C,AFR2
CC(C[C@@H](C([C@H](OC(C)(C)C)CN1C=CN=C1)=O)OC2=CC=C(C=C2F)Cl)C,AFR3
C[C@H]([C@](CN1C=NC=N1)(C2=CC=C(C=C2F)F)O)N3CCN(CC3)C(NC(C)(C)C)=O,AFR4
CC(N(C(C)C)CC([N-]1)=NC=[N+]1C[C@](CN2C=NC=N2)(C3=CC=C(C=C3F)F)O)C,AFR5
