SN,Molecule,Binding energy (kcal/mol),SMILES,
59,A3291,-116.416,N#Cc1ccc(O[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1,
60,A5565,-116.408,Nc1ncccc1c1cc(Cc2ccc(OCCN3CCCCC3)cc2)no1,
61,A1580,-116.310,c1ccc(CCN2Cc3ccccc3N(Cc3ccccc3)C2)cc1,
62,A3632,-116.309,C[C@@H](N1Cc2cc(C#N)ccc2C1(C)C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
63,A3469,-116.302,C[C@@H](N1CCN(C(=O)C2CCCC2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
64,A702,-116.283,Cc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1,
65,A5583,-116.179,Nc1ncccc1c1cc(Cc2ccc(CN3CCCCCC3)cc2)no1,
66,A3769,-116.142,C[C@@H](N1CCN(Cc2ccoc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
67,A3307,-116.132,Fc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccccc2F)cc1,
68,A5579,-116.016,Nc1ncccc1c1cc(Cc2ccc(CN3CC[C@H](O)C3)cc2)no1,
69,A3319,-115.979,Fc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccc(F)cc2)cc1,
70,A2569,-115.976,CN(CCc1ccccc1)Cc1cccc2ccccc12,
71,A5588,-115.971,CN(CCO)Cc1ccc(Cc2cc(c3cccnc3N)on2)cc1,
72,A3206,-115.968,CN(Cc1ccc2ccccc2c1)Cc1ccccc1CO,
73,A4532,-115.936,Cc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2F)c(F)c1,
74,A5578,-115.917,CCN1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,
75,A5587,-115.891,Nc1ncccc1c1cc(Cc2ccc(CN3C[C@H](O)[C@@H](O)C3)cc2)no1,
76,A943,-115.890,CCC(C)(C)c1ccc(C[C@H]2CCN(CCN3C[C@@H](C)O[C@@H](C)C3)CC2)cc1,
77,A3204,-115.769,CC(C)N(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12,
78,A2594,-115.728,CN(Cc1cccc2ccccc12)C[C@H](O)Cc1ccccc1,
79,A2471,-115.679,CN(CCCc1cccc2ccccc12)Cc1ccccc1,
80,A1262,-115.661,C[C@@H]1CN(CCCO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)CCN1,
81,A3129,-115.660,Fc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(F)cc2)cc1,
82,A5582,-115.620,CC(C)N1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,
83,A4700,-115.457,C[C@H](O)CC/C=C/CN(C)Cc1cccc2ccccc12,
84,A708,-115.436,COc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(C)cc2Cl)cc1,
85,A2591,-115.340,CN(CCC#Cc1cccc2ccccc12)Cc1ccccc1,
86,A4698,-115.328,CC(C)N(C/C=C/C#CC(C)(C)O)Cc1ccc2ccccc2c1,
87,A4458,-115.322,O[C@@](CN1CCN(Cc2cccnc2)CC1)(Cn1cncn1)c1ccc(F)cc1F,
88,A1255,-115.304,O[C@H](CCc1ccccc1)CO[C@H](Cn1ccnc1)c1ccc(Cl)cc1Cl,
89,A3183,-115.170,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2cnccc12,
90,A4474,-115.149,O[C@@](CN1CCN(CC2CC2)CC1)(Cn1cncn1)c1ccc(F)cc1F,
91,A4726,-115.104,CN(C/C=C/CCCC(=O)O)Cc1cccc2ccccc12,
92,A2523,-115.003,CCN(CC)C/C=C/CN(C)Cc1cccc2ccccc12,
93,A53,-114.878,Fc1cc(C(F)(F)F)ccc1CO[C@@H](Cn1ccnc1)c1ccccc1,
94,A3172,-114.867,CCOc1cccc(CN(C)Cc2cccc3ccccc23)c1,
95,A1832,-114.867,CCCC[C@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@H](Cn1ccnc1)N(C)C,
96,A2633,-114.816,Cc1ccc(CCO[C@H](Cn2ccnc2)c2ccc(F)cc2F)cc1,
97,A3132,-114.807,Fc1ccc(CS[C@@H](Cn2ccnc2)c2ccccc2F)cc1,
98,A3234,-114.706,CCCN(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12,
99,A3336,-114.680,Cc1ccc(O[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1,
100,A2512,-114.668,CN(C)C/C=C/CN(C)Cc1cccc2ccccc12,
101,A4722,-114.642,CCCC#CCCN(C)Cc1cccc2ccccc12,
102,A3584,-114.591,C[C@@H](N1CCc2ncccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
103,A3153,-114.551,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2ccncc12,
104,A5573,-114.529,Nc1ncccc1c1cc(Cc2ccc(CN3C(=O)[C@H]4CC[C@@H]3C4)cc2)no1,
105,A134,-114.517,OC[C@@H](Cc1ccccc1)[C@@H]1CO[C@@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,
106,A4716,-114.515,CC(C)CC#CCN(C)Cc1cccc2ccccc12,
107,A3155,-114.500,Cc1ccccc1CN(C)Cc1cccc2ccccc12,
108,A2567,-114.483,CCN(C)C/C=C/CN(C)Cc1cccc2ccccc12,
109,A57,-114.473,N#CCc1ccc(CO[C@H](Cn2ccnc2)c2ccc(F)cc2F)cc1,
110,A1734,-114.441,CCN(CC)CCOC(=O)c1cc(Br)ccc1OCc1ccccc1,
111,A5580,-114.403,NC(=O)[C@@H]1CCCN1Cc1ccc(Cc2cc(c3cccnc3N)on2)cc1,
112,A3267,-114.384,CC(C)N(Cc1ccc(CO)cc1)Cc1cccc2ccccc12,
113,A3231,-114.371,COc1cc2ccccc2cc1CN(C)Cc1ccc(C)cc1,
114,A3330,-114.355,N#Cc1ccc(CO[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1,
115,A4718,-114.322,CCCCNC/C=C/CN(C)Cc1cccc2ccccc12,
116,A4517,-114.315,Cc1ccc2c(c1)C=NN(C[C@](O)(Cn1cncn1)c1ccc(F)cc1F)C2,
117,A4723,-114.310,C[C@H](O)C/C=C/CN(C)Cc1cccc2ccccc12,
118,A3158,-114.270,CN(Cc1ccccc1)Cc1ccc(C#N)c2ccccc12,
119,A4719,-114.262,CN(C)CCC#CCN(C)Cc1cccc2ccccc12,
120,A2603,-114.260,CN(Cc1cccc2ccccc12)C[C@@H]1CCCN1Cc1ccccc1,
121,A3230,-114.237,COc1ccc2ccccc2c1CN(C)Cc1ccc(C)cc1,
122,A3232,-114.193,CC(=O)c1ccc(CN(C)Cc2cccc3ccccc23)cc1,
123,A3219,-114.173,CC(=O)c1cccc(CN(C)Cc2cccc3ccccc23)c1,
124,A3195,-114.166,CN(Cc1ccc(CO)cc1)Cc1cccc2ccccc12,
125,A3259,-114.125,CN(Cc1ccc(CC#N)cc1)Cc1cccc2ccccc12,
126,A1705,-114.105,CCN(CC)CCOC(=O)C1=C(O)c2ccccc2[N+](Cc2ccccc2)C1=O,
127,A5581,-114.066,Nc1ncccc1c1cc(Cc2ccc(CN3CCC(C(=O)O)CC3)cc2)no1,
128,A4721,-114.051,CN(CC#CCNC(C)(C)C)Cc1cccc2ccccc12,
129,A3207,-114.038,CN(Cc1cccc(CN)c1)Cc1cccc2ccccc12,
130,A1635,-114.022,CC(C)N(CCCN)CCOC(=O)c1ccc(c2ccccc2)cc1O,
131,A3122,-113.903,CCOC[C@@H](Cn1ccnc1)OCc1ccc(Sc2ccccc2)cc1,
132,A1260,-113.840,Clc1ccc(OCCCO[C@H](Cn2ccnc2)c2ccccc2)cc1,
133,A4486,-113.822,COc1ccc2c(c1)CN(C[C@](O)(Cn1cncn1)c1ccc(F)cc1F)C2,
134,A4482,-113.784,CC(C)N(Cc1ncn(C[C@](O)(Cn2cncn2)c2ccc(F)cc2F)n1)C(C)C,
135,A1710,-113.770,CCN(CC)CCOC(=O)c1ccccc1Cc1ccccc1,
136,A3188,-113.688,CN(Cc1cccc(CO)c1)Cc1cccc2ccccc12,
137,A1638,-113.677,CCCN(CCC)CCOC(=O)c1ccc(c2ccccc2)cc1OC,
138,A3205,-113.675,COC(=O)c1ccc(CN(C)Cc2ccc(C)c3ccccc23)cc1,
139,A4464,-113.664,CCc1cn([C@H]2CCN(C[C@](O)(Cn3cncn3)c3ccc(F)cc3F)CC2)nn1,
140,A2596,-113.590,CCN(Cc1ccccc1OC)Cc1cccc2ccccc12,
141,A3295,-113.587,Clc1ccc(CC[C@H](Cn2ccnc2)OCc2ccccc2)cc1,
142,A3452,-113.560,C[C@@H](N1CCc2sccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
143,A3309,-113.531,N#Cc1ccc(C(=O)[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1,
144,A3255,-113.483,CCOc1ccccc1CN(C)Cc1cccc2ccccc12,
145,A3270,-113.396,CN(Cc1ccc(Cl)cc1)Cc1ccc(CN)c2ccccc12,
146,A4472,-113.364,CN(Cc1ccncc1)C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F,
147,A38,-113.347,OCCNC[C@H](OCc1ccc(C(F)(F)F)cc1)c1ccc(Cl)cc1Cl,
148,A3095,-113.316,Clc1ccc([C@H](CCn2ccnc2)OCCc2ccccc2)cc1,
149,A374,-113.311,OCCc1cn(C[C@H](OCc2ccc(Cl)cc2)c2ccc(Cl)cc2)cn1,
150,A5591,-113.286,CO[C@@H]1CCCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)C1,
151,A3477,-113.249,C[C@@H](N1CC[C@H](n2ccnc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
152,A5585,-113.220,Nc1ncccc1c1cc(Cc2ccc([C@H](O)CC3CCCC3)cc2)no1,
153,A3674,-113.194,C[C@@H](N1CC[C@H](c2ccc(C#N)cc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
154,A373,-113.193,CC(=O)c1ccc([C@@H](Cn2ccnc2)OCc2ccc(F)cc2)cc1,
155,A3160,-113.189,COC(=O)c1cccc(CN(C)Cc2cccc3ccccc23)c1,
156,A5572,-113.175,Nc1ncccc1c1cc(Cc2ccc(CN3C(=O)[C@@H]4CC[C@H]3C4)cc2)no1,
157,A4040,-113.138,CC1=CC(=O)[N+](C(=C1)C1CCCCC1)OCc1ccc(F)cc1,
158,A3218,-113.119,CN(Cc1ccccc1)Cc1cc(C#N)cc2ccccc12,
159,A4586,-113.090,Clc1ccc([C@@H](Cn2ccnc2)OCCNCc2ccccc2)c(Cl)c1,
160,A3194,-113.007,CN(Cc1ccccc1CO)Cc1cccc2ccccc12,
161,A267,-112.999,Cc1ccc([C@H](Cn2ccnc2)OCc2ccc(Cl)cc2F)cc1,
162,A3290,-112.967,N#Cc1ccc([C@@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1,
163,A4715,-112.965,CN(Cc1cccc2ccccc12)C[C@@H]1C[C@H]1C#CC(C)(C)C,
164,A3438,-112.947,C[C@@H](N1CCc2ccccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
165,A3326,-112.922,Clc1ccc(CC[C@@H](Cn2ccnc2)SCc2ccccn2)cc1,
166,A1599,-112.892,CCCN(CCC)CCOC(=O)c1cc(c2ccccc2)ccc1OC,
167,A1613,-112.879,CCN(CC)CCOC(=O)c1ccc(OCc2ccccc2)cc1,
168,A4510,-112.860,CCCN(Cc1ccco1)C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F,
169,A6157,-112.830,CCCCCCCCN[C@@H](C)[C@H](O)c1cn(C)c2ccccc12,
170,A335,-112.826,Cc1ccc([C@H](Cn2ccnc2)OCc2ccc(Cl)cc2F)cc1,
171,A4277,-112.824,COc1ccc(CO[C@H](COC(=O)N)OC[C@H](O)COc2ccc(Cl)cc2)cc1,
172,A4677,-112.802,CN(CC#CCOC(C)(C)C)Cc1cccc2ccccc12,
173,A856,-112.738,CCN(CC)C[C@H](C)Cc1ccc(C[C@@H](C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,
174,A3171,-112.716,CCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1,
175,A5577,-112.705,CC(=O)N1CCC(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,
176,A4714,-112.694,COC(=O)C/C=C/CN(C)Cc1cccc2ccccc12,
177,A790,-112.659,CCC(C)(C)c1ccc(CCCN2C[C@@H](C)O[C@@H](C)C2)c(C)c1,
178,A1605,-112.608,CCCN(CCC)CCOC(=O)c1cccc2ccccc12,
179,A4645,-112.597,OC(c1ccccc1)(c1ccccc1)c1cncn1Cc1ccc(Cl)cc1,
180,A3362,-112.596,Fc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccccc2)cc1,
181,A3366,-112.589,Clc1ccc(CC[C@H](Cn2ccnc2)OCc2ccccc2)cc1,
182,A3252,-112.582,CN(Cc1cccc(F)c1F)Cc1cccc2ccccc12,
183,A3199,-112.574,CN(Cc1ncccc1C(F)(F)F)Cc1cccc2ccccc12,
184,A3519,-112.565,CC(C)C(=O)N1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,
185,A4679,-112.538,CN(C/C=C/C(=O)C(C)(C)C)Cc1cccc2ccccc12,
186,A4452,-112.522,O[C@@](CNCc1ccc(F)cc1)(Cn1cncn1)c1ccc(F)cc1F,
187,A1846,-112.486,CC[C@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@@H](Cn1ccnc1)N1CCOCC1,
188,A4489,-112.459,O[C@](CNCCc1cnc[nH]1)(Cn1cncn1)c1ccc(F)cc1F,
189,A3278,-112.450,CCCCc1ccc(C(=O)OC[C@H](COC(=O)C)OC(=O)C)cc1,
190,A1565,-112.374,c1ccc(CN2C[C@H](c3ccccc3)N(Cc3ccccc3)C2)cc1,
191,A715,-112.363,OCc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,
192,A3335,-112.345,Clc1ccc(CC[C@H](Cn2ccnc2)Sc2cccnc2)cc1,
193,A271,-112.344,Cc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1,
194,A4531,-112.334,CC(C)N(Cc1nccn1C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F)C(C)C,
195,A4708,-112.303,C[C@H](O)CC/C=C/CN(C)Cc1cccc2ccccc12,
196,A3349,-112.276,COc1cccc(OC)c1O[C@@H](CCc1ccc(Cl)cc1)Cn1ccnc1,
197,A3360,-112.271,Cc1ccccc1O[C@@H](CCc1ccc(Cl)cc1)Cn1ccnc1,
198,A4492,-112.240,O[C@](CNCCn1ccnc1)(Cn1cncn1)c1ccc(F)cc1F,
199,A3069,-112.234,Clc1ccc([C@H](Cn2ccnc2)OCCCOc2ccccc2)cc1,
200,A4288,-112.222,Cc1ccc(CCO[C@H](COC(=O)N)OC[C@@H](O)COc2ccc(Cl)cc2)cc1,
201,A4521,-112.202,O[C@](CN1CCN(Cc2nccs2)CC1)(Cn1cncn1)c1ccc(F)cc1F,
202,A4463,-112.197,CCN(Cc1ccccn1)C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F,
203,A257,-112.172,FC(F)(F)c1ccc([C@@H](Cn2ccnc2)OCc2ccccc2)cc1,
204,A3063,-112.090,Fc1ccc(CCO[C@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1,
205,A3673,-112.056,C[C@@H](N1CCN(Cc2ccccc2Cl)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
206,A4476,-112.048,OCCN(Cc1ccncc1)C[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
207,A3388,-112.005,c1ccc(Cn2ccnc2[C@@H](c2ccccc2)n2ccnc2)cc1,
208,A3305,-111.985,COc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccccc2)cc1,
209,A3328,-111.976,N#CCc1ccc(O[C@@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1,
210,A4704,-111.892,CNC/C=C\C#CCN(C)Cc1cccc2ccccc12,
211,A3507,-111.796,C[C@@H](N1CC[C@H](c2cccc(F)c2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
212,A3263,-111.790,CN(Cc1ccc(Cl)cc1)Cc1ccc(CO)c2ccccc12,
213,A5842,-111.784,CC1=CC(=O)[N+](C(=C1)C[C@H](C)CC(C)(C)C)OCc1ccccn1,
214,A3735,-111.783,C[C@@H](N1CCN(C(C)(C)C(F)(F)F)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
215,A3374,-111.778,N#Cc1ccc(S[C@@H](CCc2ccccc2)Cn2ccnc2)cc1,
216,A4511,-111.762,O[C@](CN1CCN(c2ccccc2F)CC1)(Cn1cncn1)c1ccc(F)cc1F,
