SN,Molecule,Binding energy (kcal/mol),SMILES,
1272,A2180,-102.024,Cc1cccc(CS[C@H](C[N](=O)O)c2ccccc2Cl)c1,
1273,A5111,-102.001,CC(C)Cc1ccc(O[C@@H](C(=O)C(C)(C)C)n2ccnc2)cc1,
1274,A1729,-101.992,CCN(CC)CCCC(=O)c1c(O)cccc1c1ccccc1,
1275,A2381,-101.971,Fc1ccc(F)c([C@H](CCn2ccnc2)c2ccccc2)c1,
1276,A3579,-101.964,C[C@@H](N1CCN(C2(C(=O)O)CCC2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1277,A1876,-101.964,CC(C)N(C(=O)[C@H](Cn1ccnc1)Oc1ccc(Cl)cc1Cl)C(C)C,
1278,A2482,-101.962,CN(C/C=C/c1ccccc1)Cc1ccc(N(C)C)cc1,
1279,A1939,-101.956,Cc1nc2ccccc2n1CCCOc1ccc(Cl)cc1,
1280,A1257,-101.953,Cc1ccc(OCCO[C@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1,
1281,A4732,-101.941,CN(CCOCC(C)(C)C)Cc1cccc2ccccc12,
1282,A3499,-101.940,C[C@@H](N1CC[C@@H](O)C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1283,A2078,-101.938,O=C(O[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)C1CCCC1,
1284,A2997,-101.933,O[C@H](c1ccc(Cl)cc1)[C@](O)(c1ccc(Cl)cc1)[C@H]1CCCO1,
1285,A51,-101.917,Clc1ccc([C@H](CCn2ccnc2)OCc2cccnc2)c(Cl)c1,
1286,A2338,-101.895,c1ccc(CC[C@H](Cn2ccnc2)c2ccccc2)cc1,
1287,A858,-101.875,C[C@@H](CN1C[C@@H](C)O[C@@H](C)C1)c1ccc(C(C)(C)C)cc1,
1288,A1821,-101.872,Cc1ccc([C@@H](C)O[C@@H](Cn2ccnc2)C(=O)C(C)(C)C)cc1,
1289,A3418,-101.871,C[C@@H](N1CCN(C)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1290,A6207,-101.862,CC(C)CCCNC[C@H](O)c1ccc(SC(C)C)cc1,
1291,A1720,-101.862,CCN(CC)CCCc1ccccc1c1ccccc1,
1292,A813,-101.854,CC[C@@H](Cc1ccc(C(C)(C)C)cc1)CN1C[C@@H](C)O[C@H](C)C1,
1293,A2377,-101.845,Fc1ccc([C@H](Cn2ccnc2)c2ccccc2F)cc1,
1294,A5053,-101.832,CCCC(C)(C)C(=O)[C@H](Oc1ccc(C)cc1)n1ccnc1,
1295,A1656,-101.824,CCN(CC)CCSc1ccccc1c1ccccc1,
1296,A6102,-101.823,CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(Cl)c(OC)c1,
1297,A1263,-101.813,O=C(CCCO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)NC1CC1,
1298,A3604,-101.804,C[C@H](N1CCN(C2(C#N)CC2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1299,A281,-101.804,Cc1ccc(OC[C@@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1,
1300,A5004,-101.798,CC(=O)O[C@]1(C)CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C(=O)NCCc1ccccc1,
1301,A798,-101.796,CCC(C)(C)c1ccc(CCN2C[C@@H](C)O[C@@H](C)[C@H]2C)cc1,
1302,A166,-101.792,Cn1ccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)c1,
1303,A380,-101.788,CC(=O)c1ccc([C@H](Cn2ccnc2)OCc2ccc(Cl)cc2)cc1,
1304,A2364,-101.783,COc1ccc([C@@H](Cn2ccnc2)c2cccc(OC)c2)cc1,
1305,A2057,-101.777,CC(=O)c1ccc(CO[C@@H]2c3cc(C)ccc3S[C@H]2Cn2ccnc2)cc1,
1306,A3146,-101.773,CN(Cc1ccccc1C#N)Cc1cccc2ccccc12,
1307,A6226,-101.767,CSc1ccc([C@@H](C)NCCCCCCCO)cc1,
1308,A1990,-101.762,Cc1ccc2c(c1)[C@H](OCc1ccccc1F)[C@H](Cn1ccnc1)S2,
1309,A449,-101.758,CC(C)(O)[C@@H](c1ccccc1OCc1cccc(F)c1)n1ccnc1,
1310,A3409,-101.753,C(=C\c1ccccc1)/C[C@H](c1ccccc1)n1ccnc1,
1311,A2050,-101.740,CN(C)C[C@H]1Sc2ccc(F)cc2[C@@H]1OCc1c(F)cccc1F,
1312,A3583,-101.738,CC(C)N1CCN([C@@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,
1313,A1579,-101.736,CC(C)N1CN(Cc2ccccc2)/C(=N/c2ccccc2)/S1,
1314,A2993,-101.734,C=C[C@@H](O)c1ccc([C@@](O)(c2ccc(Cl)cc2)C2CC2)cc1,
1315,A3506,-101.730,C[C@@H](N1CCN(C(=O)C(C)(C)C)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1316,A825,-101.726,C[C@@H](Cc1ccc([C@@H](C)O)cc1)CN1C[C@@H](C)O[C@@H](C)C1,
1317,A5119,-101.724,CCCC(C)(C)C(=O)[C@H](Oc1cccc(Cl)c1)n1ccnc1,
1318,A5676,-101.724,Cc1ccc(C[C@@H](C)CC2=CC(=CC(=O)[N+]2O)C)cc1,
1319,A378,-101.721,Clc1cccc([C@@H](Cn2ccnc2)OCc2ccccc2)c1,
1320,A4470,-101.715,Cc1cn(C[C@@](O)(Cn2cncn2)c2ccc(F)cc2F)c(C)n1,
1321,A784,-101.702,CCC(C)(C)c1ccc(C[C@@H](C)CN2CCOC(C)(C)C2)cc1,
1322,A3763,-101.687,C[C@H](N1CCC(F)(F)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1323,A370,-101.687,Brc1ccc([C@H](Cn2ccnc2)OCc2ccccc2)cc1,
1324,A2156,-101.684,CCN(Cc1ccncc1)C(=S)Oc1ccc2c(c1)CCC2,
1325,A315,-101.671,Cc1ccc([C@@H](Cn2ccnc2)OCc2ccc(Cl)cc2)cc1,
1326,A3403,-101.670,Cc1ccc(c2cn(C)cc2[C@@H](c2ccccc2)n2ccnc2)cc1,
1327,A2052,-101.670,Cc1cccc(C)c1CO[C@H]1c2ccccc2S[C@H]1Cn1ccnc1,
1328,A2378,-101.668,CCc1cn(C[C@@H](c2ccccc2)c2ccc(Br)cc2)nn1,
1329,A3901,-101.663,CCCCO[N+]1C(=CC(=CC1=O)C)C1CCCCC1,
1330,A3645,-101.660,C[C@@H](N1CCc2cccc(Cl)c2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1331,A1659,-101.652,CCN(CC)CCCCOC(=O)c1ccc(c2ccccc2)o1,
1332,A318,-101.649,OCCCO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1,
1333,A1194,-101.646,CCOC(=O)c1cncn1[C@@H]1CCCc2cc(OC(C)C)ccc12,
1334,A803,-101.644,CCC(C)(C)c1ccc(CCN2C[C@H](C)O[C@H](C)C2)cc1,
1335,A5665,-101.635,CC1=CC(=O)[N+](C(=C1)C[C@H](C)CC(C)(C)C)CCO,
1336,A4431,-101.614,OCCCNC[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1337,A1214,-101.607,CCOC(=O)Cc1cncn1[C@H]1CCc2ccccc12,
1338,A1905,-101.602,Cn1c(=N)n(Cc2ccc(Cl)cc2)c2ccccc12,
1339,A4620,-101.600,OC(c1ccccc1)(c1ccccc1)c1ccccc1Cn1ccnc1,
1340,A1363,-101.596,CCOC(=O)c1cncn1[C@H]1CC[C@H](O)c2ccccc12,
1341,A912,-101.595,CCC(C)(C)c1ccc(C[C@H](C)CN2CCCC2)cc1,
1342,A4398,-101.592,Cc1nccn1C[C@@H](OCc1cccnc1)c1ccc(Cl)cc1Cl,
1343,A4468,-101.588,CN1C=CN(C[C@@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,
1344,A3428,-101.587,C[C@@H](N1CCC(F)(F)C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1345,A800,-101.584,CCC(C)(CC)c1ccc(C[C@H](C)CN2CCO[C@@H](C)C2)cc1,
1346,A710,-101.577,OCCCCO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl,
1347,A2269,-101.577,Ic1ccc([C@@H](CCn2ccnc2)c2ccccc2)cc1,
1348,A3066,-101.565,CCC(CC)CO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1,
1349,A6094,-101.564,CCCCCCCN[C@@H](C)[C@H](O)c1ccc(OC)cc1,
1350,A2208,-101.562,CC(C)CN(C)CCS[C@@H](C[N](=O)O)c1ccccc1Cl,
1351,A3240,-101.557,CN(Cc1ccccc1N(C)C)Cc1cccc2ccccc12,
1352,A1689,-101.551,CCN(CC)CCc1ccccc1c1ccccc1,
1353,A2247,-101.550,c1ccc(C[C@@H](Cn2ccnc2)c2ccccc2)cc1,
1354,A2613,-101.539,C=C(C)CO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl,
1355,A5792,-101.537,CC1=CC(=O)[N+](C(=C1)C[C@@H](C)CC(C)(C)C)OC(=O)c1cccnc1,
1356,A6672,-101.535,C[C@@H]1C[C@H](C)C[C@@H]([C@H](O)CC2CC(=O)N(Cc3ccc(F)cc3)C(=O)C2)C1=O,
1357,A5122,-101.518,CCCCc1ccc(O[C@H](C(=O)C(C)(C)C)n2ccnc2)cc1,
1358,A1880,-101.516,CC[C@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@H](N)Cn1ccnc1,
1359,A347,-101.512,COc1cccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2)c1,
1360,A1676,-101.511,CCN(CC)CCOC(=O)c1ccccc1C(=O)c1ccccc1,
1361,A5003,-101.509,CC(=O)O[C@]1(C)CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C(=O)Nc1cccc(C#N)c1,
1362,A3486,-101.497,C[C@@H](N1CC[C@H](NC(=O)NC(C)(C)C)C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1363,A776,-101.488,CCC(C)(C)c1ccc(CCN2C[C@H](C)O[C@@H](C)C2)cc1,
1364,A924,-101.478,CC[C@H]1CN(C[C@H](C)Cc2ccc(C(C)(C)C)cc2)CCO1,
1365,A1069,-101.467,CCOC(=O)c1ccn([C@H]2CCc3ccccc23)c1,
1366,A3436,-101.447,C[C@@H](N1CCN(C2CC2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1367,A6164,-101.447,CCCCCCCCN[C@H](C)[C@H](O)c1ccc(C)cc1,
1368,A926,-101.444,CCC(C)(C)c1ccc(CCCN2C[C@@H](C)OC(C)(C)C2)cc1,
1369,A236,-101.438,OCCOC[C@]1(c2ccc(Cl)cc2)O[C@H]1c1ccc(Cl)cc1Cl,
1370,A2358,-101.437,CC(C)c1cn(C[C@@H](c2ccccc2)c2ccc(F)cc2)cn1,
1371,A5775,-101.432,CC1=CC(=O)[N+](C(=C1)C[C@H](C)CC(C)(C)C)OC(=O)c1cccnc1,
1372,A1189,-101.432,CCOC(=O)c1cncn1[C@H]1C[C@@H](O)Cc2ccccc12,
1373,A5950,-101.430,CCCCCCCCN[C@@H](C)[C@H](O)c1ccc(OC)cc1,
1374,A356,-101.428,CC(=O)CCCCO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1,
1375,A1955,-101.412,CCOc1ccc(Cn2c(C)nc3ccccc23)cc1,
1376,A1570,-101.407,O=C1CN(Cc2ccccc2)CN1c1ccccc1,
1377,A773,-101.405,CCC(C)(C)c1ccc(CCCCN2C[C@@H](C)O[C@@H](C)C2)cc1,
1378,A1862,-101.404,CCCC(C)(C)C(=O)[C@@H](Cn1ccnc1)Oc1ccc(C)cc1C,
1379,A4256,-101.402,CCOC(=O)CCc1ccc(OC[C@H](O)COC(=O)N)cc1,
1380,A4389,-101.401,CCCCCC(=O)[C@H](C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1381,A358,-101.395,N#Cc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1,
1382,A3609,-101.390,C[C@H](N1CCc2ccccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1383,A1697,-101.386,CCCCN(C)CCOC(=O)c1ccccc1c1ccccc1,
1384,A3690,-101.385,C[C@H]1c2ccsc2CN1[C@H](C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1385,A1778,-101.385,CC(C)C[C@@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@@H](C)Cn1ccnc1,
1386,A323,-101.381,Clc1ccc([C@H](Cn2ccnc2)OCCc2ccccc2)cc1,
1387,A1304,-101.381,CN(C)CCN[C@H]1c2ccccc2CCc2cc(Cl)cc(Cl)c12,
1388,A2871,-101.371,C[C@](O)(c1ccc(Cl)cc1)[C@H](O)c1ccc(Cl)cc1,
1389,A6375,-101.361,CCC[C@H]1CC(=O)[C@@H](C[C@H](O)[C@@H]2C[C@H](C)C[C@H](C)C2=O)C1,
1390,A5999,-101.354,CCCCN[C@@H](C)[C@@H](O)c1ccc(OC(C)C)cc1,
1391,A4717,-101.351,C=C(C)CN(C)Cc1cccc2ccccc12,
1392,A916,-101.344,CC[C@H](Cc1cccc(C(C)C)c1)CN1C[C@@H](C)O[C@@H](C)C1,
1393,A2516,-101.318,CN(C/C=C/c1ccccc1)Cc1c[nH]c2ccccc12,
1394,A2274,-101.312,COc1ccc([C@@H](Cn2ccnc2)c2ccccc2)cc1OC,
1395,A4423,-101.308,Clc1cc(Cl)c(OCC#CCN2CCCCCC2)cc1Cl,
1396,A1872,-101.298,CC(C)C[C@@H](Oc1ccc(Cl)cc1Cl)C(=O)C(C)(C)Cn1ccnn1,
1397,A835,-101.295,CCC(C)(CC)c1ccc(C[C@@H](O)CN2C[C@@H](C)O[C@@H](C)C2)cn1,
1398,A6112,-101.293,CC(C)CCCN[C@H](C)[C@H](O)c1ccc(SC(C)C)cc1,
1399,A2229,-101.284,c1ccc(C(CCn2ccnc2)c2ccccc2)cc1,
1400,A2578,-101.282,CN(C/C=C\c1ccccc1)Cc1ccccc1,
1401,A2536,-101.277,CN(CC/C=C/c1ccccc1)CCc1ccccc1,
1402,A342,-101.272,CCC(CC)CO[C@H](Cn1ccnc1)c1ccc(Cl)cc1,
1403,A801,-101.271,CCC(C)(CC)c1ccc(C[C@H](C)CN2C[C@@H](C)O[C@@H](C)C2)cn1,
1404,A1178,-101.269,CCCCOC(=O)c1cncn1[C@H]1CCCc2ccccc12,
1405,A899,-101.258,CCC(C)(C)c1ccc(CCCN2CCO[C@@H](C)C2)cc1,
1406,A5960,-101.256,CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(C)cc1,
1407,A1982,-101.256,CCCCO[C@H]1c2cc(F)ccc2S[C@@H]1Cn1ccnc1,
1408,A2486,-101.254,CN(C/C=C/c1ccccc1)Cc1ccccc1Cl,
1409,A4528,-101.253,O[C@@](CNC1CCCCC1)(Cn1cncn1)c1ccc(F)cc1F,
1410,A793,-101.252,CC[C@H](Cc1ccc(C(C)(C)O)cc1)CN1C[C@@H](C)O[C@@H](C)C1,
1411,A5797,-101.245,COc1ccc(C(C)(C)C[C@@H](C)CC2=CC(=CC(=O)[N+]2O)C)cc1,
1412,A1918,-101.241,OCCc1nc2ccccc2n1Cc1ccc(F)cc1,
1413,A3377,-101.232,CCCCNC[C@@H](Cn1ccnc1)Sc1c(Cl)cccc1Cl,
1414,A2259,-101.222,c1ccc(C(OCCn2ccnc2)c2ccccc2)cc1,
1415,A2291,-101.221,CCc1ccc([C@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1,
1416,A2039,-101.205,OC[C@H]1Sc2ccc(F)cc2[C@@H]1OCc1ccccc1F,
1417,A3500,-101.202,C[C@@H](N1CC[C@](O)(c2cccc(F)c2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1418,A1600,-101.201,CCN(CC)CCOC(=O)c1cc(c2ccccc2)oc1C,
1419,A1686,-101.199,CCN(CC)CCCOC(=O)c1ccc(c2ccccc2OC)cc1,
1420,A2494,-101.196,CN(C/C=C/c1ccccc1)Cc1cc2ccccc2o1,
1421,A2115,-101.176,CCCCO[C@@H](Cn1ccnc1)c1ccc(C)cc1Cl,
1422,A1610,-101.168,CC(C)N(CCCN)CCOC(=O)c1cccc(c2ccccc2)c1O,
1423,A1995,-101.167,Fc1ccc(CO[C@@H]2c3ccccc3S[C@H]2Cn2ccnc2)cc1,
1424,A963,-101.165,CCOC(=O)CCc1cncn1[C@@H]1CCCc2ccccc12,
1425,A2267,-101.162,COc1ccc(C(Cn2ccnc2)c2ccc(OC)cc2)cc1,
1426,A3154,-101.157,CN(Cc1ccc(Cl)cc1)Cc1ccc2ccccc2n1,
1427,A2282,-101.155,Cc1cn(C[C@@H](c2ccccc2)c2ccc(Cl)cc2)cn1,
1428,A440,-101.154,CC(C)(O)[C@@H](c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,
1429,A5907,-101.134,CC1=CC(=O)[N+](C(=C1)C[C@H](C)C[C@@H](C)CC(C)(C)O)O,
1430,A1857,-101.126,CC(C)(C)CC(=O)[C@H](Cn1ccnc1)Oc1ccc(F)cc1F,
1431,A2375,-101.126,N#Cc1ccccc1[C@@H](Cn1ccnc1)c1ccc(F)cc1,
1432,A826,-101.123,CCC(C)(C)c1ccc(CCN2C[C@@H](C)O[C@@H](C)C2)nc1,
1433,A2106,-101.123,Clc1ccc([C@H](Cn2ccnc2)OCC2CCC2)c(Cl)c1,
1434,A248,-101.114,Clc1ccc([C@@H](Cn2ccnc2)OCc2ccccc2)cc1,
1435,A3097,-101.109,Fc1cccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2)c1,
1436,A1443,-101.084,CCOC(=O)c1cncn1[C@H]1C[C@@]2(C)Cc3ccccc3[C@@H]1C2,
1437,A3081,-101.079,Clc1ccc([C@H](Cn2ccnc2)OCCc2cccs2)cc1,
1438,A3453,-101.079,C[C@H](N1CCC(C)(C)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1439,A4685,-101.076,CC#CCN(C)Cc1cccc2ccccc12,
1440,A2559,-101.069,CN(C/C=C/c1ccccc1)Cc1ccc(CO)cc1,
1441,A1466,-101.060,CCOC(=O)c1cncn1[C@H]1C[C@]2(C)C[C@H]1c1ccccc21,
1442,A1562,-101.046,c1ccc(CN2CCCN(Cc3ccccc3)C2)cc1,
1443,A3656,-101.044,CCCCN(CC)[C@H](C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1444,A2492,-101.042,COc1ccc(/C=C/CN(C)Cc2ccccc2)cc1,
1445,A4439,-101.038,O[C@@](CNCC(F)(F)F)(Cn1cncn1)c1ccc(F)cc1F,
1446,A1946,-101.035,CSc1nc2ccccc2n1Cc1ccc(C2CC2)cc1,
1447,A5689,-101.034,CC1=CC(=O)[N+](C(=C1)C[C@@H](C)CC(C)(C)c1ccc(O)cc1)O,
1448,A780,-101.031,C[C@@H](Cc1ccc(C(C)C)cc1)CN1C[C@@H](C)O[C@H](C)C1,
1449,A3532,-101.030,C[C@@H](N1CCN(Cc2cccc(F)c2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1450,A2242,-101.027,N#Cc1ccc([C@H](CCn2ccnc2)c2ccccc2)cc1,
1451,A4979,-101.009,CC(=O)O[C@]1(C)CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C(=O)OCc1ccc(O)cc1,
1452,A2515,-100.999,CN(C/C=C/c1ccccc1)Cc1cc2ccccc2[nH]1,
1453,A1037,-100.991,CCCN(CCC)C(=O)c1cncn1[C@@H]1CCCc2ccccc12,
1454,A1628,-100.989,CCN(CC)CCCOC(=O)c1ccc(c2ccccc2)o1,
1455,A6014,-100.987,CCCN(CCC)[C@@H](C)[C@@H](O)c1ccc(SC(C)C)cc1,
1456,A1998,-100.987,Cc1ccc2c(c1)[C@H](OCc1cccc(F)c1)[C@@H](Cn1ccnc1)S2,
1457,A2622,-100.987,OCCCCCO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl,
1458,A255,-100.984,Cc1ccc(CO[C@H](Cn2ccnc2)c2ccc(C)cc2)cc1,
1459,A1119,-100.984,CCOC(=O)Cn1cnc([C@@H]2CCCc3ccccc23)c1,
1460,A2122,-100.984,CCCCO[C@H](Cn1ccnc1)c1ccc(OC)cc1Cl,
1461,A827,-100.979,CCC(C)(C)c1ccc(C[C@H](C)CN2C[C@@H](C)O[C@H](C)C2)cc1,
1462,A5741,-100.975,CCC1=CC(=O)[N+](C(=C1)C[C@@H](C)CC(C)(C)C)N,
1463,A1993,-100.970,Cc1ccc2c(c1)S[C@@H](Cn1ccnc1)[C@@H]2OCc1ccccc1,
1464,A6008,-100.967,CCCCCCCCN[C@H](C)[C@H](O)c1cccc(Cl)c1,
1465,A3751,-100.960,C[C@@H](N1CC[C@H](c2cccc(C#N)c2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1466,A4432,-100.959,O[C@H]1CCN(C[C@@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,
1467,A3293,-100.949,CC(C)S[C@H](CCc1ccc(Cl)cc1)Cn1ccnc1,
1468,A5795,-100.945,CC1=CC(=O)[N+](C(=C1)C[C@@H](C)CC(C)(C)C(=O)N)O,
1469,A2284,-100.945,Fc1ccc([C@@H](CCn2ccnc2)c2cccc(F)c2)cc1,
1470,A1731,-100.940,CCN(CC)CCN(CC)Cc1ccccc1c1ccccc1,
1471,A3554,-100.935,C[C@@H](N1CC[C@@](O)(c2cccc(C#N)c2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1472,A917,-100.934,CCC(C)(CC)c1ccc(C[C@@H](C)CN2C[C@@H](C)O[C@@H](C)C2)nc1,
1473,A4500,-100.928,CN1C=NN(C[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,
1474,A2761,-100.928,OCc1ccc([C@@](O)(c2ccc(Cl)cc2)C2CC2)cc1,
1475,A5758,-100.920,Cc1cccc(C[C@@H](C)CC2=CC(=CC(=O)[N+]2O)C)c1,
1476,A4741,-100.915,CC(=O)O[C@]1(C)CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@@H]3C(=O)Cc1ccccc1,
1477,A3238,-100.906,COc1ccc(CN(C)Cc2cccc3[nH]ccc23)cc1,
1478,A1227,-100.900,CCOC(=O)c1cncn1[C@H]1C[C@@](C)(O)c2ccccc12,
1479,A3640,-100.892,CCCC[C@@]1(O)CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,
1480,A2234,-100.891,N#Cc1ccc([C@H](Cn2ccnc2)c2ccc(F)cc2)cc1,
1481,A3753,-100.874,C[C@@H](N(C)[C@H]1CC[C@@H](O)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1482,A317,-100.861,CC[C@@H](Cn1ccnc1)OCc1c(Cl)cccc1Cl,
1483,A3518,-100.834,C[C@@H](N1CCN(C(=O)C2CCC2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1484,A1769,-100.831,CCCCC(=O)[C@H](Cn1ccnc1)Oc1ccc(C)cc1Cl,
1485,A375,-100.827,COc1ccccc1CO[C@H](Cn1ccnc1)c1ccc(Cl)cc1,
1486,A44,-100.818,CC[C@@H](Cn1ccnc1)OCc1ccc(C(F)(F)F)cc1,
1487,A1926,-100.817,CC(C)(C)c1nc2ccccc2n1Cc1ccc(F)cc1,
1488,A2301,-100.817,CCc1nccn1C[C@@H](c1ccccc1)c1ccc(Cl)cc1,
1489,A46,-100.815,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccccc2)cc1,
1490,A3224,-100.811,CN(Cc1ccccc1)Cc1cccc2[nH]ccc12,
1491,A3472,-100.809,C[C@@H](N1CCN(C(C)(C)C)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1492,A855,-100.807,CCC(C)(C)c1ccc(OC[C@H](C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,
1493,A3430,-100.803,C[C@H](N1CCC(=O)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1494,A940,-100.794,CC[C@H](Cc1ccc(C(C)(C)C)cc1)N1C[C@@H](C)O[C@@H](C)[C@H]1C,
1495,A3568,-100.790,C[C@H](N1CCC(F)(F)C1)[C@@](O)(Cn1cncn1)c1ccc(F)cc1F,
1496,A2519,-100.790,CN(CC/C=C/c1ccccc1)Cc1ccccc1F,
1497,A875,-100.789,C[C@H](Cc1ccc(C(C)C)cc1)CN1C[C@H](C)O[C@@H](C)C1,
1498,A2527,-100.786,CC(=O)N(C/C=C/c1ccccc1)Cc1ccccc1,
1499,A2475,-100.768,CCN(C/C=C/c1ccccc1)Cc1ccccc1,
1500,A1114,-100.751,CCOC(=O)c1cncn1[C@H]1C[C@@H](C(C)C)Cc2ccccc12,
1501,A3657,-100.747,C[C@H](N1CCc2cc(C#N)ccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1502,A5570,-100.747,C[C@H](c1ccc(Cc2cc(c3cccnc3N)on2)cc1)N(C)C,
1503,A1782,-100.731,CC(C)(C)C(=O)[C@@H](Cn1ccnc1)Oc1ccccc1F,
1504,A321,-100.722,Cc1ccc(OC[C@@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1,
1505,A3099,-100.715,Clc1ccc([C@@H](CCn2ccnc2)OCc2ccco2)cc1,
1506,A3750,-100.693,C[C@@H](N1C[C@@H]2C[C@H]1CN2)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1507,A5134,-100.686,O=C([C@H](Oc1ccc(Cl)cc1)C1CC1)[C@H](C1CC1)n1ccnc1,
1508,A1909,-100.682,CCCc1nc2ccccc2n1Cc1ccccc1,
1509,A2117,-100.681,C=CCO[C@H](CCn1ccnc1)c1ccc(Cl)cc1Cl,
1510,A2347,-100.671,Cc1nccn1C[C@H](c1ccccc1)c1ccc(Cl)cc1,
1511,A3365,-100.670,COC(=O)[C@H](CCc1ccc(Cl)cc1)Cn1ccnc1,
1512,A6177,-100.670,CCCCCCN[C@H](C)[C@@H](O)c1ccc(OC)cc1,
1513,A5959,-100.669,CCCCCCCCN[C@@H](C)[C@@H](O)c1ccc(Cl)cc1,
1514,A3591,-100.668,C[C@@H](N1CC[C@@](C)(C#N)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1515,A1683,-100.659,CCN(CC)CCCOC(=O)c1ccc(Oc2ccccc2)cc1,
1516,A4515,-100.654,CCN(Cc1cccnc1)C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F,
1517,A4930,-100.654,CC(=O)O[C@]1(C)CC[C@@]23C[C@@H]1C(C)(C)[C@H]2CC[C@H]3C(=O)OCc1ccccc1,
1518,A4234,-100.641,COC(=O)CCc1ccc(OC[C@@H](O)COC(=O)N)cc1,
1519,A2007,-100.641,NC[C@@H]1Sc2ccc(F)cc2[C@H]1OCc1ccccc1F,
1520,A1018,-100.639,CCOC(=O)c1cncn1[C@H]1CC[C@@H](c2ccccc2)c2ccccc12,
1521,A2271,-100.630,CC(C)c1ccc([C@@H](Cn2ccnc2)c2ccccc2)cc1,
1522,A3538,-100.628,C[C@H](N1CCc2sccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
1523,A120,-100.623,CS/C=C(\c1cccc(OCCCC(C)C)c1)/n1ccnc1,
1524,A713,-100.615,CC[C@H](CO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)OC,
1525,A1987,-100.611,CCCCCCO[C@H]1c2cc(F)ccc2S[C@@H]1Cn1ccnc1,
