ÿchembl_id,SMILES
CHEMBL1327203,c1(COC(c2c(cc(cc2)Cl)Cl)Cn2cncc2)c(Cl)cccc1Cl
CHEMBL2107443,[N+](=O)(CC(c1c(Cl)cccc1)SCCN)[O-]
CHEMBL626,c1(c2c(ccc1)cccc2)CN(C/C=C/c1ccccc1)C
CHEMBL346235,c1(nc2c(s1)cc(cc2)OCCN(CC)CC)N(C)C
CHEMBL562,[C@@]12(C(=O)c3c(O1)c(c(cc3OC)OC)Cl)C(=CC(=O)C[C@H]2C)OC
CHEMBL409153,C(#N)c1ccc(cc1)c1nc(sc1)[C@H](C)[C@@](Cn1ncnc1)(O)c1c(ccc(c1)F)F
CHEMBL1200725,s1c2c(c(c1)CO[C@@H](c1c(cc(cc1)Cl)Cl)Cn1cncc1)cccc2Cl
CHEMBL1591365,C(=S)(N(c1nc(OC)ccc1)C)Oc1cc2c(cc1)CCCC2
CHEMBL808,c1(c(cc(cc1)Cl)Cl)[C@H](Cn1cncc1)OCc1ccc(Cl)cc1
CHEMBL808,c1(c(cc(cc1)Cl)Cl)C(Cn1cncc1)OCc1ccc(Cl)cc1
CHEMBL625,c1(nc2c([nH]1)cccc2)c1ncsc1
CHEMBL541,C(=O)(c1ccccc1)O
CHEMBL2105277,C(C1CC1)(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)O
CHEMBL3989547,c1(nc(cs1)c1ccccc1Oc1ccc(cc1C)C)N=C1NCCCN1
CHEMBL153192,c1(C(=O)Nc2ccc(Cl)cc2)c(ccc(c1)Br)O
CHEMBL2105308,c1(COC(Cn2cncc2)c2ccc(cc2)Cl)c(Cl)cccc1Cl
CHEMBL1651990,c1([C@@H](Cn2ccnc2)OCc2ccc(cc2)Sc2ccccc2)c(cc(cc1)Cl)Cl
CHEMBL1221,c1(c(cc(cc1)Cl)Cl)[C@@H](SCc1ccc(Cl)cc1)Cn1cncc1
CHEMBL990,c1(c2c(ccc1)cccc2)CN(Cc1ccc(C(C)(C)C)cc1)C
CHEMBL1489254,C(=O)(OC(COC(=O)C)COC(=O)C)C
CHEMBL1295,c1(SC(Cn2cncc2)CCc2ccc(Cl)cc2)c(Cl)cccc1Cl
CHEMBL1295,c1(S[C@@H](Cn2cncc2)CCc2ccc(Cl)cc2)c(Cl)cccc1Cl
CHEMBL277535,n1(cncc1)C(c1ccc(cc1)c1ccccc1)c1ccccc1
