Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
1.67,2.29282,2.2883,2.29056
1.68,2.29365,2.29012,2.291885
1.69,2.29935,2.29266,2.296005
1.7,2.293,2.29201,2.292505
1.71,2.29749,2.29107,2.29428
1.72,2.29701,2.2941,2.295555
1.73,2.2952,2.28613,2.290665
1.74,2.30496,2.28891,2.296935
1.75,2.29493,2.28808,2.291505
1.76,2.29935,2.28306,2.291205
1.77,2.29285,2.28361,2.28823
1.78,2.28797,2.28462,2.286295
1.79,2.29722,2.28436,2.29079
1.8,2.3058,2.28659,2.296195
1.81,2.298,2.28333,2.290665
1.82,2.30261,2.28486,2.293735
1.83,2.29909,2.28615,2.29262
1.84,2.29617,2.28431,2.29024
1.85,2.30012,2.28444,2.29228
1.86,2.29499,2.2856,2.290295
1.87,2.29885,2.28369,2.29127
1.88,2.28893,2.2797,2.284315
1.89,2.29291,2.27493,2.28392
1.9,2.29544,2.28065,2.288045
1.91,2.30132,2.28749,2.294405
1.92,2.29759,2.28464,2.291115
1.93,2.30449,2.28311,2.2938
1.94,2.29271,2.2882,2.290455
1.95,2.29617,2.28307,2.28962
1.96,2.29352,2.28439,2.288955
1.97,2.28767,2.29262,2.290145
1.98,2.2969,2.29406,2.29548
1.99,2.29956,2.29516,2.29736
2,2.28943,2.28372,2.286575
2.01,2.28978,2.29064,2.29021
2.02,2.29358,2.28668,2.29013
2.03,2.28858,2.28669,2.287635
2.04,2.28916,2.27593,2.282545
2.05,2.28167,2.27672,2.279195
2.06,2.28452,2.29083,2.287675
2.07,2.28512,2.29277,2.288945
2.08,2.28932,2.28529,2.287305
2.09,2.29006,2.29679,2.293425
2.1,2.29443,2.29182,2.293125
2.11,2.30087,2.29415,2.29751
2.12,2.29987,2.29778,2.298825
2.13,2.29176,2.28811,2.289935
2.14,2.29701,2.28853,2.29277
2.15,2.29676,2.28933,2.293045
2.16,2.29865,2.30029,2.29947
2.17,2.29765,2.29361,2.29563
2.18,2.29885,2.29314,2.295995
2.19,2.29773,2.30009,2.29891
2.2,2.29253,2.29601,2.29427
2.21,2.28928,2.29649,2.292885
2.22,2.29388,2.29147,2.292675
2.23,2.29143,2.29491,2.29317
2.24,2.29691,2.28964,2.293275
2.25,2.30557,2.28839,2.29698
2.26,2.30328,2.2864,2.29484
2.27,2.30239,2.29054,2.296465
2.28,2.30003,2.28698,2.293505
2.29,2.3007,2.30161,2.301155
2.3,2.29674,2.30303,2.299885
2.31,2.2919,2.29726,2.29458
2.32,2.28472,2.29311,2.288915
2.33,2.29991,2.29192,2.295915
2.34,2.29421,2.29416,2.294185
2.35,2.29651,2.29394,2.295225
2.36,2.29558,2.29177,2.293675
2.37,2.30281,2.29219,2.2975
2.38,2.29532,2.2941,2.29471
2.39,2.29727,2.30188,2.299575
2.4,2.29764,2.28847,2.293055
2.41,2.29946,2.29201,2.295735
2.42,2.29692,2.29539,2.296155
2.43,2.29885,2.28571,2.29228
2.44,2.29296,2.29145,2.292205
2.45,2.30084,2.29368,2.29726
2.46,2.30645,2.29141,2.29893
2.47,2.30246,2.2813,2.29188
2.48,2.29824,2.29544,2.29684
2.49,2.29716,2.2863,2.29173
2.5,2.30152,2.29281,2.297165
2.51,2.29888,2.28889,2.293885
2.52,2.29476,2.29017,2.292465
2.53,2.30232,2.29114,2.29673
2.54,2.29945,2.29331,2.29638
2.55,2.30234,2.29748,2.29991
2.56,2.29954,2.29841,2.298975
2.57,2.2982,2.28938,2.29379
2.58,2.30464,2.28589,2.295265
2.59,2.29602,2.28377,2.289895
2.6,2.29523,2.28709,2.29116
2.61,2.28818,2.28286,2.28552
2.62,2.30215,2.28441,2.29328
2.63,2.28986,2.29254,2.2912
2.64,2.29779,2.29612,2.296955
2.65,2.29451,2.28829,2.2914
2.66,2.29243,2.29925,2.29584
2.67,2.30194,2.28553,2.293735
2.68,2.30231,2.29424,2.298275
2.69,2.30067,2.29939,2.30003
2.7,2.30225,2.28872,2.295485
2.71,2.29624,2.28786,2.29205
2.72,2.29398,2.2869,2.29044
2.73,2.29573,2.2887,2.292215
2.74,2.30326,2.28815,2.295705
2.75,2.30505,2.28875,2.2969
2.76,2.29292,2.29275,2.292835
2.77,2.30102,2.29003,2.295525
2.78,2.30053,2.28841,2.29447
2.79,2.29694,2.28872,2.29283
2.8,2.29437,2.28637,2.29037
2.81,2.30239,2.29078,2.296585
2.82,2.2943,2.29372,2.29401
2.83,2.30277,2.30023,2.3015
2.84,2.29195,2.29725,2.2946
2.85,2.30257,2.2999,2.301235
2.86,2.30427,2.29958,2.301925
2.87,2.29766,2.30157,2.299615
2.88,2.29435,2.30622,2.300285
2.89,2.29571,2.30177,2.29874
2.9,2.30198,2.30238,2.30218
2.91,2.30784,2.30733,2.307585
2.92,2.3103,2.30324,2.30677
2.93,2.29853,2.30235,2.30044
2.94,2.30353,2.3062,2.304865
2.95,2.29892,2.30303,2.300975
2.96,2.30081,2.30687,2.30384
2.97,2.29316,2.30457,2.298865
2.98,2.3024,2.30757,2.304985
2.99,2.30707,2.30266,2.304865
3,2.30589,2.30278,2.304335
3.01,2.29755,2.30719,2.30237
3.02,2.29532,2.30712,2.30122
3.03,2.2951,2.30645,2.300775
3.04,2.30309,2.30312,2.303105
3.05,2.30029,2.29967,2.29998
3.06,2.31215,2.30495,2.30855
3.07,2.30117,2.30221,2.30169
3.08,2.29889,2.30856,2.303725
3.09,2.31017,2.31143,2.3108
3.1,2.31358,2.31923,2.316405
3.11,2.30779,2.30798,2.307885
3.12,2.30652,2.31434,2.31043
3.13,2.29466,2.31061,2.302635
3.14,2.30456,2.30311,2.303835
3.15,2.30337,2.31365,2.30851
3.16,2.30124,2.31151,2.306375
3.17,2.30111,2.31281,2.30696
3.18,2.29737,2.30391,2.30064
3.19,2.30803,2.31037,2.3092
3.2,2.29817,2.30484,2.301505
3.21,2.30315,2.29661,2.29988
3.22,2.3133,2.30194,2.30762
3.23,2.31715,2.30721,2.31218
3.24,2.30954,2.30707,2.308305
3.25,2.30894,2.3064,2.30767
3.26,2.30947,2.29908,2.304275
3.27,2.30699,2.31423,2.31061
3.28,2.30259,2.31559,2.30909
3.29,2.29109,2.30466,2.297875
3.3,2.29999,2.30172,2.300855
3.31,2.30538,2.30248,2.30393
3.32,2.29883,2.30428,2.301555
3.33,2.30434,2.3076,2.30597
3.34,2.3047,2.30782,2.30626
3.35,2.30362,2.30433,2.303975
3.36,2.30725,2.29242,2.299835
3.37,2.30101,2.29948,2.300245
3.38,2.29816,2.30383,2.300995
3.39,2.3001,2.29483,2.297465
3.4,2.29999,2.2981,2.299045
3.41,2.31814,2.29664,2.30739
3.42,2.30656,2.30095,2.303755
3.43,2.30552,2.29821,2.301865
3.44,2.30313,2.29238,2.297755
3.45,2.29924,2.29804,2.29864
3.46,2.29663,2.297,2.296815
3.47,2.29825,2.29646,2.297355
3.48,2.29011,2.30493,2.29752
3.49,2.29598,2.30371,2.299845
3.5,2.29984,2.3087,2.30427
3.51,2.30259,2.30834,2.305465
3.52,2.2997,2.30774,2.30372
3.53,2.29723,2.30683,2.30203
3.54,2.29852,2.30069,2.299605
3.55,2.30099,2.3093,2.305145
3.56,2.29862,2.30721,2.302915
3.57,2.30074,2.30761,2.304175
3.58,2.28543,2.30551,2.29547
3.59,2.29197,2.30537,2.29867
3.6,2.29527,2.29929,2.29728
3.61,2.29615,2.3162,2.306175
3.62,2.29351,2.31219,2.30285
3.63,2.29725,2.29857,2.29791
3.64,2.29174,2.29504,2.29339
3.65,2.29511,2.29972,2.297415
3.66,2.29016,2.30076,2.29546
3.67,2.29715,2.30127,2.29921
3.68,2.29651,2.3011,2.298805
3.69,2.29883,2.29665,2.29774
3.7,2.2935,2.29938,2.29644
3.71,2.29233,2.30363,2.29798
3.72,2.30233,2.29853,2.30043
3.73,2.29906,2.30155,2.300305
3.74,2.30791,2.31198,2.309945
3.75,2.31109,2.31048,2.310785
3.76,2.29963,2.31039,2.30501
3.77,2.30003,2.3082,2.304115
3.78,2.30213,2.30606,2.304095
3.79,2.30177,2.31418,2.307975
3.8,2.30275,2.29887,2.30081
3.81,2.30211,2.2967,2.299405
3.82,2.30278,2.29739,2.300085
3.83,2.30221,2.30857,2.30539
3.84,2.30069,2.2995,2.300095
3.85,2.30476,2.30341,2.304085
3.86,2.29572,2.2998,2.29776
3.87,2.29552,2.30447,2.299995
3.88,2.29186,2.29886,2.29536
3.89,2.29391,2.29941,2.29666
3.9,2.28758,2.29957,2.293575
3.91,2.30377,2.30045,2.30211
3.92,2.30103,2.30786,2.304445
3.93,2.31004,2.30189,2.305965
3.94,2.30631,2.30296,2.304635
3.95,2.3012,2.30021,2.300705
3.96,2.30255,2.29343,2.29799
3.97,2.30222,2.30045,2.301335
3.98,2.29648,2.28777,2.292125
3.99,2.30404,2.29815,2.301095
4,2.29841,2.29805,2.29823
4.01,2.30193,2.29254,2.297235
4.02,2.31303,2.29394,2.303485
4.03,2.3003,2.29415,2.297225
4.04,2.30049,2.30285,2.30167
4.05,2.29651,2.30895,2.30273
4.06,2.2896,2.30769,2.298645
4.07,2.29271,2.29635,2.29453
4.08,2.29228,2.29918,2.29573
4.09,2.29397,2.29057,2.29227
4.1,2.29051,2.29868,2.294595
4.11,2.28393,2.29742,2.290675
4.12,2.29218,2.29895,2.295565
4.13,2.29323,2.30346,2.298345
4.14,2.29341,2.29627,2.29484
4.15,2.29571,2.29364,2.294675
4.16,2.29169,2.29912,2.295405
4.17,2.29666,2.30448,2.30057
4.18,2.28661,2.29939,2.293
4.19,2.29397,2.29236,2.293165
4.2,2.29156,2.3046,2.29808
4.21,2.28872,2.29572,2.29222
4.22,2.29622,2.29331,2.294765
4.23,2.29635,2.29384,2.295095
4.24,2.29169,2.29763,2.29466
4.25,2.30075,2.31055,2.30565
4.26,2.29557,2.29377,2.29467
