Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
1.9000001,0.1763774,0.1822622
1.9100001,0.1829355,0.1802374
1.9200001,0.1863528,0.173294
1.9300001,0.1876344,0.1806208
1.9400001,0.179274,0.1734073
1.95,0.1758431,0.18148
1.96,0.1782976,0.17527
1.9700001,0.177385,0.1880936
1.9800001,0.1813633,0.1947986
1.9900001,0.1776217,0.186992
2.0,0.1701441,0.1979134
2.01,0.1849235,0.200593
2.02,0.1763903,0.1944613
2.0300002,0.1773563,0.1970057
2.0400002,0.1851083,0.1842203
2.0500002,0.180376,0.1912613
2.0600002,0.1788131,0.193509
2.0700002,0.1844698,0.1879167
2.0800002,0.1781225,0.1842256
2.0900002,0.1791669,0.1915283
2.1000001,0.1862201,0.2000643
2.1100001,0.1836323,0.1937526
2.1200001,0.1815766,0.1851504
2.1300001,0.1685056,0.1852079
2.1400001,0.1842976,0.1901714
2.1500001,0.1839888,0.1856049
2.1600001,0.1845059,0.1765469
2.1700001,0.1897563,0.1881688
2.1800001,0.1809195,0.1980509
2.1900001,0.1813041,0.1975982
2.2,0.1848331,0.201146
2.21,0.1823551,0.2046884
2.22,0.1758484,0.1942788
2.23,0.1766968,0.198653
2.24,0.1728401,0.199617
2.25,0.1777262,0.1933379
2.26,0.1852265,0.1906857
2.2700002,0.1883598,0.1902682
2.2800002,0.1868811,0.1818939
2.2900002,0.1817464,0.1799235
2.3000002,0.1874943,0.1766599
2.3100002,0.1838626,0.1743306
2.3200002,0.1881347,0.1770391
2.3300002,0.1840331,0.179574
2.3400002,0.1948064,0.1865559
2.3500001,0.1808915,0.1831467
2.3600001,0.1828688,0.1889146
2.3700001,0.1880908,0.1817503
2.3800001,0.184458,0.1797508
2.3900001,0.1928585,0.1992002
2.4000001,0.1879538,0.188726
2.4100001,0.1888252,0.1796252
2.4200001,0.1948845,0.1788076
2.4300001,0.1853226,0.1856477
2.4400001,0.191332,0.1843507
2.45,0.1850883,0.1795519
2.46,0.1947495,0.1839884
2.47,0.1924666,0.184683
2.48,0.203696,0.1876086
2.49,0.2039994,0.1845842
2.5,0.199785,0.1884819
2.5100002,0.197679,0.1913733
2.5200002,0.1995634,0.1858023
2.5300002,0.1973389,0.1864409
2.5400002,0.1953518,0.1951362
2.5500002,0.200122,0.1814186
2.5600002,0.1934553,0.1932132
2.5700002,0.1922097,0.1796884
2.5800002,0.1899376,0.1810417
2.5900002,0.1850991,0.181212
2.6000001,0.2021673,0.1825809
2.6100001,0.2089006,0.1771736
2.6200001,0.1896206,0.1761003
2.6300001,0.2004128,0.1760837
2.6400001,0.1958703,0.1819921
2.6500001,0.2020041,0.179393
2.6600001,0.1962898,0.1847933
2.6700001,0.1963503,0.1750852
2.6800001,0.2002193,0.1809487
2.6900001,0.2054487,0.1756524
2.7,0.1982425,0.1788463
2.71,0.2110209,0.1767269
2.72,0.1992994,0.1841988
2.73,0.1919921,0.1778026
2.7400002,0.2072575,0.1820336
2.7500002,0.1885233,0.1844259
2.7600002,0.1946144,0.1856188
2.7700002,0.1904273,0.1945764
2.7800002,0.1965322,0.1948745
2.7900002,0.2023626,0.1888524
2.8000002,0.2058323,0.1863586
2.8100002,0.1911192,0.1922261
2.8200002,0.1882398,0.1734079
2.8300002,0.1903727,0.180823
2.8400002,0.1968434,0.1851531
2.8500001,0.1875532,0.1919332
2.8600001,0.196414,0.1930147
2.8700001,0.1934116,0.1870828
2.8800001,0.2014176,0.1883449
2.8900001,0.1993875,0.1784548
2.9000001,0.2073202,0.1792161
2.9100001,0.2030206,0.1775135
2.9200001,0.2003094,0.1889527
2.9300001,0.1962759,0.176179
2.9400001,0.2042266,0.1782964
2.95,0.1903329,0.1837068
2.96,0.1913919,0.1798073
2.97,0.2086894,0.1819498
2.9800003,0.2058612,0.1809772
2.9900002,0.2124293,0.1792718
3.0000002,0.215979,0.180239
3.0100002,0.2094198,0.1830156
3.0200002,0.2062708,0.1757706
3.0300002,0.2007233,0.1754161
3.0400002,0.2034499,0.1909192
3.0500002,0.2040138,0.1866663
3.0600002,0.2058851,0.1778263
3.0700002,0.2042612,0.1769484
3.0800002,0.2059883,0.1732076
3.0900002,0.2053476,0.1625285
3.1000001,0.203547,0.1638362
3.1100001,0.210366,0.1674447
3.1200001,0.2027789,0.1742918
3.1300001,0.2060255,0.1715773
3.1400001,0.2182695,0.1803629
3.1500001,0.2130926,0.1902969
3.1600001,0.2077105,0.1833648
3.1700001,0.2053966,0.1774895
3.1800001,0.2023753,0.1772272
3.1900001,0.1980766,0.178764
3.2,0.195128,0.1809296
3.21,0.1921655,0.1851361
3.2200003,0.1946194,0.1871064
3.2300003,0.197689,0.1794768
3.2400002,0.2093933,0.1665788
3.2500002,0.2108197,0.1728952
3.2600002,0.1929107,0.1746377
3.2700002,0.1966809,0.1729077
3.2800002,0.1960489,0.1819447
3.2900002,0.201669,0.187854
3.3000002,0.1919286,0.1935141
3.3100002,0.1947676,0.1855106
3.3200002,0.1885323,0.1993992
3.3300002,0.1935328,0.186583
3.3400002,0.1838136,0.1873104
3.3500001,0.1974723,0.1826974
3.3600001,0.1961758,0.180415
3.3700001,0.1864161,0.1798519
3.3800001,0.1912215,0.1773124
3.3900001,0.2176421,0.1721058
3.4000001,0.2050166,0.171652
3.4100001,0.1908693,0.1672024
3.4200001,0.1973674,0.1747691
3.4300001,0.193603,0.1717979
3.4400001,0.1934042,0.1766173
3.45,0.209554,0.1637919
3.4600003,0.2033586,0.1673854
3.4700003,0.1971678,0.1728391
3.4800003,0.2014762,0.1644823
3.4900002,0.2058432,0.1642086
3.5000002,0.2110394,0.1628798
3.5100002,0.1927241,0.1656583
3.5200002,0.188009,0.1742513
3.5300002,0.1907412,0.1775755
3.5400002,0.1930648,0.1766255
3.5500002,0.2053494,0.1764294
3.5600002,0.1909654,0.1686294
3.5700002,0.1982384,0.171014
3.5800002,0.2061879,0.174756
3.5900002,0.2000941,0.1741544
3.6000001,0.1827225,0.1735025
3.6100001,0.1902023,0.1736335
3.6200001,0.1886149,0.1742165
3.6300001,0.1865317,0.1744053
3.6400001,0.1956262,0.1784675
3.6500001,0.1938465,0.1729249
3.6600001,0.2025655,0.1691104
3.6700001,0.1880092,0.1666791
3.6800001,0.2033844,0.1785974
3.6900001,0.1934578,0.1708162
3.7000003,0.2042274,0.1788982
3.7100003,0.1940674,0.1745266
3.7200003,0.1971518,0.1751456
3.7300003,0.2002648,0.1749358
3.7400002,0.2188778,0.1762262
3.7500002,0.2137456,0.1769961
3.7600002,0.2094403,0.1707719
3.7700002,0.2281942,0.1692144
3.7800002,0.2165068,0.1760088
3.7900002,0.2275521,0.1723497
3.8000002,0.2243808,0.1683879
3.8100002,0.2151546,0.1789261
3.8200002,0.2146244,0.1868693
3.8300002,0.2196183,0.1883225
3.8400002,0.2145918,0.1918347
3.8500001,0.2228165,0.1883272
3.8600001,0.2242989,0.1830638
3.8700001,0.2156905,0.1816244
