Time/Residue,AFR4_R1.xvg,AFR4_R2.xvg,Average
0,2.25019,2.25105,2.25062
0.01,2.28151,2.2797,2.280605
0.02,2.27579,2.27755,2.27667
0.03,2.27824,2.27984,2.27904
0.04,2.28214,2.28538,2.28376
0.05,2.27278,2.28053,2.276655
0.06,2.27662,2.29924,2.28793
0.07,2.27902,2.29356,2.28629
0.08,2.28492,2.28215,2.283535
0.09,2.28349,2.28607,2.28478
0.1,2.28283,2.29081,2.28682
0.11,2.28875,2.28711,2.28793
0.12,2.28407,2.29671,2.29039
0.13,2.28548,2.2935,2.28949
0.14,2.28161,2.2936,2.287605
0.15,2.28854,2.29324,2.29089
0.16,2.29249,2.28722,2.289855
0.17,2.29313,2.29391,2.29352
0.18,2.29647,2.2991,2.297785
0.19,2.29513,2.28937,2.29225
0.2,2.2931,2.29148,2.29229
0.21,2.29881,2.28589,2.29235
0.22,2.30012,2.28953,2.294825
0.23,2.29865,2.29214,2.295395
0.24,2.29259,2.29024,2.291415
0.25,2.29542,2.29399,2.294705
0.26,2.29251,2.30351,2.29801
0.27,2.29395,2.30004,2.296995
0.28,2.28769,2.28709,2.28739
0.29,2.28516,2.29519,2.290175
0.3,2.28644,2.30261,2.294525
0.31,2.28638,2.29386,2.29012
0.32,2.29011,2.29343,2.29177
0.33,2.29789,2.30269,2.30029
0.34,2.29874,2.29477,2.296755
0.35,2.28937,2.29756,2.293465
0.36,2.29012,2.29131,2.290715
0.37,2.29342,2.2969,2.29516
0.38,2.29482,2.29781,2.296315
0.39,2.28379,2.30201,2.2929
0.4,2.28699,2.29597,2.29148
0.41,2.28747,2.29805,2.29276
0.42,2.28615,2.28902,2.287585
0.43,2.29105,2.29618,2.293615
0.44,2.29409,2.30198,2.298035
0.45,2.2913,2.29611,2.293705
0.46,2.28867,2.30703,2.29785
0.47,2.2938,2.30895,2.301375
0.48,2.29187,2.29955,2.29571
0.49,2.29097,2.29931,2.29514
0.5,2.29065,2.29816,2.294405
0.51,2.29452,2.31119,2.302855
0.52,2.30299,2.29429,2.29864
0.53,2.28914,2.30213,2.295635
0.54,2.2905,2.30477,2.297635
0.55,2.29401,2.30918,2.301595
0.56,2.29089,2.30489,2.29789
0.57,2.29638,2.30798,2.30218
0.58,2.29693,2.31965,2.30829
0.59,2.30515,2.30928,2.307215
0.6,2.30099,2.31756,2.309275
0.61,2.29636,2.30275,2.299555
0.62,2.29706,2.31174,2.3044
0.63,2.29629,2.30301,2.29965
0.64,2.2988,2.29969,2.299245
0.65,2.29604,2.30507,2.300555
0.66,2.29317,2.30209,2.29763
0.67,2.28478,2.3041,2.29444
0.68,2.29105,2.30502,2.298035
0.69,2.29667,2.30357,2.30012
0.7,2.28867,2.30085,2.29476
0.71,2.29083,2.3123,2.301565
0.72,2.29546,2.30649,2.300975
0.73,2.2945,2.30379,2.299145
0.74,2.29477,2.31084,2.302805
0.75,2.2959,2.31658,2.30624
0.76,2.29081,2.31529,2.30305
0.77,2.29735,2.3092,2.303275
0.78,2.30169,2.3085,2.305095
0.79,2.29346,2.30027,2.296865
0.8,2.29155,2.30527,2.29841
0.81,2.29434,2.3107,2.30252
0.82,2.29978,2.30552,2.30265
0.83,2.30022,2.30248,2.30135
0.84,2.29458,2.30076,2.29767
0.85,2.30538,2.30763,2.306505
0.86,2.29826,2.29588,2.29707
0.87,2.29879,2.29551,2.29715
0.88,2.31024,2.30542,2.30783
0.89,2.30766,2.30953,2.308595
0.9,2.30343,2.29816,2.300795
0.91,2.30621,2.2982,2.302205
0.92,2.3003,2.30408,2.30219
0.93,2.30728,2.31579,2.311535
0.94,2.30062,2.31756,2.30909
0.95,2.3032,2.30882,2.30601
0.96,2.31027,2.31137,2.31082
0.97,2.30886,2.29991,2.304385
0.98,2.3121,2.31289,2.312495
0.99,2.30612,2.30459,2.305355
1,2.3061,2.30603,2.306065
1.01,2.30674,2.2971,2.30192
1.02,2.3094,2.30492,2.30716
1.03,2.30619,2.29853,2.30236
1.04,2.29774,2.30428,2.30101
1.05,2.29982,2.3064,2.30311
1.06,2.30449,2.29976,2.302125
1.07,2.30265,2.30417,2.30341
1.08,2.30108,2.29467,2.297875
1.09,2.30634,2.29737,2.301855
1.1,2.29786,2.29444,2.29615
1.11,2.30134,2.30777,2.304555
1.12,2.30243,2.3004,2.301415
1.13,2.30617,2.30358,2.304875
1.14,2.30499,2.30452,2.304755
1.15,2.31317,2.30156,2.307365
1.16,2.30888,2.30606,2.30747
1.17,2.3138,2.29839,2.306095
1.18,2.31295,2.30594,2.309445
1.19,2.30509,2.30391,2.3045
1.2,2.30501,2.29572,2.300365
1.21,2.30914,2.29744,2.30329
1.22,2.30833,2.30083,2.30458
1.23,2.29875,2.30796,2.303355
1.24,2.30289,2.29876,2.300825
1.25,2.31267,2.29465,2.30366
1.26,2.30327,2.29395,2.29861
1.27,2.30121,2.29967,2.30044
1.28,2.3092,2.29437,2.301785
1.29,2.30353,2.29728,2.300405
1.3,2.30513,2.29762,2.301375
1.31,2.31176,2.29584,2.3038
1.32,2.30833,2.29756,2.302945
1.33,2.30312,2.30424,2.30368
1.34,2.30318,2.30507,2.304125
1.35,2.31215,2.31063,2.31139
1.36,2.30419,2.30877,2.30648
1.37,2.30569,2.30979,2.30774
1.38,2.29889,2.31132,2.305105
1.39,2.30273,2.30564,2.304185
1.4,2.30203,2.30301,2.30252
1.41,2.3082,2.30748,2.30784
1.42,2.30717,2.30111,2.30414
1.43,2.31498,2.30692,2.31095
1.44,2.30757,2.31048,2.309025
1.45,2.30079,2.3033,2.302045
1.46,2.31368,2.30417,2.308925
1.47,2.30011,2.30606,2.303085
1.48,2.30203,2.3079,2.304965
1.49,2.30355,2.31233,2.30794
1.5,2.30494,2.30303,2.303985
1.51,2.30134,2.30498,2.30316
1.52,2.30257,2.30101,2.30179
1.53,2.30536,2.31131,2.308335
1.54,2.30602,2.30763,2.306825
1.55,2.29869,2.31001,2.30435
1.56,2.29965,2.32133,2.31049
1.57,2.30125,2.30849,2.30487
1.58,2.30557,2.31446,2.310015
1.59,2.31019,2.31276,2.311475
1.6,2.30567,2.30267,2.30417
1.61,2.29492,2.30719,2.301055
1.62,2.29255,2.31205,2.3023
1.63,2.30238,2.30882,2.3056
1.64,2.29838,2.3103,2.30434
1.65,2.29886,2.30926,2.30406
1.66,2.30148,2.31247,2.306975
1.67,2.30087,2.31306,2.306965
1.68,2.29542,2.305,2.30021
1.69,2.30327,2.31244,2.307855
1.7,2.30776,2.31016,2.30896
1.71,2.29971,2.31782,2.308765
1.72,2.29778,2.30824,2.30301
1.73,2.30166,2.31005,2.305855
1.74,2.31206,2.32216,2.31711
1.75,2.29968,2.31171,2.305695
1.76,2.30211,2.31202,2.307065
1.77,2.30685,2.31493,2.31089
1.78,2.30271,2.30958,2.306145
1.79,2.29966,2.3003,2.29998
1.8,2.30956,2.3134,2.31148
1.81,2.30589,2.30759,2.30674
1.82,2.29711,2.3098,2.303455
1.83,2.29776,2.30427,2.301015
1.84,2.2946,2.31025,2.302425
1.85,2.2962,2.31526,2.30573
1.86,2.29435,2.31958,2.306965
1.87,2.28776,2.31336,2.30056
1.88,2.29131,2.31032,2.300815
1.89,2.29322,2.31017,2.301695
1.9,2.29518,2.30588,2.30053
1.91,2.29586,2.31224,2.30405
1.92,2.29052,2.31293,2.301725
1.93,2.28967,2.31487,2.30227
1.94,2.29313,2.30797,2.30055
1.95,2.29462,2.30629,2.300455
1.96,2.29861,2.30937,2.30399
1.97,2.29676,2.30242,2.29959
1.98,2.29301,2.31749,2.30525
1.99,2.29143,2.31051,2.30097
2,2.30486,2.3215,2.31318
2.01,2.29728,2.31473,2.306005
2.02,2.29953,2.31394,2.306735
2.03,2.30114,2.31512,2.30813
2.04,2.30754,2.30348,2.30551
2.05,2.29396,2.31337,2.303665
2.06,2.29616,2.31462,2.30539
2.07,2.29463,2.3091,2.301865
2.08,2.29477,2.31646,2.305615
2.09,2.29156,2.31951,2.305535
2.1,2.3022,2.30311,2.302655
2.11,2.30462,2.31525,2.309935
2.12,2.30874,2.31487,2.311805
