GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1594.76,3859.52,4685.51,452.22,211.79,-27.27,-3521.85,-28411.15,1556.44,18253.9,-5037.68,161.8,-1346.13,-4875.88,-6222.01
6,1565.21,4010.87,4703.65,441.4,248.56,-71.67,-3457.98,-28110.96,1478.25,18205.17,-5335.68,180.54,-987.5,-5155.14,-6142.64
11,1602.38,3869.84,4629.55,441.04,236.84,-39.96,-3465.35,-28410.82,1504.34,18267.52,-5137.21,179.02,-1364.61,-4958.2,-6322.8
16,1618.56,3889.18,4620.08,443.94,221.41,-50.3,-3473.36,-28319.42,1492.41,18274.98,-5243.24,180.81,-1282.5,-5062.43,-6344.93
21,1608.11,3860.71,4692.43,441.57,246.36,-66.37,-3450.46,-28371.11,1514.39,18159.02,-5149.01,178.27,-1365.35,-4970.75,-6336.1
26,1605.21,3946.68,4681.96,446.21,235.08,-68.31,-3465.7,-28083.75,1517.21,18023.18,-5259.32,177.71,-1162.23,-5081.62,-6243.85
31,1600.29,3921.69,4652.89,438.15,247.56,-30.47,-3470.45,-28094.16,1490.18,18206.42,-5356.64,180.26,-1037.9,-5176.38,-6214.28
36,1598.02,3858.53,4626.17,440.96,244.82,-13.97,-3456.16,-28203.09,1497.21,18259.63,-5350.27,180.48,-1147.89,-5169.79,-6317.68
41,1652.45,3832.78,4675.84,445.31,239.12,-43.69,-3417.38,-28196.1,1501.79,18180.39,-5302.72,183.75,-1129.47,-5118.97,-6248.44
46,1644.81,3919.06,4614.11,457.62,246.08,-41.09,-3465.03,-28100.6,1506.78,18114.13,-5310.0,182.98,-1104.13,-5127.01,-6231.15
51,1572.66,3861.91,4635.63,450.65,239.86,-32.23,-3484.22,-28295.19,1504.49,18168.12,-5177.55,179.11,-1378.32,-4998.44,-6376.76
56,1579.31,3847.77,4617.06,450.96,236.72,-30.74,-3447.19,-28248.5,1498.89,18194.35,-5247.56,178.44,-1301.37,-5069.12,-6370.49
61,1565.97,3877.27,4661.74,441.23,240.72,-49.91,-3496.67,-28316.7,1483.77,18249.33,-5214.94,180.01,-1343.24,-5034.93,-6378.17
66,1646.99,3935.76,4656.19,461.33,260.52,-39.04,-3509.17,-28294.42,1492.36,18242.38,-5186.49,179.27,-1147.11,-5007.22,-6154.33
