GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1599.8,3866.44,4677.54,440.86,246.5,-46.6,-3558.19,-28319.91,1554.67,17902.64,-4971.65,161.93,-1636.26,-4809.72,-6445.97
6,1618.92,3911.72,4711.42,464.19,234.72,-22.82,-3405.18,-28151.52,1510.58,17954.56,-5276.78,182.08,-1173.42,-5094.7,-6268.12
11,1653.82,3945.71,4638.17,455.98,237.25,-51.72,-3403.2,-28022.28,1497.97,17824.25,-5349.33,185.23,-1224.07,-5164.1,-6388.17
16,1694.77,3936.38,4665.31,446.04,239.9,-56.99,-3407.74,-28057.73,1504.1,17899.15,-5341.98,187.12,-1136.81,-5154.85,-6291.66
21,1653.41,3876.69,4665.55,448.92,251.72,-59.32,-3393.93,-28121.56,1526.41,17924.77,-5332.13,186.1,-1227.34,-5146.03,-6373.36
26,1601.7,4007.04,4623.77,459.16,243.52,-25.42,-3369.01,-27907.18,1508.01,17858.1,-5488.51,184.61,-1000.3,-5303.9,-6304.2
31,1583.49,3885.74,4684.38,444.72,242.27,-26.55,-3410.92,-27979.88,1509.71,17959.1,-5454.37,187.81,-1107.93,-5266.56,-6374.49
36,1638.33,3778.23,4645.98,428.4,233.37,-53.04,-3351.89,-27846.34,1492.2,17797.93,-5565.99,186.37,-1236.81,-5379.62,-6616.44
41,1584.28,3979.14,4619.03,467.69,236.35,-60.45,-3427.44,-27936.23,1573.89,17791.92,-5402.16,186.42,-1171.82,-5215.74,-6387.56
46,1607.52,3939.72,4673.52,448.96,230.35,-57.96,-3455.1,-28000.2,1526.55,17885.56,-5405.29,183.0,-1201.08,-5222.3,-6423.37
51,1536.54,3884.87,4595.74,444.88,237.98,-31.58,-3364.49,-28100.82,1552.13,17974.68,-5378.05,186.92,-1270.06,-5191.13,-6461.19
56,1633.75,3851.19,4699.53,418.48,228.91,-79.77,-3376.25,-27874.65,1504.21,17907.87,-5551.38,192.3,-1086.72,-5359.08,-6445.8
61,1627.37,3906.03,4614.45,425.27,237.45,-38.86,-3386.74,-27916.81,1495.01,17849.48,-5496.56,192.85,-1187.35,-5303.71,-6491.06
66,1626.81,3865.57,4638.87,441.42,260.25,-66.89,-3414.48,-27845.6,1510.18,17759.81,-5482.83,185.38,-1224.07,-5297.45,-6521.52
71,1645.31,3865.36,4654.31,432.83,247.09,-74.36,-3409.08,-27730.05,1518.78,17879.43,-5622.41,190.76,-970.37,-5431.65,-6402.02
76,1631.04,3946.23,4645.49,455.61,213.78,-62.03,-3376.41,-28066.08,1506.62,17835.23,-5320.01,190.38,-1270.53,-5129.63,-6400.15
81,1617.55,4018.1,4608.3,454.8,259.61,-44.29,-3420.55,-27963.55,1499.44,17744.21,-5335.15,190.71,-1226.39,-5144.44,-6370.82
86,1630.35,3863.9,4656.93,439.82,255.11,-84.66,-3343.33,-27961.5,1517.7,17871.63,-5424.1,192.22,-1154.05,-5231.88,-6385.93
91,1601.02,3898.99,4588.86,443.82,242.14,-73.48,-3348.37,-28007.92,1524.74,17927.04,-5426.16,188.45,-1203.17,-5237.71,-6440.89
