GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1161,1597.41,3859.21,4586.16,451.46,248.84,-54.27,-3457.03,-28450.09,1500.35,18003.27,-5031.89,179.65,-1714.7,-4852.24,-6566.94
1166,1576.72,3862.84,4606.75,460.1,243.88,-97.09,-3474.03,-28272.04,1487.95,17969.0,-5148.92,182.02,-1635.92,-4966.9,-6602.82
1171,1553.18,3898.66,4662.71,452.31,224.6,-66.18,-3395.01,-28327.27,1532.23,17955.51,-5153.18,181.57,-1509.25,-4971.61,-6480.86
1176,1614.98,3945.79,4606.85,463.2,221.57,-61.48,-3420.78,-28242.95,1503.21,17885.66,-5174.01,183.11,-1483.95,-4990.9,-6474.85
1181,1593.22,3880.86,4630.87,443.52,231.09,-49.89,-3446.88,-28186.41,1512.47,17890.75,-5185.82,180.95,-1500.41,-5004.87,-6505.28
1186,1618.05,3814.18,4642.54,437.65,232.4,-82.42,-3404.0,-28203.24,1516.16,17921.15,-5245.89,184.46,-1507.53,-5061.43,-6568.96
1191,1586.45,3893.36,4637.21,446.37,234.5,-54.19,-3460.39,-28348.8,1503.34,17979.92,-5121.03,176.51,-1582.22,-4944.52,-6526.74
1196,1589.82,3902.02,4632.83,440.26,232.94,-71.75,-3434.45,-28087.59,1479.3,17838.87,-5265.26,181.06,-1477.75,-5084.21,-6561.95
1201,1579.04,3955.62,4642.09,436.59,246.93,-49.27,-3464.06,-28082.53,1496.8,17891.72,-5330.0,183.45,-1347.07,-5146.55,-6493.62
1206,1649.93,3902.47,4603.68,429.48,240.2,-58.09,-3416.66,-28280.35,1477.24,17894.03,-5192.94,182.42,-1558.07,-5010.52,-6568.6
1211,1576.63,3888.14,4569.28,448.31,242.53,-50.68,-3447.78,-28335.52,1519.08,17977.61,-5137.94,182.85,-1612.4,-4955.09,-6567.49
1216,1591.88,3890.43,4568.09,450.19,258.46,-61.16,-3469.27,-28140.77,1484.99,17873.32,-5214.4,181.8,-1553.83,-5032.6,-6586.43
1221,1585.06,3921.46,4588.96,442.1,246.29,-47.7,-3474.79,-28182.8,1487.64,17938.73,-5188.89,180.12,-1495.04,-5008.77,-6503.81
1226,1620.43,3864.06,4616.49,453.83,270.23,-77.97,-3445.03,-28208.32,1491.17,17934.69,-5250.53,183.14,-1480.43,-5067.38,-6547.81
1231,1547.4,3879.35,4611.03,438.59,235.44,-67.43,-3454.91,-28202.71,1532.58,17937.64,-5218.41,180.18,-1543.02,-5038.24,-6581.25
1236,1691.8,3879.0,4649.63,446.34,214.07,-51.39,-3463.4,-27933.27,1502.5,17860.38,-5354.03,185.33,-1204.34,-5168.7,-6373.04
1241,1614.46,3908.28,4635.65,459.14,238.13,-65.83,-3367.32,-28131.96,1509.27,17941.47,-5323.85,184.73,-1258.71,-5139.12,-6397.83
1246,1601.41,3889.56,4641.96,451.92,241.38,-76.14,-3487.65,-28055.06,1529.96,17919.08,-5338.71,182.49,-1343.59,-5156.22,-6499.8
1251,1615.08,3899.46,4599.15,450.23,240.78,-48.47,-3457.45,-28009.97,1520.11,17882.86,-5376.14,180.7,-1308.23,-5195.44,-6503.67
1256,1625.99,3942.31,4648.38,447.2,245.39,-51.19,-3413.73,-28026.41,1478.44,17916.31,-5380.47,185.33,-1187.31,-5195.14,-6382.45
1261,1610.69,3915.21,4607.45,459.3,249.34,-66.09,-3446.98,-27814.35,1504.37,17862.24,-5507.73,184.18,-1118.83,-5323.55,-6442.38
