GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1575.91,3881.11,4673.73,439.42,235.48,-39.96,-3525.25,-28613.14,1594.52,18349.49,-4915.6,160.42,-1428.69,-4755.18,-6183.88
6,1662.47,3937.54,4680.79,459.41,243.59,-34.47,-3458.62,-28103.07,1497.71,18205.52,-5370.41,179.07,-909.12,-5191.34,-6100.46
11,1592.35,3905.83,4682.13,431.48,256.35,-65.42,-3506.0,-28057.91,1510.04,18211.38,-5370.51,180.54,-1039.77,-5189.97,-6229.74
16,1549.6,3876.14,4583.84,449.8,212.24,-53.9,-3457.45,-27899.16,1495.49,18304.45,-5564.72,184.18,-938.93,-5380.53,-6319.46
21,1618.6,3954.89,4696.13,465.13,243.53,-64.1,-3421.39,-28004.58,1499.02,18178.69,-5441.11,182.05,-834.09,-5259.06,-6093.15
26,1597.46,3861.77,4667.36,438.48,241.26,-69.49,-3471.08,-27988.6,1514.51,18130.36,-5357.44,181.23,-1077.97,-5176.21,-6254.18
31,1601.31,4015.48,4650.99,436.76,237.53,-81.26,-3510.35,-28035.13,1483.05,18123.84,-5343.77,181.15,-1077.79,-5162.62,-6240.4
36,1586.51,4024.55,4684.41,459.8,234.55,-67.66,-3454.26,-28169.06,1486.41,18156.35,-5310.92,180.9,-1058.4,-5130.02,-6188.42
41,1637.82,3867.17,4664.79,450.09,214.93,-36.34,-3504.99,-28111.03,1459.11,18226.81,-5364.37,181.98,-1131.64,-5182.39,-6314.03
46,1660.5,3908.84,4655.96,437.91,239.29,-64.26,-3425.92,-28106.57,1463.5,18129.44,-5369.79,184.03,-1101.32,-5185.76,-6287.08
51,1622.49,3913.65,4647.88,449.43,249.59,-50.04,-3459.79,-28075.91,1488.42,18142.54,-5370.75,182.48,-1071.73,-5188.27,-6260.01
56,1577.78,3894.8,4660.82,441.88,251.87,-73.66,-3473.34,-27995.81,1515.98,18172.16,-5465.65,182.35,-1027.52,-5283.31,-6310.83
61,1555.32,3951.21,4677.21,433.75,250.58,-44.96,-3454.98,-28214.21,1490.48,18209.72,-5309.52,182.4,-1145.89,-5127.12,-6273.01
66,1627.94,3915.36,4614.63,444.26,209.31,-27.35,-3429.05,-28251.08,1467.47,18194.01,-5258.29,177.8,-1234.5,-5080.49,-6314.99
71,1586.09,3873.43,4645.69,447.65,225.49,-61.18,-3437.64,-28158.18,1487.95,18215.27,-5320.01,181.4,-1175.43,-5138.62,-6314.05
