| Run on Fri Aug 14 12:01:55 2026
|
|gmx_MMPBSA Version=v1.6.3 based on MMPBSA.py v.16.0
|Complex Structure file:                                         md_A3512_R2.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-470"
|Ligand mask:                    ":471"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 2000 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1608.05         33.50      33.50         0.75       0.75
ANGLE                  3896.74         47.81      47.81         1.07       1.07
DIHED                  4576.08         28.75      28.75         0.64       0.64
UB                      446.80          9.06       9.06         0.20       0.20
IMP                     240.38         11.11      11.11         0.25       0.25
CMAP                    -68.44         15.88      15.88         0.36       0.36
VDWAALS               -3427.78         32.29      32.29         0.72       0.72
EEL                  -28002.90        140.55     140.55         3.14       3.14
1-4 VDW                1511.07         19.01      19.01         0.42       0.42
1-4 EEL               17878.36         73.60      73.60         1.65       1.65
EGB                   -5385.86        120.07     120.07         2.68       2.68
ESURF                   187.47          3.38       3.38         0.08       0.08

GGAS                  -1341.64        176.83     152.47         3.95       3.41
GSOLV                 -5198.39        120.11     118.42         2.69       2.65

TOTAL                 -6540.03        213.77      70.05         4.78       1.57

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1570.67         33.20      33.20         0.74       0.74
ANGLE                  3749.69         47.02      47.02         1.05       1.05
DIHED                  4603.32         28.03      28.03         0.63       0.63
UB                      446.80          9.06       9.06         0.20       0.20
IMP                     240.38         11.11      11.11         0.25       0.25
CMAP                    -68.44         15.88      15.88         0.36       0.36
VDWAALS               -3295.72         31.52      31.52         0.70       0.70
EEL                  -28186.17        138.90     138.90         3.11       3.11
1-4 VDW                1485.13         18.74      18.74         0.42       0.42
1-4 EEL               18416.42         72.14      72.14         1.61       1.61
EGB                   -5423.32        118.22     118.22         2.64       2.64
ESURF                   193.66          3.18       3.18         0.07       0.07

GGAS                  -1037.91        174.35     149.71         3.90       3.35
GSOLV                 -5229.66        118.27     116.79         2.64       2.61

TOTAL                 -6267.57        210.68      68.95         4.71       1.54

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     37.37          5.27       5.27         0.12       0.12
ANGLE                   147.05          9.90       9.90         0.22       0.22
DIHED                   -27.24          3.89       3.89         0.09       0.09
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                 -17.87          3.98       3.98         0.09       0.09
EEL                     215.54          6.25       6.25         0.14       0.14
1-4 VDW                  25.93          2.52       2.52         0.06       0.06
1-4 EEL                -538.06         11.71      11.71         0.26       0.26
EGB                     -31.15          3.15       3.15         0.07       0.07
ESURF                     8.26          0.20       0.20         0.00       0.00

GGAS                   -157.26         18.42       9.72         0.41       0.22
GSOLV                   -22.89          3.15       3.11         0.07       0.07

TOTAL                  -180.14         18.69       9.12         0.42       0.20

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          4.97       0.00         0.11       0.00
ΔANGLE                   -0.00          9.11       0.00         0.20       0.00
ΔDIHED                    0.00          3.18       0.00         0.07       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS               -114.20          3.21       4.88         0.07       0.11
ΔEEL                    -32.28          4.59       8.68         0.10       0.19
Δ1-4 VDW                  0.00          2.26       0.00         0.05       0.00
Δ1-4 EEL                  0.00         10.25       0.00         0.23       0.00
ΔEGB                     68.61          1.31       7.09         0.03       0.16
ΔESURF                  -14.45          0.00       0.57         0.00       0.01

ΔGGAS                  -146.47          5.60       9.55         0.13       0.21
ΔGSOLV                   54.16          1.31       6.89         0.03       0.15

ΔTOTAL                  -92.32          5.75       5.45         0.13       0.12
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
