| Run on Fri Aug 14 13:25:17 2026
|
|gmx_MMPBSA Version=v1.6.3 based on MMPBSA.py v.16.0
|Complex Structure file:                                         md_A4482_R2.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-470"
|Ligand mask:                    ":471"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 2000 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1607.54         34.18      34.18         0.76       0.76
ANGLE                  3902.62         46.17      46.17         1.03       1.03
DIHED                  4594.63         26.15      26.15         0.58       0.58
UB                      446.64          8.86       8.86         0.20       0.20
IMP                     240.70         10.95      10.95         0.24       0.24
CMAP                    -76.82         17.68      17.68         0.40       0.40
VDWAALS               -3423.78         32.32      32.32         0.72       0.72
EEL                  -28047.64        139.06     139.06         3.11       3.11
1-4 VDW                1502.67         18.84      18.84         0.42       0.42
1-4 EEL               18085.25         69.04      69.04         1.54       1.54
EGB                   -5400.73        118.09     118.09         2.64       2.64
ESURF                   185.48          3.54       3.54         0.08       0.08

GGAS                  -1168.19        173.20     146.25         3.87       3.27
GSOLV                 -5215.24        118.14     116.37         2.64       2.60

TOTAL                 -6383.44        209.66      68.00         4.69       1.52

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1574.01         33.76      33.76         0.75       0.75
ANGLE                  3763.31         45.04      45.04         1.01       1.01
DIHED                  4618.37         25.84      25.84         0.58       0.58
UB                      446.64          8.86       8.86         0.20       0.20
IMP                     240.70         10.95      10.95         0.24       0.24
CMAP                    -76.82         17.68      17.68         0.40       0.40
VDWAALS               -3296.38         31.49      31.49         0.70       0.70
EEL                  -28157.72        138.27     138.27         3.09       3.09
1-4 VDW                1481.99         18.74      18.74         0.42       0.42
1-4 EEL               18381.70         69.04      69.04         1.54       1.54
EGB                   -5438.71        118.25     118.25         2.64       2.64
ESURF                   190.11          3.50       3.50         0.08       0.08

GGAS                  -1024.20        171.97     145.37         3.85       3.25
GSOLV                 -5248.60        118.30     116.58         2.65       2.61

TOTAL                 -6272.80        208.74      67.29         4.67       1.50

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     33.53          4.87       4.87         0.11       0.11
ANGLE                   139.31          9.56       9.56         0.21       0.21
DIHED                   -23.74          3.62       3.62         0.08       0.08
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                 -24.28          4.37       4.37         0.10       0.10
EEL                     141.34          7.05       7.05         0.16       0.16
1-4 VDW                  20.68          2.19       2.19         0.05       0.05
1-4 EEL                -296.46         11.21      11.21         0.25       0.25
EGB                     -22.36          2.94       2.94         0.07       0.07
ESURF                     8.01          0.23       0.23         0.01       0.01

GGAS                     -9.62         18.09      10.37         0.40       0.23
GSOLV                   -14.34          2.95       2.84         0.07       0.06

TOTAL                   -23.97         18.33       9.61         0.41       0.21

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          4.44       0.00         0.10       0.00
ΔANGLE                   -0.00          8.44       0.00         0.19       0.00
ΔDIHED                   -0.00          3.32       0.00         0.07       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS               -103.12          3.54       4.89         0.08       0.11
ΔEEL                    -31.25          6.25      10.52         0.14       0.24
Δ1-4 VDW                 -0.00          2.09       0.00         0.05       0.00
Δ1-4 EEL                  0.00         11.21       0.00         0.25       0.00
ΔEGB                     60.34          2.78       7.15         0.06       0.16
ΔESURF                  -12.64          0.18       0.58         0.00       0.01

ΔGGAS                  -134.37          7.18      11.59         0.16       0.26
ΔGSOLV                   47.70          2.79       6.94         0.06       0.16

ΔTOTAL                  -86.67          7.70       7.33         0.17       0.16
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
