GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1241,1577.33,3871.95,4589.4,442.77,232.38,-88.1,-3414.4,-28044.04,1504.37,18188.55,-5438.56,190.96,-1139.81,-5247.6,-6387.41
1246,1522.42,3858.86,4638.87,442.29,266.96,-75.48,-3434.86,-28078.69,1504.01,18234.6,-5420.27,193.36,-1121.02,-5226.91,-6347.93
1251,1617.56,3922.09,4582.02,446.08,243.43,-67.07,-3427.41,-28161.57,1479.54,18206.52,-5381.34,188.4,-1158.81,-5192.94,-6351.76
1256,1635.04,3915.29,4567.88,452.06,245.48,-62.32,-3414.73,-28015.84,1483.69,18208.99,-5472.83,190.95,-984.45,-5281.88,-6266.32
1261,1622.97,3879.07,4588.07,442.01,230.77,-46.12,-3387.89,-28081.44,1517.76,18184.5,-5410.89,189.52,-1050.29,-5221.36,-6271.65
1266,1563.81,3937.51,4583.0,448.24,233.99,-76.65,-3439.42,-28017.72,1498.17,18177.34,-5483.42,192.04,-1091.72,-5291.38,-6383.11
1271,1603.17,3968.92,4567.64,441.87,241.69,-62.29,-3460.54,-28025.94,1504.52,18188.4,-5467.24,190.36,-1032.57,-5276.88,-6309.45
1276,1587.04,3900.9,4634.73,439.58,252.98,-77.47,-3451.66,-27916.83,1499.57,18206.16,-5544.76,192.23,-925.0,-5352.53,-6277.53
1281,1572.89,3903.58,4571.71,449.39,229.34,-56.0,-3459.16,-28110.16,1503.4,18274.61,-5411.34,189.16,-1120.4,-5222.18,-6342.58
1286,1645.96,3922.27,4610.16,438.82,241.41,-81.07,-3374.9,-27995.26,1495.97,18153.85,-5511.76,192.35,-942.79,-5319.41,-6262.2
1291,1657.18,3840.74,4604.55,449.7,237.7,-53.67,-3407.85,-28138.16,1505.44,18180.16,-5380.24,189.87,-1124.2,-5190.37,-6314.57
1296,1562.7,3850.31,4544.95,444.87,227.27,-90.31,-3392.3,-28142.64,1525.52,18344.52,-5440.99,193.66,-1125.09,-5247.33,-6372.42
1301,1621.42,3845.33,4608.78,456.68,227.74,-75.72,-3397.73,-27966.72,1487.51,18271.66,-5586.39,193.52,-921.06,-5392.87,-6313.93
1306,1557.69,3863.04,4593.1,433.67,251.13,-57.64,-3417.23,-27865.35,1536.64,18254.73,-5638.18,189.44,-850.23,-5448.74,-6298.97
1311,1571.9,3875.37,4549.76,447.97,249.9,-77.53,-3379.54,-28196.43,1508.55,18263.52,-5425.44,189.88,-1186.54,-5235.56,-6422.1
1316,1576.51,3857.09,4556.75,447.86,246.12,-64.09,-3390.13,-28272.32,1544.07,18259.63,-5326.13,189.64,-1238.51,-5136.49,-6375.0
1321,1566.21,3829.5,4617.91,444.88,255.84,-48.31,-3417.07,-28223.05,1547.9,18296.97,-5366.57,190.75,-1129.22,-5175.82,-6305.03
1326,1575.94,3839.74,4573.74,470.13,236.44,-61.33,-3419.22,-28010.4,1486.84,18180.4,-5505.86,193.08,-1127.72,-5312.78,-6440.5
1331,1590.82,3838.65,4587.92,441.71,245.75,-61.73,-3412.42,-28197.31,1498.75,18293.61,-5393.12,190.16,-1174.26,-5202.95,-6377.22
1336,1646.64,3872.5,4616.42,446.48,233.8,-72.27,-3431.64,-28284.58,1486.94,18296.35,-5316.33,190.44,-1189.37,-5125.89,-6315.26
1341,1607.55,3929.66,4581.19,440.21,248.63,-71.98,-3385.93,-28129.53,1514.62,18145.1,-5402.83,191.06,-1120.47,-5211.78,-6332.24
1346,1555.69,3905.58,4591.25,442.87,248.27,-104.09,-3363.84,-28085.85,1510.7,18288.58,-5484.69,193.71,-1010.84,-5290.98,-6301.82
1351,1655.88,3962.64,4546.65,448.35,251.17,-62.19,-3359.84,-28084.69,1493.25,18271.65,-5521.64,193.2,-877.13,-5328.44,-6205.58
1356,1581.21,3900.18,4590.39,447.8,236.82,-77.4,-3386.43,-28058.15,1533.45,18310.12,-5534.13,193.63,-922.0,-5340.5,-6262.5
1361,1629.52,3855.28,4592.11,447.39,238.85,-57.58,-3400.81,-27874.14,1512.74,18247.83,-5672.89,195.29,-808.8,-5477.6,-6286.41
1366,1607.82,3861.46,4558.55,445.44,244.9,-71.99,-3445.05,-27781.05,1516.88,18088.37,-5622.21,191.8,-974.67,-5430.41,-6405.08
1371,1603.42,3877.35,4579.84,447.0,241.24,-63.4,-3408.09,-28025.75,1505.81,18221.26,-5548.67,192.76,-1021.31,-5355.91,-6377.23
1376,1550.6,3902.71,4578.86,433.16,242.01,-91.35,-3371.68,-27999.55,1512.16,18224.02,-5528.73,193.27,-1019.06,-5335.46,-6354.51
1381,1540.45,3940.54,4617.12,451.16,231.15,-95.47,-3438.58,-28041.72,1499.12,18247.36,-5539.25,193.3,-1048.87,-5345.95,-6394.82
1386,1569.53,3923.99,4556.97,456.15,227.92,-97.54,-3381.13,-28024.33,1512.27,18179.44,-5493.92,191.23,-1076.73,-5302.69,-6379.42
1391,1571.6,3962.06,4599.74,448.66,229.87,-75.31,-3427.31,-28003.48,1485.42,18162.02,-5535.03,192.99,-1046.73,-5342.04,-6388.77
1396,1576.5,3901.32,4558.96,444.52,250.96,-59.59,-3409.88,-28129.15,1510.03,18361.51,-5539.57,194.13,-994.82,-5345.44,-6340.25
1401,1639.5,3829.6,4596.99,432.29,243.9,-73.87,-3431.12,-28019.8,1501.89,18240.95,-5552.99,190.25,-1039.67,-5362.74,-6402.41
1406,1606.9,3964.41,4617.7,453.24,252.84,-73.38,-3456.19,-28042.08,1517.86,18206.47,-5486.95,190.25,-952.21,-5296.7,-6248.91
1411,1623.26,3924.35,4591.13,431.36,238.67,-57.31,-3403.88,-28115.01,1500.12,18344.66,-5545.48,188.23,-922.66,-5357.24,-6279.9
1416,1579.56,3946.28,4597.94,449.45,234.97,-54.08,-3401.96,-28105.6,1490.36,18285.49,-5509.05,190.03,-977.6,-5319.03,-6296.62
1421,1609.85,3824.91,4616.16,453.34,230.22,-66.25,-3367.94,-28021.7,1513.91,18198.33,-5507.5,192.34,-1009.17,-5315.16,-6324.34
1426,1558.18,3877.8,4593.65,449.6,250.33,-100.71,-3434.76,-27898.97,1486.05,18149.25,-5569.04,188.51,-1069.59,-5380.53,-6450.12
1431,1598.58,3868.51,4591.9,448.47,257.51,-67.53,-3406.6,-28078.79,1492.92,18285.91,-5562.43,194.23,-1009.12,-5368.19,-6377.31
1436,1604.49,3904.95,4578.21,458.88,214.19,-81.32,-3403.23,-27990.06,1512.67,18245.63,-5550.36,195.1,-955.59,-5355.25,-6310.84
1441,1623.03,3838.42,4589.8,441.02,237.6,-67.03,-3358.97,-28142.69,1504.29,18177.66,-5474.07,192.47,-1156.87,-5281.6,-6438.47
1446,1616.38,3887.19,4570.33,449.81,220.69,-69.88,-3402.83,-28116.21,1511.11,18195.44,-5445.85,191.29,-1137.96,-5254.56,-6392.53
1451,1574.61,3882.91,4584.89,445.99,233.53,-81.3,-3394.3,-27963.53,1517.18,18232.3,-5594.98,194.54,-967.71,-5400.44,-6368.15
1456,1605.22,3825.72,4575.71,432.74,242.82,-47.93,-3472.69,-27894.36,1485.59,18205.03,-5599.59,187.85,-1042.14,-5411.73,-6453.88
1461,1561.39,3880.84,4604.86,432.06,245.39,-57.98,-3363.96,-28110.37,1531.44,18187.89,-5430.49,190.3,-1088.43,-5240.19,-6328.62
1466,1603.35,3851.73,4601.5,456.9,229.82,-36.21,-3428.07,-27972.75,1485.85,18256.99,-5546.95,192.15,-950.88,-5354.81,-6305.69
1471,1581.12,3930.19,4556.48,451.65,239.72,-55.41,-3433.76,-28025.07,1499.95,18280.27,-5557.64,190.49,-974.86,-5367.15,-6342.01
1476,1615.76,3872.54,4575.78,440.43,230.01,-67.66,-3474.99,-28034.96,1530.88,18218.29,-5445.36,190.1,-1093.92,-5255.27,-6349.19
1481,1598.0,3956.03,4564.66,440.58,214.46,-87.95,-3413.54,-27977.8,1523.88,18224.26,-5523.51,190.95,-957.41,-5332.57,-6289.98
1486,1606.75,3934.04,4602.87,462.6,252.19,-85.67,-3478.28,-27854.33,1534.77,18098.94,-5547.27,192.63,-926.12,-5354.64,-6280.75
1491,1566.97,3863.85,4609.28,430.48,219.4,-74.13,-3411.07,-28013.09,1568.21,18231.7,-5482.24,192.65,-1008.4,-5289.59,-6297.99
1496,1571.27,3947.27,4630.66,438.23,239.8,-67.42,-3432.84,-27863.34,1520.52,18125.86,-5617.02,191.46,-889.98,-5425.56,-6315.54
1501,1592.46,3860.73,4603.1,444.0,245.85,-51.87,-3415.65,-27990.42,1502.02,18295.18,-5577.22,191.48,-914.59,-5385.75,-6300.34
1506,1601.02,3984.46,4585.67,470.27,259.48,-70.2,-3425.45,-28113.3,1512.14,18193.39,-5437.68,191.24,-1002.52,-5246.44,-6248.96
1511,1597.55,3840.57,4554.41,441.76,234.52,-78.96,-3436.07,-28091.09,1521.78,18220.7,-5452.99,187.89,-1194.82,-5265.1,-6459.92
1516,1592.86,3800.54,4605.83,446.02,241.45,-69.07,-3387.29,-27969.51,1508.16,18148.87,-5497.73,194.5,-1082.16,-5303.23,-6385.38
1521,1601.9,3899.41,4564.21,450.02,249.28,-80.13,-3408.53,-27838.73,1500.46,18146.7,-5623.76,194.46,-915.41,-5429.3,-6344.71
1526,1562.02,3879.19,4610.35,452.14,221.05,-80.08,-3437.85,-27878.65,1518.93,18102.25,-5556.25,194.0,-1050.65,-5362.25,-6412.9
1531,1624.0,3826.47,4565.59,447.95,230.28,-70.46,-3394.91,-28009.39,1552.15,18245.01,-5488.81,189.91,-983.33,-5298.9,-6282.24
1536,1607.15,3912.66,4632.67,452.59,226.88,-59.44,-3422.48,-27907.61,1516.05,18160.89,-5583.59,190.88,-880.66,-5392.71,-6273.37
1541,1668.39,3859.38,4555.99,451.65,227.59,-82.24,-3432.88,-28009.48,1481.72,18167.3,-5561.11,190.04,-1112.6,-5371.07,-6483.67
1546,1643.7,3855.51,4547.62,438.56,258.83,-61.92,-3460.68,-28086.89,1499.05,18171.89,-5435.78,186.73,-1194.33,-5249.05,-6443.38
1551,1588.62,3873.51,4573.5,441.79,236.59,-74.37,-3455.49,-28016.05,1487.27,18187.67,-5521.82,188.73,-1156.96,-5333.1,-6490.06
1556,1576.04,3916.89,4568.87,432.27,249.82,-80.17,-3439.87,-28000.9,1497.88,18162.67,-5490.22,190.33,-1116.5,-5299.9,-6416.4
1561,1609.27,3903.4,4597.81,453.01,249.19,-90.15,-3390.27,-28021.3,1501.44,18186.66,-5481.18,191.55,-1000.94,-5289.63,-6290.57
1566,1547.5,3883.17,4579.96,446.22,255.17,-60.42,-3417.42,-28010.03,1497.23,18154.58,-5447.86,193.33,-1124.05,-5254.54,-6378.59
1571,1587.63,3860.82,4577.87,451.42,255.62,-73.59,-3403.21,-28024.74,1515.8,18171.37,-5502.1,192.32,-1081.0,-5309.78,-6390.78
1576,1584.98,3858.99,4541.54,442.09,240.01,-76.95,-3417.22,-28037.53,1517.55,18152.46,-5443.62,189.94,-1194.07,-5253.68,-6447.75
1581,1685.75,3867.84,4551.69,439.77,223.44,-54.42,-3383.69,-28001.58,1474.95,18164.73,-5505.42,190.45,-1031.51,-5314.97,-6346.49
1586,1550.38,3986.7,4619.54,462.93,255.41,-92.93,-3452.83,-27719.73,1536.46,18075.92,-5638.64,194.25,-778.16,-5444.39,-6222.55
1591,1658.52,3932.34,4584.82,440.96,238.88,-98.61,-3457.7,-27789.65,1487.98,18091.69,-5608.21,191.17,-910.77,-5417.04,-6327.82
1596,1568.47,3914.47,4569.6,440.5,254.89,-57.84,-3448.44,-27725.48,1494.68,18131.56,-5724.27,187.82,-857.59,-5536.44,-6394.03
1601,1643.91,3857.02,4596.2,453.74,245.38,-72.32,-3423.91,-27810.39,1509.7,18141.94,-5651.77,189.55,-858.72,-5462.22,-6320.94
1606,1614.28,3927.75,4624.13,455.08,257.94,-78.48,-3425.97,-27935.47,1498.12,18168.05,-5554.26,187.75,-894.56,-5366.51,-6261.07
1611,1596.22,3914.32,4574.63,444.07,250.28,-67.5,-3435.39,-27852.73,1471.15,18125.34,-5582.4,191.97,-979.63,-5390.43,-6370.06
1616,1623.17,3855.72,4545.4,442.03,260.68,-76.52,-3394.34,-27869.35,1487.53,18075.57,-5576.56,190.22,-1050.13,-5386.34,-6436.47
1621,1642.69,3844.89,4603.04,455.82,232.16,-72.31,-3404.7,-28028.66,1520.32,18119.6,-5475.66,190.69,-1087.16,-5284.97,-6372.12
1626,1600.26,3923.34,4588.22,435.96,234.53,-55.51,-3407.31,-27979.63,1508.22,18096.12,-5451.88,188.23,-1055.8,-5263.66,-6319.46
1631,1621.71,3912.62,4597.32,442.47,248.66,-61.58,-3465.96,-27946.74,1489.91,18150.06,-5490.45,186.61,-1011.52,-5303.85,-6315.36
1636,1627.65,3836.49,4603.45,440.55,238.43,-67.42,-3436.22,-28012.6,1486.14,18219.72,-5422.37,188.78,-1063.8,-5233.59,-6297.39
1641,1555.02,3946.48,4582.57,436.82,232.9,-64.58,-3454.93,-27973.67,1495.47,18158.02,-5445.9,187.79,-1085.9,-5258.11,-6344.0
1646,1559.6,3902.6,4592.83,443.04,234.71,-56.82,-3435.61,-28010.49,1504.75,18200.46,-5451.3,190.28,-1064.91,-5261.02,-6325.93
1651,1640.86,3899.07,4626.36,446.21,232.5,-53.55,-3477.3,-28092.38,1508.71,18204.68,-5418.64,188.9,-1064.85,-5229.74,-6294.58
1656,1595.05,3936.21,4551.46,455.82,226.33,-70.58,-3456.01,-27840.07,1478.76,18154.93,-5595.98,189.13,-968.1,-5406.85,-6374.94
1661,1627.56,3939.82,4626.04,442.72,252.54,-78.35,-3405.93,-27811.17,1479.68,18125.24,-5638.01,190.72,-801.84,-5447.29,-6249.13
1666,1622.05,3978.43,4608.87,446.87,253.06,-84.34,-3451.64,-27871.69,1503.76,18153.38,-5573.66,188.08,-841.26,-5385.58,-6226.84
1671,1666.57,3914.43,4590.89,445.5,229.11,-50.72,-3400.79,-27947.56,1504.33,18144.26,-5530.83,193.26,-903.97,-5337.57,-6241.54
1676,1587.81,3913.3,4587.64,435.75,257.82,-60.79,-3448.15,-28036.51,1492.79,18151.23,-5457.76,187.05,-1119.11,-5270.71,-6389.82
1681,1577.31,3896.59,4574.11,446.49,241.1,-32.09,-3449.77,-28094.74,1529.31,18222.32,-5459.57,188.32,-1089.37,-5271.25,-6360.62
1686,1577.39,3807.79,4584.45,438.03,228.0,-82.67,-3421.63,-27870.33,1502.33,18203.09,-5650.4,188.79,-1033.54,-5461.61,-6495.15
1691,1635.72,3876.48,4577.54,445.45,254.21,-60.65,-3441.54,-27869.28,1501.75,18196.41,-5573.05,190.95,-883.9,-5382.1,-6266.0
1696,1624.13,3802.82,4629.36,450.03,244.67,-82.83,-3418.23,-28022.36,1502.26,18297.88,-5527.43,191.38,-972.26,-5336.05,-6308.32
1701,1599.99,3998.81,4606.71,433.18,251.74,-76.09,-3446.79,-28037.43,1476.11,18193.77,-5486.13,185.64,-1000.01,-5300.49,-6300.5
1706,1627.29,3842.16,4592.72,433.72,245.78,-78.02,-3467.23,-27986.64,1490.95,18183.28,-5538.07,185.8,-1115.99,-5352.28,-6468.27
1711,1527.26,3878.33,4595.4,448.55,247.11,-60.34,-3436.65,-27861.01,1527.37,18281.6,-5676.29,192.14,-852.37,-5484.15,-6336.52
1716,1632.44,3869.46,4591.83,440.99,240.68,-51.49,-3413.97,-27789.72,1532.88,18213.0,-5741.35,190.89,-733.91,-5550.46,-6284.38
1721,1560.71,3865.74,4644.68,440.72,256.95,-55.64,-3391.71,-27839.6,1506.82,18179.32,-5629.45,195.13,-832.02,-5434.32,-6266.34
1726,1632.6,3877.99,4612.7,452.47,231.35,-49.12,-3475.84,-28017.45,1521.97,18244.6,-5509.82,188.79,-968.74,-5321.03,-6289.77
1731,1592.06,3823.8,4614.29,435.99,248.25,-63.19,-3456.59,-28004.25,1487.27,18195.9,-5550.95,189.6,-1126.48,-5361.35,-6487.82
1736,1617.94,3910.75,4630.29,442.63,239.13,-90.38,-3484.51,-27872.77,1504.17,18160.73,-5598.57,186.34,-942.01,-5412.23,-6354.25
1741,1545.61,3889.93,4589.32,437.82,246.89,-52.85,-3464.74,-27908.99,1499.97,18142.85,-5592.86,191.94,-1074.17,-5400.92,-6475.1
1746,1587.81,3906.48,4623.15,439.3,239.39,-43.72,-3449.89,-27924.01,1509.53,18165.81,-5573.0,188.4,-946.15,-5384.59,-6330.74
1751,1653.41,3870.6,4597.65,446.63,234.74,-46.73,-3432.49,-27751.73,1517.12,18191.96,-5727.64,190.16,-718.84,-5537.48,-6256.32
