GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1613.87,3875.07,4717.16,444.26,255.0,-62.74,-3512.34,-28448.45,1561.75,18202.54,-4945.13,161.84,-1353.88,-4783.29,-6137.16
6,1632.89,3931.31,4661.3,445.9,249.5,-99.0,-3485.13,-27994.33,1530.36,18098.1,-5384.08,176.24,-1029.11,-5207.84,-6236.96
11,1588.17,3966.25,4658.2,434.85,237.2,-69.84,-3446.86,-28084.59,1512.18,18071.35,-5315.2,176.0,-1133.08,-5139.2,-6272.28
16,1566.53,3950.44,4607.6,455.27,237.49,-66.26,-3462.19,-27970.86,1528.75,18032.54,-5357.75,180.43,-1120.67,-5177.32,-6297.99
21,1592.71,3907.12,4611.96,443.43,242.34,-54.14,-3445.99,-28100.6,1527.52,18132.56,-5313.04,175.79,-1143.09,-5137.25,-6280.34
26,1637.91,3942.17,4700.42,465.47,233.8,-50.57,-3438.09,-28222.81,1520.97,18067.47,-5223.71,179.25,-1143.27,-5044.46,-6187.73
31,1616.3,3916.14,4642.69,444.4,250.48,-57.32,-3454.56,-28001.51,1499.67,18157.76,-5452.53,183.0,-985.95,-5269.53,-6255.48
36,1660.09,3859.37,4623.36,446.03,245.07,-32.75,-3480.18,-27948.83,1483.78,18053.17,-5391.58,182.95,-1090.89,-5208.62,-6299.51
41,1553.43,3836.76,4619.31,436.19,253.4,-80.43,-3432.14,-28220.22,1490.59,18163.35,-5282.68,182.75,-1379.76,-5099.93,-6479.69
46,1587.83,3903.74,4638.17,429.71,226.29,-62.47,-3437.39,-28116.22,1507.44,18081.33,-5281.94,184.68,-1241.56,-5097.26,-6338.82
51,1592.12,3898.85,4607.05,442.28,242.98,-58.66,-3459.82,-28086.01,1521.17,18109.18,-5331.96,181.04,-1190.87,-5150.91,-6341.78
56,1597.12,3951.69,4655.76,460.35,231.48,-73.94,-3422.12,-28186.22,1522.12,18143.11,-5313.1,184.53,-1120.65,-5128.57,-6249.22
61,1566.88,3896.01,4653.07,445.59,239.63,-88.42,-3459.4,-28035.39,1491.99,18073.16,-5391.57,181.73,-1216.88,-5209.84,-6426.72
66,1626.14,3955.91,4660.63,446.9,230.19,-58.83,-3390.36,-28138.28,1473.53,17977.4,-5269.64,182.34,-1216.77,-5087.3,-6304.07
71,1638.41,3927.01,4615.91,455.76,241.54,-78.31,-3389.09,-28202.8,1482.57,18124.77,-5263.51,187.09,-1184.22,-5076.42,-6260.64
76,1624.37,3973.17,4613.8,454.08,250.04,-77.22,-3433.3,-27987.87,1476.39,18004.24,-5368.62,187.21,-1102.3,-5181.41,-6283.71
81,1583.48,3956.18,4654.02,456.86,243.84,-92.47,-3447.11,-28152.92,1511.03,18110.44,-5306.31,184.33,-1176.66,-5121.98,-6298.64
86,1635.99,3914.74,4625.2,446.8,247.78,-85.47,-3410.32,-28039.26,1475.81,18026.29,-5374.59,185.3,-1162.44,-5189.29,-6351.73
91,1639.61,3908.27,4571.3,448.28,242.8,-52.71,-3394.27,-28117.86,1494.83,18107.63,-5327.5,185.07,-1152.11,-5142.42,-6294.53
96,1589.39,3932.75,4633.46,429.01,233.57,-71.27,-3459.32,-28133.97,1524.9,18082.14,-5314.6,183.81,-1239.36,-5130.79,-6370.15
101,1607.22,3854.52,4635.61,449.74,237.54,-67.02,-3439.44,-28164.17,1486.04,18109.45,-5305.98,184.42,-1290.52,-5121.56,-6412.08
106,1637.69,3904.74,4643.7,437.89,229.75,-69.48,-3420.98,-28063.74,1519.76,18006.97,-5330.85,183.77,-1173.7,-5147.08,-6320.78
111,1550.44,3905.87,4639.43,448.46,218.09,-78.98,-3429.67,-28071.5,1525.04,18090.33,-5376.56,181.72,-1202.5,-5194.84,-6397.34
116,1597.04,3973.36,4665.43,452.89,238.6,-71.93,-3430.1,-28074.06,1515.63,18063.65,-5367.46,187.61,-1069.5,-5179.85,-6249.35
121,1572.45,3869.34,4636.1,441.51,260.01,-93.9,-3401.22,-27950.1,1495.17,18010.25,-5393.92,183.04,-1160.4,-5210.88,-6371.28
126,1620.05,3952.64,4621.42,465.52,251.49,-73.53,-3418.22,-28003.18,1515.1,17985.6,-5448.33,187.15,-1083.11,-5261.18,-6344.29
131,1542.4,3900.43,4620.6,447.35,263.88,-60.56,-3448.22,-28213.0,1506.37,18137.35,-5279.93,179.25,-1303.4,-5100.68,-6404.07
136,1593.88,4047.29,4637.16,452.83,249.76,-81.72,-3437.91,-27983.92,1517.91,17992.37,-5401.42,181.04,-1012.34,-5220.38,-6232.72
