Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
1.4200001,0.1760567,0.1377662,0.15691145
1.4300001,0.1695759,0.1525216,0.16104875
1.4400001,0.1774762,0.1451175,0.16129685
1.45,0.1770287,0.1414068,0.15921775
1.46,0.1674474,0.1474539,0.15745065
1.47,0.1665091,0.1486448,0.15757695
1.48,0.1666321,0.1423324,0.15448225
1.4900001,0.1704562,0.1438298,0.157143
1.5000001,0.1687938,0.1508259,0.15980985
1.5100001,0.1771174,0.1511993,0.16415835
1.5200001,0.1786315,0.153654,0.16614275
1.5300001,0.1758185,0.1453722,0.16059535
1.5400001,0.1762313,0.1599271,0.1680792
1.5500001,0.1833132,0.1611374,0.1722253
1.5600001,0.1708166,0.1587905,0.16480355
1.5700001,0.178895,0.1581788,0.1685369
1.58,0.1803974,0.1568061,0.16860175
1.59,0.1887331,0.1502078,0.16947045
1.6,0.1773032,0.1439485,0.16062585
1.6100001,0.1799147,0.1458685,0.1628916
1.6200001,0.182901,0.1447642,0.1638326
1.6300001,0.1904595,0.1525224,0.17149095
1.6400001,0.1903011,0.1489754,0.16963825
1.6500001,0.1964189,0.1513418,0.17388035
1.6600001,0.17651,0.1454939,0.16100195
1.6700001,0.1750156,0.1484011,0.16170835
1.6800001,0.1740938,0.1503675,0.16223065
1.6900001,0.1783719,0.1564354,0.16740365
1.7,0.1805781,0.1514567,0.1660174
1.71,0.1801653,0.1460785,0.1631219
1.72,0.1861556,0.1501464,0.168151
1.7300001,0.1729762,0.1424009,0.15768855
1.7400001,0.1720651,0.1455377,0.1588014
1.7500001,0.1730662,0.1428893,0.15797775
1.7600001,0.179359,0.1535729,0.16646595
1.7700001,0.1679988,0.1499215,0.15896015
1.7800001,0.1629612,0.1462921,0.15462665
1.7900001,0.1605357,0.1553616,0.15794865
1.8000001,0.1730772,0.1457016,0.1593894
1.8100001,0.185791,0.1446216,0.1652063
1.8200001,0.1840637,0.1366493,0.1603565
1.83,0.1823217,0.1432493,0.1627855
1.84,0.1781763,0.13703,0.15760315
1.8500001,0.1856552,0.1376995,0.16167735
1.8600001,0.1772826,0.1438783,0.16058045
1.8700001,0.1862352,0.1437358,0.1649855
1.8800001,0.1847552,0.1398342,0.1622947
1.8900001,0.1782905,0.1410024,0.15964645
1.9000001,0.1789901,0.1459914,0.16249075
1.9100001,0.1836128,0.1394041,0.16150845
1.9200001,0.1740289,0.1430384,0.15853365
1.9300001,0.1719532,0.1415825,0.15676785
1.9400001,0.1729521,0.1524848,0.16271845
1.95,0.1732598,0.1491561,0.16120795
1.96,0.1825735,0.158761,0.17066725
1.9700001,0.1725352,0.1491185,0.16082685
1.9800001,0.1874774,0.1486546,0.168066
1.9900001,0.1842313,0.136561,0.16039615
2,0.1745584,0.1392676,0.156913
2.01,0.1881955,0.1549243,0.1715599
