GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
831,1631.51,3940.15,4583.62,450.81,233.9,-54.91,-3427.16,-27950.5,1485.5,17976.75,-5560.75,190.68,-1130.33,-5370.06,-6500.39
836,1562.48,3963.24,4593.9,453.15,236.14,-61.24,-3408.65,-28212.98,1538.75,17888.77,-5314.81,185.32,-1446.44,-5129.49,-6575.93
841,1562.21,3962.77,4589.37,448.66,263.28,-87.04,-3405.13,-28100.08,1542.65,17872.88,-5404.35,186.08,-1350.43,-5218.27,-6568.7
846,1602.8,3954.04,4576.67,459.18,225.73,-89.72,-3368.39,-28064.24,1546.75,17905.01,-5456.01,189.38,-1252.17,-5266.63,-6518.8
851,1586.76,3898.7,4557.64,433.13,236.35,-78.67,-3428.55,-28135.78,1516.32,18020.14,-5457.34,187.81,-1393.96,-5269.53,-6663.49
856,1657.51,3844.45,4604.32,455.07,242.75,-58.38,-3413.14,-28115.47,1520.3,17895.52,-5417.09,186.81,-1367.07,-5230.28,-6597.35
861,1684.67,3860.76,4579.81,450.21,249.26,-64.4,-3390.22,-27994.92,1526.4,17846.94,-5458.51,188.9,-1251.48,-5269.61,-6521.09
866,1609.85,3947.01,4581.81,460.24,223.07,-72.47,-3349.03,-28139.97,1528.28,17870.44,-5412.08,188.77,-1340.78,-5223.31,-6564.09
871,1588.45,3891.83,4611.61,432.6,242.76,-89.99,-3408.81,-27966.9,1498.39,17871.41,-5469.01,189.32,-1328.64,-5279.7,-6608.34
876,1605.71,3991.38,4618.63,457.63,244.67,-70.85,-3438.33,-28002.43,1528.94,17841.23,-5442.79,187.27,-1223.42,-5255.52,-6478.94
881,1569.42,3911.02,4556.63,442.7,255.9,-77.85,-3383.81,-28077.93,1514.61,17986.44,-5503.7,192.27,-1302.88,-5311.43,-6614.31
886,1581.49,3924.78,4531.62,442.81,239.28,-64.04,-3321.49,-28057.7,1533.9,17854.66,-5436.04,191.6,-1334.7,-5244.44,-6579.13
891,1679.03,3886.96,4554.1,456.99,239.26,-74.73,-3380.16,-27980.31,1495.31,17858.2,-5500.22,192.26,-1265.37,-5307.95,-6573.32
896,1559.04,3875.08,4569.35,457.57,240.19,-49.96,-3406.96,-28271.95,1521.51,18084.25,-5433.43,187.48,-1421.87,-5245.95,-6667.82
901,1592.28,3928.79,4587.37,446.28,236.55,-39.16,-3429.89,-28121.66,1512.73,18041.51,-5483.8,187.22,-1245.18,-5296.58,-6541.76
906,1590.26,3962.95,4549.7,444.85,230.35,-106.87,-3343.02,-28270.05,1542.02,17998.28,-5378.81,185.3,-1401.54,-5193.52,-6595.05
911,1554.05,3867.47,4603.13,450.96,251.79,-82.74,-3430.44,-28257.91,1534.13,18086.09,-5386.69,188.24,-1423.47,-5198.45,-6621.92
916,1577.21,3951.05,4589.17,453.51,231.79,-84.87,-3445.93,-28280.34,1530.74,17949.74,-5309.81,187.32,-1527.92,-5122.49,-6650.41
921,1592.92,3883.1,4569.13,445.54,232.66,-81.61,-3351.01,-28477.15,1520.66,17978.2,-5184.74,185.71,-1687.58,-4999.03,-6686.61
926,1605.65,3955.24,4574.24,441.93,237.58,-85.98,-3443.11,-28289.97,1514.08,18026.21,-5345.52,184.66,-1464.12,-5160.85,-6624.97
931,1610.68,3889.12,4598.43,454.04,248.0,-61.49,-3448.63,-28166.07,1509.38,18087.03,-5487.37,188.6,-1279.51,-5298.77,-6578.27
936,1620.56,3921.54,4606.26,445.33,237.3,-67.29,-3415.5,-28315.98,1499.27,17937.54,-5244.12,183.49,-1530.96,-5060.63,-6591.59
941,1620.82,3950.41,4591.14,463.61,233.75,-77.12,-3372.18,-28341.6,1506.55,18003.8,-5311.39,189.46,-1420.82,-5121.92,-6542.74
946,1576.24,3887.42,4563.12,448.42,247.16,-58.11,-3478.48,-28064.86,1511.15,17905.05,-5417.92,186.75,-1462.91,-5231.18,-6694.09
951,1634.03,3848.0,4617.9,459.47,244.57,-50.09,-3343.2,-28287.39,1535.37,17980.57,-5346.39,191.51,-1360.77,-5154.89,-6515.66
956,1620.36,4030.47,4558.9,455.68,251.17,-57.21,-3412.19,-28247.87,1490.95,17919.04,-5347.17,186.49,-1390.7,-5160.68,-6551.39
961,1610.88,3847.39,4587.53,450.06,221.35,-54.81,-3417.78,-28214.86,1510.36,18005.33,-5320.39,183.12,-1454.56,-5137.27,-6591.83
966,1630.85,3888.96,4611.58,433.85,244.35,-93.23,-3413.24,-28345.72,1494.08,17927.34,-5212.11,185.67,-1621.16,-5026.43,-6647.59
971,1612.53,3922.36,4625.38,438.51,262.0,-40.57,-3418.52,-28343.29,1518.69,17919.53,-5224.8,183.6,-1503.38,-5041.2,-6544.58
976,1519.06,3923.57,4634.16,428.77,247.78,-58.94,-3446.14,-28264.65,1550.85,17993.46,-5359.79,185.82,-1472.08,-5173.97,-6646.04
981,1650.78,3907.41,4596.69,448.94,229.82,-57.81,-3374.8,-28132.17,1505.73,18023.83,-5470.47,189.9,-1201.56,-5280.57,-6482.14
986,1626.88,3961.84,4603.82,458.25,243.85,-64.09,-3407.93,-28283.32,1515.4,17993.47,-5332.97,187.07,-1351.83,-5145.9,-6497.73
991,1641.11,3931.6,4575.65,458.52,244.48,-48.42,-3434.67,-28253.09,1534.21,17984.39,-5296.64,185.61,-1366.2,-5111.03,-6477.23
996,1621.61,3913.8,4557.77,446.45,239.93,-55.76,-3365.47,-28156.37,1497.81,17923.58,-5363.71,188.4,-1376.65,-5175.31,-6551.96
1001,1562.39,3931.2,4591.24,442.46,252.49,-77.57,-3374.35,-28131.1,1541.27,17995.71,-5464.67,189.67,-1266.26,-5275.0,-6541.26
1006,1642.76,3962.02,4587.22,454.57,243.13,-78.62,-3445.91,-28083.76,1520.04,17912.1,-5421.02,189.98,-1286.44,-5231.04,-6517.48
