-3.01952	-2.88068	13.20000
-2.84850	-2.88068	13.20000
-2.67748	-2.88068	13.20000
-2.50647	-2.88068	13.20000
-2.33545	-2.88068	12.10000
-2.16444	-2.88068	12.10000
-1.99342	-2.88068	13.20000
-1.82240	-2.88068	13.20000
-1.65139	-2.88068	13.20000
-1.48037	-2.88068	13.20000
-1.30935	-2.88068	13.20000
-1.13834	-2.88068	13.20000
-0.96732	-2.88068	13.20000
-0.79630	-2.88068	13.20000
-0.62529	-2.88068	13.20000
-0.45427	-2.88068	13.20000
-0.28325	-2.88068	13.20000
-0.11224	-2.88068	13.20000
0.05878	-2.88068	13.20000
0.22979	-2.88068	13.20000
0.40081	-2.88068	13.20000
0.57183	-2.88068	13.20000
0.74284	-2.88068	13.20000
0.91386	-2.88068	13.20000
1.08488	-2.88068	13.20000
1.25589	-2.88068	13.20000
1.42691	-2.88068	13.20000
1.59792	-2.88068	13.20000
1.76894	-2.88068	13.20000
1.93996	-2.88068	13.20000
2.11097	-2.88068	13.20000
2.28199	-2.88068	13.20000
-3.01952	-2.71677	13.20000
-2.84850	-2.71677	13.20000
-2.67748	-2.71677	13.20000
-2.50647	-2.71677	13.20000
-2.33545	-2.71677	13.20000
-2.16444	-2.71677	12.10000
-1.99342	-2.71677	8.81000
-1.82240	-2.71677	12.10000
-1.65139	-2.71677	13.20000
-1.48037	-2.71677	13.20000
-1.30935	-2.71677	13.20000
-1.13834	-2.71677	13.20000
-0.96732	-2.71677	13.20000
-0.79630	-2.71677	13.20000
-0.62529	-2.71677	13.20000
-0.45427	-2.71677	13.20000
-0.28325	-2.71677	13.20000
-0.11224	-2.71677	13.20000
0.05878	-2.71677	13.20000
0.22979	-2.71677	13.20000
0.40081	-2.71677	13.20000
0.57183	-2.71677	13.20000
0.74284	-2.71677	13.20000
0.91386	-2.71677	13.20000
1.08488	-2.71677	13.20000
1.25589	-2.71677	13.20000
1.42691	-2.71677	13.20000
1.59792	-2.71677	13.20000
1.76894	-2.71677	13.20000
1.93996	-2.71677	13.20000
2.11097	-2.71677	13.20000
2.28199	-2.71677	13.20000
-3.01952	-2.55287	13.20000
-2.84850	-2.55287	12.10000
-2.67748	-2.55287	13.20000
-2.50647	-2.55287	12.10000
-2.33545	-2.55287	7.71000
-2.16444	-2.55287	6.61000
-1.99342	-2.55287	6.61000
-1.82240	-2.55287	7.16000
-1.65139	-2.55287	10.50000
-1.48037	-2.55287	12.10000
-1.30935	-2.55287	13.20000
-1.13834	-2.55287	13.20000
-0.96732	-2.55287	13.20000
-0.79630	-2.55287	13.20000
-0.62529	-2.55287	13.20000
-0.45427	-2.55287	13.20000
-0.28325	-2.55287	13.20000
-0.11224	-2.55287	13.20000
0.05878	-2.55287	13.20000
0.22979	-2.55287	13.20000
0.40081	-2.55287	13.20000
0.57183	-2.55287	13.20000
0.74284	-2.55287	13.20000
0.91386	-2.55287	13.20000
1.08488	-2.55287	13.20000
1.25589	-2.55287	13.20000
1.42691	-2.55287	13.20000
1.59792	-2.55287	13.20000
1.76894	-2.55287	13.20000
1.93996	-2.55287	13.20000
2.11097	-2.55287	13.20000
2.28199	-2.55287	13.20000
-3.01952	-2.38897	10.50000
-2.84850	-2.38897	8.81000
-2.67748	-2.38897	8.26000
-2.50647	-2.38897	8.26000
-2.33545	-2.38897	7.16000
-2.16444	-2.38897	6.61000
-1.99342	-2.38897	4.40000
-1.82240	-2.38897	4.96000
-1.65139	-2.38897	8.81000
-1.48037	-2.38897	10.50000
-1.30935	-2.38897	13.20000
-1.13834	-2.38897	13.20000
-0.96732	-2.38897	13.20000
-0.79630	-2.38897	13.20000
-0.62529	-2.38897	13.20000
-0.45427	-2.38897	13.20000
-0.28325	-2.38897	13.20000
-0.11224	-2.38897	13.20000
0.05878	-2.38897	13.20000
0.22979	-2.38897	13.20000
0.40081	-2.38897	13.20000
0.57183	-2.38897	13.20000
0.74284	-2.38897	13.20000
0.91386	-2.38897	13.20000
1.08488	-2.38897	13.20000
1.25589	-2.38897	13.20000
1.42691	-2.38897	13.20000
1.59792	-2.38897	13.20000
